seed,examples_per_class,epoch,value,metric,split
0,1,0,1.9442533,Loss,Training
0,1,0,2.3621314,Loss,Validation
0,1,0,0.85515624,Accuracy,Training
0,1,0,0.54462004,Accuracy,Validation
0,1,0,1.9120154,Loss Airplane,Training
0,1,0,2.41158,Loss Airplane,Validation
0,1,0,0.92022794,Accuracy Airplane,Training
0,1,0,0.773842,Accuracy Airplane,Validation
0,1,0,1.4960964,Loss Bicycle,Training
0,1,0,2.0320835,Loss Bicycle,Validation
0,1,0,0.9498433,Accuracy Bicycle,Training
0,1,0,0.88505745,Accuracy Bicycle,Validation
0,1,0,2.074537,Loss Bird,Training
0,1,0,2.5151546,Loss Bird,Validation
0,1,0,0.8848485,Accuracy Bird,Training
0,1,0,0.42376682,Accuracy Bird,Validation
0,1,0,1.7070173,Loss Boat,Training
0,1,0,2.5855865,Loss Boat,Validation
0,1,0,0.90996784,Accuracy Boat,Training
0,1,0,0.23024055,Accuracy Boat,Validation
0,1,0,2.021075,Loss Bottle,Training
0,1,0,2.3232274,Loss Bottle,Validation
0,1,0,0.85064936,Accuracy Bottle,Training
0,1,0,0.7672956,Accuracy Bottle,Validation
0,1,0,2.109363,Loss Bus,Training
0,1,0,2.2164085,Loss Bus,Validation
0,1,0,0.8658147,Accuracy Bus,Training
0,1,0,0.88129497,Accuracy Bus,Validation
0,1,0,2.176487,Loss Car,Training
0,1,0,2.5622258,Loss Car,Validation
0,1,0,0.9,Accuracy Car,Training
0,1,0,0.3554217,Accuracy Car,Validation
0,1,0,1.8999135,Loss Cat,Training
0,1,0,2.1213024,Loss Cat,Validation
0,1,0,0.84193546,Accuracy Cat,Training
0,1,0,0.84526557,Accuracy Cat,Validation
0,1,0,1.8572662,Loss Chair,Training
0,1,0,2.5734713,Loss Chair,Validation
0,1,0,0.81395346,Accuracy Chair,Training
0,1,0,0.090322584,Accuracy Chair,Validation
0,1,0,2.01086,Loss Cow,Training
0,1,0,2.187647,Loss Cow,Validation
0,1,0,0.8882175,Accuracy Cow,Training
0,1,0,0.5530547,Accuracy Cow,Validation
0,1,0,1.5305886,Loss Dining Table,Training
0,1,0,2.178428,Loss Dining Table,Validation
0,1,0,0.9174312,Accuracy Dining Table,Training
0,1,0,0.6059113,Accuracy Dining Table,Validation
0,1,0,2.0033178,Loss Dog,Training
0,1,0,2.6070714,Loss Dog,Validation
0,1,0,0.78504676,Accuracy Dog,Training
0,1,0,0.18202247,Accuracy Dog,Validation
0,1,0,2.0616212,Loss Horse,Training
0,1,0,2.4656649,Loss Horse,Validation
0,1,0,0.85163206,Accuracy Horse,Training
0,1,0,0.33222592,Accuracy Horse,Validation
0,1,0,2.1541994,Loss Motorcycle,Training
0,1,0,2.246025,Loss Motorcycle,Validation
0,1,0,0.6645768,Accuracy Motorcycle,Training
0,1,0,0.5669014,Accuracy Motorcycle,Validation
0,1,0,1.7589962,Loss Person,Training
0,1,0,2.7035997,Loss Person,Validation
0,1,0,0.8952703,Accuracy Person,Training
0,1,0,0.091093116,Accuracy Person,Validation
0,1,0,1.639905,Loss Potted Plant,Training
0,1,0,2.646716,Loss Potted Plant,Validation
0,1,0,0.92655367,Accuracy Potted Plant,Training
0,1,0,0.32352942,Accuracy Potted Plant,Validation
0,1,0,2.0387306,Loss Sheep,Training
0,1,0,1.9191896,Loss Sheep,Validation
0,1,0,0.89028215,Accuracy Sheep,Training
0,1,0,0.8271605,Accuracy Sheep,Validation
0,1,0,1.7984582,Loss Sofa,Training
0,1,0,2.1826143,Loss Sofa,Validation
0,1,0,0.84713376,Accuracy Sofa,Training
0,1,0,0.6363636,Accuracy Sofa,Validation
0,1,0,2.3300986,Loss Train,Training
0,1,0,2.3391204,Loss Train,Validation
0,1,0,0.6772152,Accuracy Train,Training
0,1,0,0.9131653,Accuracy Train,Validation
0,1,0,2.3045242,Loss Television,Training
0,1,0,2.4255135,Loss Television,Validation
0,1,0,0.8225256,Accuracy Television,Training
0,1,0,0.6084656,Accuracy Television,Validation
0,1,1,0.7618008,Loss,Training
0,1,1,2.062385,Loss,Validation
0,1,1,0.9970859,Accuracy,Training
0,1,1,0.5679663,Accuracy,Validation
0,1,1,0.7860404,Loss Airplane,Training
0,1,1,2.1174562,Loss Airplane,Validation
0,1,1,1.0,Accuracy Airplane,Training
0,1,1,0.7828418,Accuracy Airplane,Validation
0,1,1,0.474982,Loss Bicycle,Training
0,1,1,1.9014925,Loss Bicycle,Validation
0,1,1,1.0,Accuracy Bicycle,Training
0,1,1,0.6890244,Accuracy Bicycle,Validation
0,1,1,0.8852766,Loss Bird,Training
0,1,1,2.3116875,Loss Bird,Validation
0,1,1,1.0,Accuracy Bird,Training
0,1,1,0.41007194,Accuracy Bird,Validation
0,1,1,0.5876023,Loss Boat,Training
0,1,1,2.3670893,Loss Boat,Validation
0,1,1,0.9417178,Accuracy Boat,Training
0,1,1,0.3121019,Accuracy Boat,Validation
0,1,1,0.7924201,Loss Bottle,Training
0,1,1,1.982327,Loss Bottle,Validation
0,1,1,1.0,Accuracy Bottle,Training
0,1,1,0.7834395,Accuracy Bottle,Validation
0,1,1,0.8372576,Loss Bus,Training
0,1,1,1.6466246,Loss Bus,Validation
0,1,1,1.0,Accuracy Bus,Training
0,1,1,0.88461536,Accuracy Bus,Validation
0,1,1,0.9975086,Loss Car,Training
0,1,1,2.3025148,Loss Car,Validation
0,1,1,1.0,Accuracy Car,Training
0,1,1,0.38410595,Accuracy Car,Validation
0,1,1,0.7039073,Loss Cat,Training
0,1,1,1.7571803,Loss Cat,Validation
0,1,1,1.0,Accuracy Cat,Training
0,1,1,0.8340336,Accuracy Cat,Validation
0,1,1,0.74235195,Loss Chair,Training
0,1,1,2.4287956,Loss Chair,Validation
0,1,1,1.0,Accuracy Chair,Training
0,1,1,0.104575165,Accuracy Chair,Validation
0,1,1,0.87627125,Loss Cow,Training
0,1,1,1.7465922,Loss Cow,Validation
0,1,1,1.0,Accuracy Cow,Training
0,1,1,0.63822526,Accuracy Cow,Validation
0,1,1,0.3296122,Loss Dining Table,Training
0,1,1,2.0699565,Loss Dining Table,Validation
0,1,1,1.0,Accuracy Dining Table,Training
0,1,1,0.4401914,Accuracy Dining Table,Validation
0,1,1,0.78725004,Loss Dog,Training
0,1,1,2.4383295,Loss Dog,Validation
0,1,1,1.0,Accuracy Dog,Training
0,1,1,0.27880183,Accuracy Dog,Validation
0,1,1,0.83445334,Loss Horse,Training
0,1,1,2.0066233,Loss Horse,Validation
0,1,1,1.0,Accuracy Horse,Training
0,1,1,0.51343286,Accuracy Horse,Validation
0,1,1,0.9171716,Loss Motorcycle,Training
0,1,1,1.7645221,Loss Motorcycle,Validation
0,1,1,1.0,Accuracy Motorcycle,Training
0,1,1,0.8611111,Accuracy Motorcycle,Validation
0,1,1,0.5767999,Loss Person,Training
0,1,1,2.7404737,Loss Person,Validation
0,1,1,1.0,Accuracy Person,Training
0,1,1,0.08232932,Accuracy Person,Validation
0,1,1,0.53647095,Loss Potted Plant,Training
0,1,1,2.7678602,Loss Potted Plant,Validation
0,1,1,1.0,Accuracy Potted Plant,Training
0,1,1,0.2720588,Accuracy Potted Plant,Validation
0,1,1,0.9156798,Loss Sheep,Training
0,1,1,1.5529346,Loss Sheep,Validation
0,1,1,1.0,Accuracy Sheep,Training
0,1,1,0.78294575,Accuracy Sheep,Validation
0,1,1,0.60642827,Loss Sofa,Training
0,1,1,1.7398483,Loss Sofa,Validation
0,1,1,1.0,Accuracy Sofa,Training
0,1,1,0.72727275,Accuracy Sofa,Validation
0,1,1,0.95201784,Loss Train,Training
0,1,1,1.7754458,Loss Train,Validation
0,1,1,1.0,Accuracy Train,Training
0,1,1,0.8927536,Accuracy Train,Validation
0,1,1,1.0965134,Loss Television,Training
0,1,1,1.8299499,Loss Television,Validation
0,1,1,1.0,Accuracy Television,Training
0,1,1,0.6853933,Accuracy Television,Validation
0,1,2,0.3617733,Loss,Training
0,1,2,1.904329,Loss,Validation
0,1,2,0.99839747,Accuracy,Training
0,1,2,0.5612724,Accuracy,Validation
0,1,2,0.36562675,Loss Airplane,Training
0,1,2,1.9806706,Loss Airplane,Validation
0,1,2,1.0,Accuracy Airplane,Training
0,1,2,0.7414248,Accuracy Airplane,Validation
0,1,2,0.23990926,Loss Bicycle,Training
0,1,2,1.7754307,Loss Bicycle,Validation
0,1,2,1.0,Accuracy Bicycle,Training
0,1,2,0.62222224,Accuracy Bicycle,Validation
0,1,2,0.40145758,Loss Bird,Training
0,1,2,2.089841,Loss Bird,Validation
0,1,2,1.0,Accuracy Bird,Training
0,1,2,0.5521327,Accuracy Bird,Validation
0,1,2,0.26037195,Loss Boat,Training
0,1,2,2.3415725,Loss Boat,Validation
0,1,2,0.96794873,Accuracy Boat,Training
0,1,2,0.25566342,Accuracy Boat,Validation
0,1,2,0.36042634,Loss Bottle,Training
0,1,2,1.7132951,Loss Bottle,Validation
0,1,2,1.0,Accuracy Bottle,Training
0,1,2,0.835443,Accuracy Bottle,Validation
0,1,2,0.35628673,Loss Bus,Training
0,1,2,1.3651308,Loss Bus,Validation
0,1,2,1.0,Accuracy Bus,Training
0,1,2,0.875,Accuracy Bus,Validation
0,1,2,0.57601106,Loss Car,Training
0,1,2,2.2260673,Loss Car,Validation
0,1,2,1.0,Accuracy Car,Training
0,1,2,0.33968255,Accuracy Car,Validation
0,1,2,0.3431042,Loss Cat,Training
0,1,2,1.5580792,Loss Cat,Validation
0,1,2,1.0,Accuracy Cat,Training
0,1,2,0.8194444,Accuracy Cat,Validation
0,1,2,0.37736356,Loss Chair,Training
0,1,2,2.4694464,Loss Chair,Validation
0,1,2,1.0,Accuracy Chair,Training
0,1,2,0.045751635,Accuracy Chair,Validation
0,1,2,0.41213354,Loss Cow,Training
0,1,2,1.6033163,Loss Cow,Validation
0,1,2,1.0,Accuracy Cow,Training
0,1,2,0.50328946,Accuracy Cow,Validation
0,1,2,0.13263215,Loss Dining Table,Training
0,1,2,1.9518862,Loss Dining Table,Validation
0,1,2,1.0,Accuracy Dining Table,Training
0,1,2,0.41232228,Accuracy Dining Table,Validation
0,1,2,0.4255819,Loss Dog,Training
0,1,2,2.3589754,Loss Dog,Validation
0,1,2,1.0,Accuracy Dog,Training
0,1,2,0.32568806,Accuracy Dog,Validation
0,1,2,0.3637456,Loss Horse,Training
0,1,2,1.9462397,Loss Horse,Validation
0,1,2,1.0,Accuracy Horse,Training
0,1,2,0.47256097,Accuracy Horse,Validation
0,1,2,0.41450286,Loss Motorcycle,Training
0,1,2,1.3806709,Loss Motorcycle,Validation
0,1,2,1.0,Accuracy Motorcycle,Training
0,1,2,0.9245283,Accuracy Motorcycle,Validation
0,1,2,0.2630387,Loss Person,Training
0,1,2,2.7065887,Loss Person,Validation
0,1,2,1.0,Accuracy Person,Training
0,1,2,0.122789785,Accuracy Person,Validation
0,1,2,0.25372082,Loss Potted Plant,Training
0,1,2,2.6395464,Loss Potted Plant,Validation
0,1,2,1.0,Accuracy Potted Plant,Training
0,1,2,0.21641791,Accuracy Potted Plant,Validation
0,1,2,0.427255,Loss Sheep,Training
0,1,2,1.2408136,Loss Sheep,Validation
0,1,2,1.0,Accuracy Sheep,Training
0,1,2,0.81007755,Accuracy Sheep,Validation
0,1,2,0.29457152,Loss Sofa,Training
0,1,2,1.5342821,Loss Sofa,Validation
0,1,2,1.0,Accuracy Sofa,Training
0,1,2,0.7311828,Accuracy Sofa,Validation
0,1,2,0.4297551,Loss Train,Training
0,1,2,1.6096798,Loss Train,Validation
0,1,2,1.0,Accuracy Train,Training
0,1,2,0.8535211,Accuracy Train,Validation
0,1,2,0.53797144,Loss Television,Training
0,1,2,1.5950444,Loss Television,Validation
0,1,2,1.0,Accuracy Television,Training
0,1,2,0.7663044,Accuracy Television,Validation
0,1,3,0.21382448,Loss,Training
0,1,3,1.7823833,Loss,Validation
0,1,3,0.9969789,Accuracy,Training
0,1,3,0.6017543,Accuracy,Validation
0,1,3,0.19088086,Loss Airplane,Training
0,1,3,1.8551161,Loss Airplane,Validation
0,1,3,1.0,Accuracy Airplane,Training
0,1,3,0.77165353,Accuracy Airplane,Validation
0,1,3,0.15770608,Loss Bicycle,Training
0,1,3,1.4990385,Loss Bicycle,Validation
0,1,3,1.0,Accuracy Bicycle,Training
0,1,3,0.7878788,Accuracy Bicycle,Validation
0,1,3,0.20995754,Loss Bird,Training
0,1,3,1.9580587,Loss Bird,Validation
0,1,3,1.0,Accuracy Bird,Training
0,1,3,0.5704388,Accuracy Bird,Validation
0,1,3,0.29434636,Loss Boat,Training
0,1,3,2.1928897,Loss Boat,Validation
0,1,3,0.93957704,Accuracy Boat,Training
0,1,3,0.34983498,Accuracy Boat,Validation
0,1,3,0.20552139,Loss Bottle,Training
0,1,3,1.6256678,Loss Bottle,Validation
0,1,3,1.0,Accuracy Bottle,Training
0,1,3,0.81182796,Accuracy Bottle,Validation
0,1,3,0.19976789,Loss Bus,Training
0,1,3,1.1978927,Loss Bus,Validation
0,1,3,1.0,Accuracy Bus,Training
0,1,3,0.89891696,Accuracy Bus,Validation
0,1,3,0.3292732,Loss Car,Training
0,1,3,2.099235,Loss Car,Validation
0,1,3,1.0,Accuracy Car,Training
0,1,3,0.35836178,Accuracy Car,Validation
0,1,3,0.20955715,Loss Cat,Training
0,1,3,1.4001971,Loss Cat,Validation
0,1,3,1.0,Accuracy Cat,Training
0,1,3,0.79735684,Accuracy Cat,Validation
0,1,3,0.2567114,Loss Chair,Training
0,1,3,2.2579563,Loss Chair,Validation
0,1,3,1.0,Accuracy Chair,Training
0,1,3,0.2682927,Accuracy Chair,Validation
0,1,3,0.26716942,Loss Cow,Training
0,1,3,1.5298663,Loss Cow,Validation
0,1,3,1.0,Accuracy Cow,Training
0,1,3,0.47854784,Accuracy Cow,Validation
0,1,3,0.07240586,Loss Dining Table,Training
0,1,3,1.8985888,Loss Dining Table,Validation
0,1,3,1.0,Accuracy Dining Table,Training
0,1,3,0.42553192,Accuracy Dining Table,Validation
0,1,3,0.21805671,Loss Dog,Training
0,1,3,2.1747804,Loss Dog,Validation
0,1,3,1.0,Accuracy Dog,Training
0,1,3,0.3584475,Accuracy Dog,Validation
0,1,3,0.21345335,Loss Horse,Training
0,1,3,1.7730362,Loss Horse,Validation
0,1,3,1.0,Accuracy Horse,Training
0,1,3,0.5088235,Accuracy Horse,Validation
0,1,3,0.21967033,Loss Motorcycle,Training
0,1,3,1.2763834,Loss Motorcycle,Validation
0,1,3,1.0,Accuracy Motorcycle,Training
0,1,3,0.8951049,Accuracy Motorcycle,Validation
0,1,3,0.14363198,Loss Person,Training
0,1,3,2.6884904,Loss Person,Validation
0,1,3,1.0,Accuracy Person,Training
0,1,3,0.12998976,Accuracy Person,Validation
0,1,3,0.13498756,Loss Potted Plant,Training
0,1,3,2.6830878,Loss Potted Plant,Validation
0,1,3,1.0,Accuracy Potted Plant,Training
0,1,3,0.34375,Accuracy Potted Plant,Validation
0,1,3,0.2561184,Loss Sheep,Training
0,1,3,1.1406434,Loss Sheep,Validation
0,1,3,1.0,Accuracy Sheep,Training
0,1,3,0.85106385,Accuracy Sheep,Validation
0,1,3,0.15273762,Loss Sofa,Training
0,1,3,1.508554,Loss Sofa,Validation
0,1,3,1.0,Accuracy Sofa,Training
0,1,3,0.71575344,Accuracy Sofa,Validation
0,1,3,0.23441471,Loss Train,Training
0,1,3,1.426027,Loss Train,Validation
0,1,3,1.0,Accuracy Train,Training
0,1,3,0.8876405,Accuracy Train,Validation
0,1,3,0.3101221,Loss Television,Training
0,1,3,1.4621575,Loss Television,Validation
0,1,3,1.0,Accuracy Television,Training
0,1,3,0.82587063,Accuracy Television,Validation
0,1,4,0.13878597,Loss,Training
0,1,4,1.7129081,Loss,Validation
0,1,4,1.0,Accuracy,Training
0,1,4,0.598776,Accuracy,Validation
0,1,4,0.12804776,Loss Airplane,Training
0,1,4,1.7791823,Loss Airplane,Validation
0,1,4,1.0,Accuracy Airplane,Training
0,1,4,0.78092784,Accuracy Airplane,Validation
0,1,4,0.09424004,Loss Bicycle,Training
0,1,4,1.532959,Loss Bicycle,Validation
0,1,4,1.0,Accuracy Bicycle,Training
0,1,4,0.6797386,Accuracy Bicycle,Validation
0,1,4,0.13651945,Loss Bird,Training
0,1,4,1.9999582,Loss Bird,Validation
0,1,4,1.0,Accuracy Bird,Training
0,1,4,0.4738095,Accuracy Bird,Validation
0,1,4,0.20062134,Loss Boat,Training
0,1,4,1.9079036,Loss Boat,Validation
0,1,4,1.0,Accuracy Boat,Training
0,1,4,0.513986,Accuracy Boat,Validation
0,1,4,0.11735293,Loss Bottle,Training
0,1,4,1.5569456,Loss Bottle,Validation
0,1,4,1.0,Accuracy Bottle,Training
0,1,4,0.7987013,Accuracy Bottle,Validation
0,1,4,0.1272494,Loss Bus,Training
0,1,4,1.090425,Loss Bus,Validation
0,1,4,1.0,Accuracy Bus,Training
0,1,4,0.9117647,Accuracy Bus,Validation
0,1,4,0.21585566,Loss Car,Training
0,1,4,2.0437057,Loss Car,Validation
0,1,4,1.0,Accuracy Car,Training
0,1,4,0.3768997,Accuracy Car,Validation
0,1,4,0.12142336,Loss Cat,Training
0,1,4,1.3066833,Loss Cat,Validation
0,1,4,1.0,Accuracy Cat,Training
0,1,4,0.86150235,Accuracy Cat,Validation
0,1,4,0.16726492,Loss Chair,Training
0,1,4,2.1359155,Loss Chair,Validation
0,1,4,1.0,Accuracy Chair,Training
0,1,4,0.28275862,Accuracy Chair,Validation
0,1,4,0.1645588,Loss Cow,Training
0,1,4,1.4002557,Loss Cow,Validation
0,1,4,1.0,Accuracy Cow,Training
0,1,4,0.5307443,Accuracy Cow,Validation
0,1,4,0.04528324,Loss Dining Table,Training
0,1,4,2.0613208,Loss Dining Table,Validation
0,1,4,1.0,Accuracy Dining Table,Training
0,1,4,0.35353535,Accuracy Dining Table,Validation
0,1,4,0.14526094,Loss Dog,Training
0,1,4,2.1240358,Loss Dog,Validation
0,1,4,1.0,Accuracy Dog,Training
0,1,4,0.36708862,Accuracy Dog,Validation
0,1,4,0.14184707,Loss Horse,Training
0,1,4,1.8026618,Loss Horse,Validation
0,1,4,1.0,Accuracy Horse,Training
0,1,4,0.49562684,Accuracy Horse,Validation
0,1,4,0.16319193,Loss Motorcycle,Training
0,1,4,1.22921,Loss Motorcycle,Validation
0,1,4,1.0,Accuracy Motorcycle,Training
0,1,4,0.8841699,Accuracy Motorcycle,Validation
0,1,4,0.09220587,Loss Person,Training
0,1,4,2.6997519,Loss Person,Validation
0,1,4,1.0,Accuracy Person,Training
0,1,4,0.121801436,Accuracy Person,Validation
0,1,4,0.08994115,Loss Potted Plant,Training
0,1,4,2.5461886,Loss Potted Plant,Validation
0,1,4,1.0,Accuracy Potted Plant,Training
0,1,4,0.35507247,Accuracy Potted Plant,Validation
0,1,4,0.17816369,Loss Sheep,Training
0,1,4,1.0294958,Loss Sheep,Validation
0,1,4,1.0,Accuracy Sheep,Training
0,1,4,0.81092435,Accuracy Sheep,Validation
0,1,4,0.104749724,Loss Sofa,Training
0,1,4,1.4606243,Loss Sofa,Validation
0,1,4,1.0,Accuracy Sofa,Training
0,1,4,0.66887414,Accuracy Sofa,Validation
0,1,4,0.15010403,Loss Train,Training
0,1,4,1.2486198,Loss Train,Validation
0,1,4,1.0,Accuracy Train,Training
0,1,4,0.921466,Accuracy Train,Validation
0,1,4,0.19183785,Loss Television,Training
0,1,4,1.3023236,Loss Television,Validation
0,1,4,1.0,Accuracy Television,Training
0,1,4,0.78612715,Accuracy Television,Validation
0,1,5,0.0967564,Loss,Training
0,1,5,1.6350126,Loss,Validation
0,1,5,1.0,Accuracy,Training
0,1,5,0.62335646,Accuracy,Validation
0,1,5,0.087222695,Loss Airplane,Training
0,1,5,1.7041992,Loss Airplane,Validation
0,1,5,1.0,Accuracy Airplane,Training
0,1,5,0.815508,Accuracy Airplane,Validation
0,1,5,0.07238552,Loss Bicycle,Training
0,1,5,1.4913747,Loss Bicycle,Validation
0,1,5,1.0,Accuracy Bicycle,Training
0,1,5,0.73170733,Accuracy Bicycle,Validation
0,1,5,0.11331778,Loss Bird,Training
0,1,5,1.8042004,Loss Bird,Validation
0,1,5,1.0,Accuracy Bird,Training
0,1,5,0.6079812,Accuracy Bird,Validation
0,1,5,0.16643314,Loss Boat,Training
0,1,5,1.8122866,Loss Boat,Validation
0,1,5,1.0,Accuracy Boat,Training
0,1,5,0.5264797,Accuracy Boat,Validation
0,1,5,0.08327762,Loss Bottle,Training
0,1,5,1.3875412,Loss Bottle,Validation
0,1,5,1.0,Accuracy Bottle,Training
0,1,5,0.8271605,Accuracy Bottle,Validation
0,1,5,0.08986627,Loss Bus,Training
0,1,5,1.0137502,Loss Bus,Validation
0,1,5,1.0,Accuracy Bus,Training
0,1,5,0.926045,Accuracy Bus,Validation
0,1,5,0.15215199,Loss Car,Training
0,1,5,1.9026401,Loss Car,Validation
0,1,5,1.0,Accuracy Car,Training
0,1,5,0.4248366,Accuracy Car,Validation
0,1,5,0.081719995,Loss Cat,Training
0,1,5,1.2933743,Loss Cat,Validation
0,1,5,1.0,Accuracy Cat,Training
0,1,5,0.8165548,Accuracy Cat,Validation
0,1,5,0.10528294,Loss Chair,Training
0,1,5,2.2997026,Loss Chair,Validation
0,1,5,1.0,Accuracy Chair,Training
0,1,5,0.23648648,Accuracy Chair,Validation
0,1,5,0.11460158,Loss Cow,Training
0,1,5,1.4364678,Loss Cow,Validation
0,1,5,1.0,Accuracy Cow,Training
0,1,5,0.48802397,Accuracy Cow,Validation
0,1,5,0.03125671,Loss Dining Table,Training
0,1,5,1.9079767,Loss Dining Table,Validation
0,1,5,1.0,Accuracy Dining Table,Training
0,1,5,0.41142857,Accuracy Dining Table,Validation
0,1,5,0.09338861,Loss Dog,Training
0,1,5,2.0832613,Loss Dog,Validation
0,1,5,1.0,Accuracy Dog,Training
0,1,5,0.35497835,Accuracy Dog,Validation
0,1,5,0.092606924,Loss Horse,Training
0,1,5,1.745826,Loss Horse,Validation
0,1,5,1.0,Accuracy Horse,Training
0,1,5,0.51862466,Accuracy Horse,Validation
0,1,5,0.120726764,Loss Motorcycle,Training
0,1,5,1.1292081,Loss Motorcycle,Validation
0,1,5,1.0,Accuracy Motorcycle,Training
0,1,5,0.86290324,Accuracy Motorcycle,Validation
0,1,5,0.06936553,Loss Person,Training
0,1,5,2.5144682,Loss Person,Validation
0,1,5,1.0,Accuracy Person,Training
0,1,5,0.17166494,Accuracy Person,Validation
0,1,5,0.05968045,Loss Potted Plant,Training
0,1,5,2.5048816,Loss Potted Plant,Validation
0,1,5,1.0,Accuracy Potted Plant,Training
0,1,5,0.36619717,Accuracy Potted Plant,Validation
0,1,5,0.103708334,Loss Sheep,Training
0,1,5,0.9427673,Loss Sheep,Validation
0,1,5,1.0,Accuracy Sheep,Training
0,1,5,0.88235295,Accuracy Sheep,Validation
0,1,5,0.068713,Loss Sofa,Training
0,1,5,1.4434326,Loss Sofa,Validation
0,1,5,1.0,Accuracy Sofa,Training
0,1,5,0.6782946,Accuracy Sofa,Validation
0,1,5,0.101884976,Loss Train,Training
0,1,5,1.1945066,Loss Train,Validation
0,1,5,1.0,Accuracy Train,Training
0,1,5,0.9108108,Accuracy Train,Validation
0,1,5,0.12753731,Loss Television,Training
0,1,5,1.088385,Loss Television,Validation
0,1,5,1.0,Accuracy Television,Training
0,1,5,0.90909094,Accuracy Television,Validation
0,1,6,0.070536904,Loss,Training
0,1,6,1.6518148,Loss,Validation
0,1,6,1.0,Accuracy,Training
0,1,6,0.59869254,Accuracy,Validation
0,1,6,0.06557154,Loss Airplane,Training
0,1,6,1.7047305,Loss Airplane,Validation
0,1,6,1.0,Accuracy Airplane,Training
0,1,6,0.75132275,Accuracy Airplane,Validation
0,1,6,0.055708673,Loss Bicycle,Training
0,1,6,1.4084541,Loss Bicycle,Validation
0,1,6,1.0,Accuracy Bicycle,Training
0,1,6,0.73255813,Accuracy Bicycle,Validation
0,1,6,0.07910815,Loss Bird,Training
0,1,6,1.8376901,Loss Bird,Validation
0,1,6,1.0,Accuracy Bird,Training
0,1,6,0.5423729,Accuracy Bird,Validation
0,1,6,0.09144302,Loss Boat,Training
0,1,6,1.773229,Loss Boat,Validation
0,1,6,1.0,Accuracy Boat,Training
0,1,6,0.6254826,Accuracy Boat,Validation
0,1,6,0.06915314,Loss Bottle,Training
0,1,6,1.3688048,Loss Bottle,Validation
0,1,6,1.0,Accuracy Bottle,Training
0,1,6,0.84662575,Accuracy Bottle,Validation
