seed,examples_per_class,epoch,value,metric,split
0,1,0,1.9480009,Loss,Training
0,1,0,2.3680177,Loss,Validation
0,1,0,0.8564016,Accuracy,Training
0,1,0,0.53144324,Accuracy,Validation
0,1,0,1.9164796,Loss Airplane,Training
0,1,0,2.4092696,Loss Airplane,Validation
0,1,0,0.91168094,Accuracy Airplane,Training
0,1,0,0.7493188,Accuracy Airplane,Validation
0,1,0,1.5017606,Loss Bicycle,Training
0,1,0,2.0737262,Loss Bicycle,Validation
0,1,0,0.9498433,Accuracy Bicycle,Training
0,1,0,0.7873563,Accuracy Bicycle,Validation
0,1,0,2.0780365,Loss Bird,Training
0,1,0,2.5232763,Loss Bird,Validation
0,1,0,0.8939394,Accuracy Bird,Training
0,1,0,0.39461884,Accuracy Bird,Validation
0,1,0,1.6710296,Loss Boat,Training
0,1,0,2.5993743,Loss Boat,Validation
0,1,0,0.903537,Accuracy Boat,Training
0,1,0,0.21993127,Accuracy Boat,Validation
0,1,0,2.012826,Loss Bottle,Training
0,1,0,2.3256674,Loss Bottle,Validation
0,1,0,0.85064936,Accuracy Bottle,Training
0,1,0,0.7672956,Accuracy Bottle,Validation
0,1,0,2.1098464,Loss Bus,Training
0,1,0,2.2074428,Loss Bus,Validation
0,1,0,0.8498403,Accuracy Bus,Training
0,1,0,0.85251796,Accuracy Bus,Validation
0,1,0,2.1800048,Loss Car,Training
0,1,0,2.565412,Loss Car,Validation
0,1,0,0.90909094,Accuracy Car,Training
0,1,0,0.36144578,Accuracy Car,Validation
0,1,0,1.8770286,Loss Cat,Training
0,1,0,2.1134126,Loss Cat,Validation
0,1,0,0.82903224,Accuracy Cat,Training
0,1,0,0.84757507,Accuracy Cat,Validation
0,1,0,1.8741649,Loss Chair,Training
0,1,0,2.6054335,Loss Chair,Validation
0,1,0,0.8039867,Accuracy Chair,Training
0,1,0,0.058064517,Accuracy Chair,Validation
0,1,0,2.0238822,Loss Cow,Training
0,1,0,2.2003672,Loss Cow,Validation
0,1,0,0.9063444,Accuracy Cow,Training
0,1,0,0.50482315,Accuracy Cow,Validation
0,1,0,1.5201427,Loss Dining Table,Training
0,1,0,2.1877186,Loss Dining Table,Validation
0,1,0,0.9204893,Accuracy Dining Table,Training
0,1,0,0.5960591,Accuracy Dining Table,Validation
0,1,0,2.0201943,Loss Dog,Training
0,1,0,2.6051042,Loss Dog,Validation
0,1,0,0.79750776,Accuracy Dog,Training
0,1,0,0.22247191,Accuracy Dog,Validation
0,1,0,2.0778458,Loss Horse,Training
0,1,0,2.4648519,Loss Horse,Validation
0,1,0,0.8635015,Accuracy Horse,Training
0,1,0,0.3255814,Accuracy Horse,Validation
0,1,0,2.1590178,Loss Motorcycle,Training
0,1,0,2.2605731,Loss Motorcycle,Validation
0,1,0,0.6645768,Accuracy Motorcycle,Training
0,1,0,0.62323946,Accuracy Motorcycle,Validation
0,1,0,1.7727731,Loss Person,Training
0,1,0,2.702662,Loss Person,Validation
0,1,0,0.8952703,Accuracy Person,Training
0,1,0,0.09311741,Accuracy Person,Validation
0,1,0,1.637346,Loss Potted Plant,Training
0,1,0,2.6287594,Loss Potted Plant,Validation
0,1,0,0.92655367,Accuracy Potted Plant,Training
0,1,0,0.32352942,Accuracy Potted Plant,Validation
0,1,0,2.0618863,Loss Sheep,Training
0,1,0,1.930446,Loss Sheep,Validation
0,1,0,0.8714734,Accuracy Sheep,Training
0,1,0,0.79012346,Accuracy Sheep,Validation
0,1,0,1.8230581,Loss Sofa,Training
0,1,0,2.188548,Loss Sofa,Validation
0,1,0,0.84076434,Accuracy Sofa,Training
0,1,0,0.6331169,Accuracy Sofa,Validation
0,1,0,2.3348541,Loss Train,Training
0,1,0,2.3374786,Loss Train,Validation
0,1,0,0.68670887,Accuracy Train,Training
0,1,0,0.9019608,Accuracy Train,Validation
0,1,0,2.3078406,Loss Television,Training
0,1,0,2.4308283,Loss Television,Validation
0,1,0,0.85324234,Accuracy Television,Training
0,1,0,0.5767196,Accuracy Television,Validation
0,1,1,0.7584411,Loss,Training
0,1,1,2.0561118,Loss,Validation
0,1,1,0.997546,Accuracy,Training
0,1,1,0.5678271,Accuracy,Validation
0,1,1,0.78701746,Loss Airplane,Training
0,1,1,2.103759,Loss Airplane,Validation
0,1,1,1.0,Accuracy Airplane,Training
0,1,1,0.76675606,Accuracy Airplane,Validation
0,1,1,0.46786827,Loss Bicycle,Training
0,1,1,1.9038173,Loss Bicycle,Validation
0,1,1,1.0,Accuracy Bicycle,Training
0,1,1,0.6890244,Accuracy Bicycle,Validation
0,1,1,0.8849034,Loss Bird,Training
0,1,1,2.2872727,Loss Bird,Validation
0,1,1,1.0,Accuracy Bird,Training
0,1,1,0.45083934,Accuracy Bird,Validation
0,1,1,0.56902367,Loss Boat,Training
0,1,1,2.3623936,Loss Boat,Validation
0,1,1,0.9509202,Accuracy Boat,Training
0,1,1,0.29299363,Accuracy Boat,Validation
0,1,1,0.78199476,Loss Bottle,Training
0,1,1,1.9683051,Loss Bottle,Validation
0,1,1,1.0,Accuracy Bottle,Training
0,1,1,0.81528664,Accuracy Bottle,Validation
0,1,1,0.82804465,Loss Bus,Training
0,1,1,1.6416143,Loss Bus,Validation
0,1,1,1.0,Accuracy Bus,Training
0,1,1,0.88461536,Accuracy Bus,Validation
0,1,1,1.0021924,Loss Car,Training
0,1,1,2.313517,Loss Car,Validation
0,1,1,1.0,Accuracy Car,Training
0,1,1,0.3576159,Accuracy Car,Validation
0,1,1,0.7005589,Loss Cat,Training
0,1,1,1.7463266,Loss Cat,Validation
0,1,1,1.0,Accuracy Cat,Training
0,1,1,0.8445378,Accuracy Cat,Validation
0,1,1,0.77157176,Loss Chair,Training
0,1,1,2.4134037,Loss Chair,Validation
0,1,1,1.0,Accuracy Chair,Training
0,1,1,0.104575165,Accuracy Chair,Validation
0,1,1,0.88116467,Loss Cow,Training
0,1,1,1.7600329,Loss Cow,Validation
0,1,1,1.0,Accuracy Cow,Training
0,1,1,0.59726965,Accuracy Cow,Validation
0,1,1,0.3330722,Loss Dining Table,Training
0,1,1,2.042053,Loss Dining Table,Validation
0,1,1,1.0,Accuracy Dining Table,Training
0,1,1,0.46889952,Accuracy Dining Table,Validation
0,1,1,0.7701583,Loss Dog,Training
0,1,1,2.4521914,Loss Dog,Validation
0,1,1,1.0,Accuracy Dog,Training
0,1,1,0.26497695,Accuracy Dog,Validation
0,1,1,0.8202628,Loss Horse,Training
0,1,1,1.9889433,Loss Horse,Validation
0,1,1,1.0,Accuracy Horse,Training
0,1,1,0.55820894,Accuracy Horse,Validation
0,1,1,0.9350999,Loss Motorcycle,Training
0,1,1,1.7333511,Loss Motorcycle,Validation
0,1,1,1.0,Accuracy Motorcycle,Training
0,1,1,0.8819444,Accuracy Motorcycle,Validation
0,1,1,0.5769629,Loss Person,Training
0,1,1,2.7430823,Loss Person,Validation
0,1,1,1.0,Accuracy Person,Training
0,1,1,0.08634538,Accuracy Person,Validation
0,1,1,0.527881,Loss Potted Plant,Training
0,1,1,2.752709,Loss Potted Plant,Validation
0,1,1,1.0,Accuracy Potted Plant,Training
0,1,1,0.23529412,Accuracy Potted Plant,Validation
0,1,1,0.9007243,Loss Sheep,Training
0,1,1,1.5711429,Loss Sheep,Validation
0,1,1,1.0,Accuracy Sheep,Training
0,1,1,0.751938,Accuracy Sheep,Validation
0,1,1,0.5943195,Loss Sofa,Training
0,1,1,1.7357305,Loss Sofa,Validation
0,1,1,1.0,Accuracy Sofa,Training
0,1,1,0.72727275,Accuracy Sofa,Validation
0,1,1,0.9534152,Loss Train,Training
0,1,1,1.7555344,Loss Train,Validation
0,1,1,1.0,Accuracy Train,Training
0,1,1,0.8927536,Accuracy Train,Validation
0,1,1,1.0825863,Loss Television,Training
0,1,1,1.847053,Loss Television,Validation
0,1,1,1.0,Accuracy Television,Training
0,1,1,0.6853933,Accuracy Television,Validation
0,1,2,0.36612013,Loss,Training
0,1,2,1.9044892,Loss,Validation
0,1,2,0.9964744,Accuracy,Training
0,1,2,0.5587162,Accuracy,Validation
0,1,2,0.36140305,Loss Airplane,Training
0,1,2,1.9660836,Loss Airplane,Validation
0,1,2,1.0,Accuracy Airplane,Training
0,1,2,0.7255937,Accuracy Airplane,Validation
0,1,2,0.23869093,Loss Bicycle,Training
0,1,2,1.8276346,Loss Bicycle,Validation
0,1,2,1.0,Accuracy Bicycle,Training
0,1,2,0.5833333,Accuracy Bicycle,Validation
0,1,2,0.4126027,Loss Bird,Training
0,1,2,2.0741913,Loss Bird,Validation
0,1,2,1.0,Accuracy Bird,Training
0,1,2,0.5521327,Accuracy Bird,Validation
0,1,2,0.348277,Loss Boat,Training
0,1,2,2.302849,Loss Boat,Validation
0,1,2,0.92948717,Accuracy Boat,Training
0,1,2,0.26537216,Accuracy Boat,Validation
0,1,2,0.3658599,Loss Bottle,Training
0,1,2,1.7041243,Loss Bottle,Validation
0,1,2,1.0,Accuracy Bottle,Training
0,1,2,0.8164557,Accuracy Bottle,Validation
0,1,2,0.35254794,Loss Bus,Training
0,1,2,1.3811748,Loss Bus,Validation
0,1,2,1.0,Accuracy Bus,Training
0,1,2,0.88928574,Accuracy Bus,Validation
0,1,2,0.57396305,Loss Car,Training
0,1,2,2.2442188,Loss Car,Validation
0,1,2,1.0,Accuracy Car,Training
0,1,2,0.33968255,Accuracy Car,Validation
0,1,2,0.34197405,Loss Cat,Training
0,1,2,1.547605,Loss Cat,Validation
0,1,2,1.0,Accuracy Cat,Training
0,1,2,0.8055556,Accuracy Cat,Validation
0,1,2,0.37947217,Loss Chair,Training
0,1,2,2.4587228,Loss Chair,Validation
0,1,2,1.0,Accuracy Chair,Training
0,1,2,0.052287582,Accuracy Chair,Validation
0,1,2,0.41366976,Loss Cow,Training
0,1,2,1.6239809,Loss Cow,Validation
0,1,2,1.0,Accuracy Cow,Training
0,1,2,0.47697368,Accuracy Cow,Validation
0,1,2,0.13051762,Loss Dining Table,Training
0,1,2,1.9770707,Loss Dining Table,Validation
0,1,2,1.0,Accuracy Dining Table,Training
0,1,2,0.41232228,Accuracy Dining Table,Validation
0,1,2,0.4117614,Loss Dog,Training
0,1,2,2.4001853,Loss Dog,Validation
0,1,2,1.0,Accuracy Dog,Training
0,1,2,0.23623854,Accuracy Dog,Validation
0,1,2,0.35970327,Loss Horse,Training
0,1,2,1.9601358,Loss Horse,Validation
0,1,2,1.0,Accuracy Horse,Training
0,1,2,0.4390244,Accuracy Horse,Validation
0,1,2,0.42536148,Loss Motorcycle,Training
0,1,2,1.3585818,Loss Motorcycle,Validation
0,1,2,1.0,Accuracy Motorcycle,Training
0,1,2,0.9358491,Accuracy Motorcycle,Validation
0,1,2,0.26009828,Loss Person,Training
0,1,2,2.7218237,Loss Person,Validation
0,1,2,1.0,Accuracy Person,Training
0,1,2,0.12573674,Accuracy Person,Validation
0,1,2,0.2666069,Loss Potted Plant,Training
0,1,2,2.5708303,Loss Potted Plant,Validation
0,1,2,1.0,Accuracy Potted Plant,Training
0,1,2,0.31343284,Accuracy Potted Plant,Validation
0,1,2,0.429013,Loss Sheep,Training
0,1,2,1.2320354,Loss Sheep,Validation
0,1,2,1.0,Accuracy Sheep,Training
0,1,2,0.84108526,Accuracy Sheep,Validation
0,1,2,0.2921634,Loss Sofa,Training
0,1,2,1.5492992,Loss Sofa,Validation
0,1,2,1.0,Accuracy Sofa,Training
0,1,2,0.7060932,Accuracy Sofa,Validation
0,1,2,0.41914415,Loss Train,Training
0,1,2,1.6010716,Loss Train,Validation
0,1,2,1.0,Accuracy Train,Training
0,1,2,0.8535211,Accuracy Train,Validation
0,1,2,0.53957206,Loss Television,Training
0,1,2,1.5881615,Loss Television,Validation
0,1,2,1.0,Accuracy Television,Training
0,1,2,0.8043478,Accuracy Television,Validation
0,1,3,0.20887724,Loss,Training
0,1,3,1.7819465,Loss,Validation
0,1,3,0.9980362,Accuracy,Training
0,1,3,0.6100546,Accuracy,Validation
0,1,3,0.19683287,Loss Airplane,Training
0,1,3,1.856499,Loss Airplane,Validation
0,1,3,1.0,Accuracy Airplane,Training
0,1,3,0.7454068,Accuracy Airplane,Validation
0,1,3,0.15387578,Loss Bicycle,Training
0,1,3,1.5405123,Loss Bicycle,Validation
0,1,3,1.0,Accuracy Bicycle,Training
0,1,3,0.76363635,Accuracy Bicycle,Validation
0,1,3,0.19560215,Loss Bird,Training
0,1,3,1.9451481,Loss Bird,Validation
0,1,3,1.0,Accuracy Bird,Training
0,1,3,0.57274824,Accuracy Bird,Validation
0,1,3,0.22176109,Loss Boat,Training
0,1,3,2.2155225,Loss Boat,Validation
0,1,3,0.96072507,Accuracy Boat,Training
0,1,3,0.330033,Accuracy Boat,Validation
0,1,3,0.20193934,Loss Bottle,Training
0,1,3,1.6295727,Loss Bottle,Validation
0,1,3,1.0,Accuracy Bottle,Training
0,1,3,0.81182796,Accuracy Bottle,Validation
0,1,3,0.18970217,Loss Bus,Training
0,1,3,1.2116319,Loss Bus,Validation
0,1,3,1.0,Accuracy Bus,Training
0,1,3,0.90613717,Accuracy Bus,Validation
0,1,3,0.33244786,Loss Car,Training
0,1,3,2.1152494,Loss Car,Validation
0,1,3,1.0,Accuracy Car,Training
0,1,3,0.35494882,Accuracy Car,Validation
0,1,3,0.2067539,Loss Cat,Training
0,1,3,1.3953141,Loss Cat,Validation
0,1,3,1.0,Accuracy Cat,Training
0,1,3,0.8061674,Accuracy Cat,Validation
0,1,3,0.25174513,Loss Chair,Training
0,1,3,2.2323816,Loss Chair,Validation
0,1,3,1.0,Accuracy Chair,Training
0,1,3,0.29268292,Accuracy Chair,Validation
0,1,3,0.26870695,Loss Cow,Training
0,1,3,1.5258842,Loss Cow,Validation
0,1,3,1.0,Accuracy Cow,Training
0,1,3,0.5445545,Accuracy Cow,Validation
0,1,3,0.0711464,Loss Dining Table,Training
0,1,3,1.9157879,Loss Dining Table,Validation
