seed,examples_per_class,epoch,value,metric,split
0,1,0,1.9269769,Loss,Training
0,1,0,2.3726182,Loss,Validation
0,1,0,0.8540309,Accuracy,Training
0,1,0,0.54127043,Accuracy,Validation
0,1,0,1.9330823,Loss Airplane,Training
0,1,0,2.4066203,Loss Airplane,Validation
0,1,0,0.9145299,Accuracy Airplane,Training
0,1,0,0.80653954,Accuracy Airplane,Validation
0,1,0,1.514949,Loss Bicycle,Training
0,1,0,2.0493097,Loss Bicycle,Validation
0,1,0,0.94357365,Accuracy Bicycle,Training
0,1,0,0.83908045,Accuracy Bicycle,Validation
0,1,0,2.0640543,Loss Bird,Training
0,1,0,2.5034435,Loss Bird,Validation
0,1,0,0.8818182,Accuracy Bird,Training
0,1,0,0.5493274,Accuracy Bird,Validation
0,1,0,1.7993492,Loss Boat,Training
0,1,0,2.545271,Loss Boat,Validation
0,1,0,0.84887457,Accuracy Boat,Training
0,1,0,0.32646048,Accuracy Boat,Validation
0,1,0,2.0296981,Loss Bottle,Training
0,1,0,2.308936,Loss Bottle,Validation
0,1,0,0.85064936,Accuracy Bottle,Training
0,1,0,0.7672956,Accuracy Bottle,Validation
0,1,0,2.120729,Loss Bus,Training
0,1,0,2.2187219,Loss Bus,Validation
0,1,0,0.85623,Accuracy Bus,Training
0,1,0,0.8345324,Accuracy Bus,Validation
0,1,0,2.0944648,Loss Car,Training
0,1,0,2.507315,Loss Car,Validation
0,1,0,0.9,Accuracy Car,Training
0,1,0,0.4066265,Accuracy Car,Validation
0,1,0,1.9168345,Loss Cat,Training
0,1,0,2.1088462,Loss Cat,Validation
0,1,0,0.81935483,Accuracy Cat,Training
0,1,0,0.84526557,Accuracy Cat,Validation
0,1,0,1.8669896,Loss Chair,Training
0,1,0,2.5883243,Loss Chair,Validation
0,1,0,0.7973422,Accuracy Chair,Training
0,1,0,0.032258064,Accuracy Chair,Validation
0,1,0,1.9411114,Loss Cow,Training
0,1,0,2.1939313,Loss Cow,Validation
0,1,0,0.93957704,Accuracy Cow,Training
0,1,0,0.6752412,Accuracy Cow,Validation
0,1,0,1.6437622,Loss Dining Table,Training
0,1,0,2.1372838,Loss Dining Table,Validation
0,1,0,0.8868502,Accuracy Dining Table,Training
0,1,0,0.6256158,Accuracy Dining Table,Validation
0,1,0,1.9309261,Loss Dog,Training
0,1,0,2.5662103,Loss Dog,Validation
0,1,0,0.7757009,Accuracy Dog,Training
0,1,0,0.24269663,Accuracy Dog,Validation
0,1,0,2.045603,Loss Horse,Training
0,1,0,2.6466367,Loss Horse,Validation
0,1,0,0.8545994,Accuracy Horse,Training
0,1,0,0.09966777,Accuracy Horse,Validation
0,1,0,2.200578,Loss Motorcycle,Training
0,1,0,2.2373435,Loss Motorcycle,Validation
0,1,0,0.6583072,Accuracy Motorcycle,Training
0,1,0,0.6197183,Accuracy Motorcycle,Validation
0,1,0,1.5567834,Loss Person,Training
0,1,0,2.8946474,Loss Person,Validation
0,1,0,0.9189189,Accuracy Person,Training
0,1,0,0.053643726,Accuracy Person,Validation
0,1,0,1.5994939,Loss Potted Plant,Training
0,1,0,2.6067677,Loss Potted Plant,Validation
0,1,0,0.9180791,Accuracy Potted Plant,Training
0,1,0,0.32352942,Accuracy Potted Plant,Validation
0,1,0,1.9074141,Loss Sheep,Training
0,1,0,2.019062,Loss Sheep,Validation
0,1,0,0.9247649,Accuracy Sheep,Training
0,1,0,0.74485594,Accuracy Sheep,Validation
0,1,0,1.8041403,Loss Sofa,Training
0,1,0,2.172895,Loss Sofa,Validation
0,1,0,0.8503185,Accuracy Sofa,Training
0,1,0,0.6331169,Accuracy Sofa,Validation
0,1,0,2.2554786,Loss Train,Training
0,1,0,2.3180172,Loss Train,Validation
0,1,0,0.7151899,Accuracy Train,Training
0,1,0,0.9131653,Accuracy Train,Validation
0,1,0,2.3140976,Loss Television,Training
0,1,0,2.4227881,Loss Television,Validation
0,1,0,0.8259386,Accuracy Television,Training
0,1,0,0.48677248,Accuracy Television,Validation
0,1,1,0.7374219,Loss,Training
0,1,1,2.0884893,Loss,Validation
0,1,1,0.9947654,Accuracy,Training
0,1,1,0.5695933,Accuracy,Validation
0,1,1,0.78212905,Loss Airplane,Training
0,1,1,2.0712204,Loss Airplane,Validation
0,1,1,1.0,Accuracy Airplane,Training
0,1,1,0.8364611,Accuracy Airplane,Validation
0,1,1,0.47476286,Loss Bicycle,Training
0,1,1,1.9438945,Loss Bicycle,Validation
0,1,1,1.0,Accuracy Bicycle,Training
0,1,1,0.58536583,Accuracy Bicycle,Validation
0,1,1,0.8806099,Loss Bird,Training
0,1,1,2.2888,Loss Bird,Validation
0,1,1,1.0,Accuracy Bird,Training
0,1,1,0.52757794,Accuracy Bird,Validation
0,1,1,0.76289284,Loss Boat,Training
0,1,1,2.2281704,Loss Boat,Validation
0,1,1,0.9110429,Accuracy Boat,Training
0,1,1,0.49044585,Accuracy Boat,Validation
0,1,1,0.80609846,Loss Bottle,Training
0,1,1,1.9667298,Loss Bottle,Validation
0,1,1,1.0,Accuracy Bottle,Training
0,1,1,0.84076434,Accuracy Bottle,Validation
0,1,1,0.85005605,Loss Bus,Training
0,1,1,1.6732,Loss Bus,Validation
0,1,1,1.0,Accuracy Bus,Training
0,1,1,0.8636364,Accuracy Bus,Validation
0,1,1,0.88882715,Loss Car,Training
0,1,1,2.289309,Loss Car,Validation
0,1,1,1.0,Accuracy Car,Training
0,1,1,0.3576159,Accuracy Car,Validation
0,1,1,0.73566765,Loss Cat,Training
0,1,1,1.7230581,Loss Cat,Validation
0,1,1,1.0,Accuracy Cat,Training
0,1,1,0.8445378,Accuracy Cat,Validation
0,1,1,0.7368747,Loss Chair,Training
0,1,1,2.4291515,Loss Chair,Validation
0,1,1,1.0,Accuracy Chair,Training
0,1,1,0.09150327,Accuracy Chair,Validation
0,1,1,0.7372394,Loss Cow,Training
0,1,1,1.7656652,Loss Cow,Validation
0,1,1,1.0,Accuracy Cow,Training
0,1,1,0.6587031,Accuracy Cow,Validation
0,1,1,0.48095632,Loss Dining Table,Training
0,1,1,1.8887104,Loss Dining Table,Validation
0,1,1,1.0,Accuracy Dining Table,Training
0,1,1,0.5502392,Accuracy Dining Table,Validation
0,1,1,0.6903485,Loss Dog,Training
0,1,1,2.422575,Loss Dog,Validation
0,1,1,0.9936709,Accuracy Dog,Training
0,1,1,0.35253456,Accuracy Dog,Validation
0,1,1,0.77214724,Loss Horse,Training
0,1,1,2.2852523,Loss Horse,Validation
0,1,1,1.0,Accuracy Horse,Training
0,1,1,0.31343284,Accuracy Horse,Validation
0,1,1,0.9945698,Loss Motorcycle,Training
0,1,1,1.7174698,Loss Motorcycle,Validation
0,1,1,1.0,Accuracy Motorcycle,Training
0,1,1,0.8506944,Accuracy Motorcycle,Validation
0,1,1,0.371124,Loss Person,Training
0,1,1,3.2121112,Loss Person,Validation
0,1,1,1.0,Accuracy Person,Training
0,1,1,0.016064256,Accuracy Person,Validation
0,1,1,0.5221573,Loss Potted Plant,Training
0,1,1,2.730936,Loss Potted Plant,Validation
0,1,1,1.0,Accuracy Potted Plant,Training
0,1,1,0.22058824,Accuracy Potted Plant,Validation
0,1,1,0.7260446,Loss Sheep,Training
0,1,1,1.7515534,Loss Sheep,Validation
0,1,1,1.0,Accuracy Sheep,Training
0,1,1,0.64728683,Accuracy Sheep,Validation
0,1,1,0.6294197,Loss Sofa,Training
0,1,1,1.7403765,Loss Sofa,Validation
0,1,1,0.99059564,Accuracy Sofa,Training
0,1,1,0.7062937,Accuracy Sofa,Validation
0,1,1,0.81932664,Loss Train,Training
0,1,1,1.7997816,Loss Train,Validation
0,1,1,1.0,Accuracy Train,Training
0,1,1,0.9246377,Accuracy Train,Validation
0,1,1,1.0871855,Loss Television,Training
0,1,1,1.8418235,Loss Television,Validation
0,1,1,1.0,Accuracy Television,Training
0,1,1,0.71348315,Accuracy Television,Validation
0,1,2,0.35387966,Loss,Training
0,1,2,1.930249,Loss,Validation
0,1,2,0.99919873,Accuracy,Training
0,1,2,0.5758389,Accuracy,Validation
0,1,2,0.3541914,Loss Airplane,Training
0,1,2,1.9437522,Loss Airplane,Validation
0,1,2,1.0,Accuracy Airplane,Training
0,1,2,0.86279684,Accuracy Airplane,Validation
0,1,2,0.25565767,Loss Bicycle,Training
0,1,2,1.8090317,Loss Bicycle,Validation
0,1,2,1.0,Accuracy Bicycle,Training
0,1,2,0.5833333,Accuracy Bicycle,Validation
0,1,2,0.39518604,Loss Bird,Training
0,1,2,2.0807457,Loss Bird,Validation
0,1,2,1.0,Accuracy Bird,Training
0,1,2,0.6066351,Accuracy Bird,Validation
0,1,2,0.3657343,Loss Boat,Training
0,1,2,2.0666115,Loss Boat,Validation
0,1,2,0.98397434,Accuracy Boat,Training
0,1,2,0.5275081,Accuracy Boat,Validation
0,1,2,0.36230513,Loss Bottle,Training
0,1,2,1.6820152,Loss Bottle,Validation
0,1,2,1.0,Accuracy Bottle,Training
0,1,2,0.835443,Accuracy Bottle,Validation
0,1,2,0.36562213,Loss Bus,Training
0,1,2,1.3869989,Loss Bus,Validation
0,1,2,1.0,Accuracy Bus,Training
0,1,2,0.8642857,Accuracy Bus,Validation
0,1,2,0.52686626,Loss Car,Training
0,1,2,2.2722654,Loss Car,Validation
0,1,2,1.0,Accuracy Car,Training
0,1,2,0.36190477,Accuracy Car,Validation
0,1,2,0.3449929,Loss Cat,Training
0,1,2,1.5616432,Loss Cat,Validation
0,1,2,1.0,Accuracy Cat,Training
0,1,2,0.8194444,Accuracy Cat,Validation
0,1,2,0.3604227,Loss Chair,Training
0,1,2,2.501119,Loss Chair,Validation
0,1,2,1.0,Accuracy Chair,Training
0,1,2,0.052287582,Accuracy Chair,Validation
0,1,2,0.33580437,Loss Cow,Training
0,1,2,1.602231,Loss Cow,Validation
0,1,2,1.0,Accuracy Cow,Training
0,1,2,0.6184211,Accuracy Cow,Validation
0,1,2,0.22133511,Loss Dining Table,Training
0,1,2,1.7156414,Loss Dining Table,Validation
0,1,2,1.0,Accuracy Dining Table,Training
0,1,2,0.55450237,Accuracy Dining Table,Validation
0,1,2,0.42146698,Loss Dog,Training
0,1,2,2.3183663,Loss Dog,Validation
0,1,2,1.0,Accuracy Dog,Training
0,1,2,0.32798165,Accuracy Dog,Validation
0,1,2,0.3346736,Loss Horse,Training
0,1,2,2.2516913,Loss Horse,Validation
0,1,2,1.0,Accuracy Horse,Training
0,1,2,0.2621951,Accuracy Horse,Validation
0,1,2,0.47263822,Loss Motorcycle,Training
0,1,2,1.2874045,Loss Motorcycle,Validation
0,1,2,1.0,Accuracy Motorcycle,Training
0,1,2,0.93962264,Accuracy Motorcycle,Validation
0,1,2,0.1445676,Loss Person,Training
0,1,2,3.3664541,Loss Person,Validation
0,1,2,1.0,Accuracy Person,Training
0,1,2,0.010805501,Accuracy Person,Validation
0,1,2,0.25659046,Loss Potted Plant,Training
0,1,2,2.571492,Loss Potted Plant,Validation
0,1,2,1.0,Accuracy Potted Plant,Training
0,1,2,0.23880596,Accuracy Potted Plant,Validation
0,1,2,0.3419361,Loss Sheep,Training
0,1,2,1.4244107,Loss Sheep,Validation
0,1,2,1.0,Accuracy Sheep,Training
0,1,2,0.68604654,Accuracy Sheep,Validation
0,1,2,0.31342277,Loss Sofa,Training
0,1,2,1.5207804,Loss Sofa,Validation
0,1,2,1.0,Accuracy Sofa,Training
0,1,2,0.7060932,Accuracy Sofa,Validation
0,1,2,0.35882476,Loss Train,Training
0,1,2,1.6568627,Loss Train,Validation
0,1,2,1.0,Accuracy Train,Training
0,1,2,0.8760563,Accuracy Train,Validation
0,1,2,0.5453555,Loss Television,Training
0,1,2,1.5854594,Loss Television,Validation
0,1,2,1.0,Accuracy Television,Training
0,1,2,0.7826087,Accuracy Television,Validation
0,1,3,0.20702448,Loss,Training
0,1,3,1.8157136,Loss,Validation
0,1,3,1.0,Accuracy,Training
0,1,3,0.599897,Accuracy,Validation
0,1,3,0.19247065,Loss Airplane,Training
0,1,3,1.8166829,Loss Airplane,Validation
0,1,3,1.0,Accuracy Airplane,Training
0,1,3,0.8346457,Accuracy Airplane,Validation
0,1,3,0.15575159,Loss Bicycle,Training
0,1,3,1.5530432,Loss Bicycle,Validation
0,1,3,1.0,Accuracy Bicycle,Training
0,1,3,0.73333335,Accuracy Bicycle,Validation
0,1,3,0.20146106,Loss Bird,Training
0,1,3,1.9720329,Loss Bird,Validation
0,1,3,1.0,Accuracy Bird,Training
0,1,3,0.60277134,Accuracy Bird,Validation
0,1,3,0.27444658,Loss Boat,Training
0,1,3,1.9294534,Loss Boat,Validation
0,1,3,1.0,Accuracy Boat,Training
0,1,3,0.5709571,Accuracy Boat,Validation
0,1,3,0.20325847,Loss Bottle,Training
0,1,3,1.6309053,Loss Bottle,Validation
0,1,3,1.0,Accuracy Bottle,Training
0,1,3,0.81182796,Accuracy Bottle,Validation
0,1,3,0.19955331,Loss Bus,Training
0,1,3,1.2371964,Loss Bus,Validation
0,1,3,1.0,Accuracy Bus,Training
0,1,3,0.8700361,Accuracy Bus,Validation
0,1,3,0.33302245,Loss Car,Training
0,1,3,2.120142,Loss Car,Validation
0,1,3,1.0,Accuracy Car,Training
0,1,3,0.37542662,Accuracy Car,Validation
0,1,3,0.21541926,Loss Cat,Training
0,1,3,1.394956,Loss Cat,Validation
0,1,3,1.0,Accuracy Cat,Training
0,1,3,0.8215859,Accuracy Cat,Validation
0,1,3,0.25239265,Loss Chair,Training
0,1,3,2.2594337,Loss Chair,Validation
0,1,3,1.0,Accuracy Chair,Training
0,1,3,0.085365854,Accuracy Chair,Validation
0,1,3,0.1939251,Loss Cow,Training
0,1,3,1.5267334,Loss Cow,Validation
0,1,3,1.0,Accuracy Cow,Training
0,1,3,0.63036305,Accuracy Cow,Validation
0,1,3,0.16533656,Loss Dining Table,Training
0,1,3,1.5538582,Loss Dining Table,Validation
0,1,3,1.0,Accuracy Dining Table,Training
0,1,3,0.6648936,Accuracy Dining Table,Validation
0,1,3,0.22372559,Loss Dog,Training
0,1,3,2.1516092,Loss Dog,Validation
0,1,3,1.0,Accuracy Dog,Training
0,1,3,0.38584474,Accuracy Dog,Validation
0,1,3,0.19316456,Loss Horse,Training
0,1,3,2.1147022,Loss Horse,Validation
0,1,3,1.0,Accuracy Horse,Training
0,1,3,0.34117648,Accuracy Horse,Validation
0,1,3,0.2533909,Loss Motorcycle,Training
0,1,3,1.1952634,Loss Motorcycle,Validation
0,1,3,1.0,Accuracy Motorcycle,Training
0,1,3,0.8916084,Accuracy Motorcycle,Validation
0,1,3,0.07250007,Loss Person,Training
0,1,3,3.4731417,Loss Person,Validation
0,1,3,1.0,Accuracy Person,Training
0,1,3,0.012282497,Accuracy Person,Validation
0,1,3,0.13986142,Loss Potted Plant,Training
0,1,3,2.6098754,Loss Potted Plant,Validation
0,1,3,1.0,Accuracy Potted Plant,Training
0,1,3,0.2890625,Accuracy Potted Plant,Validation
0,1,3,0.18858601,Loss Sheep,Training
0,1,3,1.3498626,Loss Sheep,Validation
0,1,3,1.0,Accuracy Sheep,Training
0,1,3,0.6851064,Accuracy Sheep,Validation
0,1,3,0.17361397,Loss Sofa,Training
0,1,3,1.4837258,Loss Sofa,Validation
0,1,3,1.0,Accuracy Sofa,Training
0,1,3,0.6917808,Accuracy Sofa,Validation
0,1,3,0.19983058,Loss Train,Training
0,1,3,1.4606602,Loss Train,Validation
0,1,3,1.0,Accuracy Train,Training
0,1,3,0.8988764,Accuracy Train,Validation
0,1,3,0.30877882,Loss Television,Training
0,1,3,1.480999,Loss Television,Validation
0,1,3,1.0,Accuracy Television,Training
0,1,3,0.80099505,Accuracy Television,Validation
0,1,4,0.1389679,Loss,Training
0,1,4,1.7521098,Loss,Validation
0,1,4,1.0,Accuracy,Training
0,1,4,0.6030963,Accuracy,Validation
0,1,4,0.13658947,Loss Airplane,Training
0,1,4,1.731021,Loss Airplane,Validation
0,1,4,1.0,Accuracy Airplane,Training
0,1,4,0.80927837,Accuracy Airplane,Validation
0,1,4,0.09435008,Loss Bicycle,Training
0,1,4,1.6275042,Loss Bicycle,Validation
0,1,4,1.0,Accuracy Bicycle,Training
0,1,4,0.6405229,Accuracy Bicycle,Validation
0,1,4,0.14666441,Loss Bird,Training
0,1,4,1.9718415,Loss Bird,Validation
0,1,4,1.0,Accuracy Bird,Training
0,1,4,0.55714285,Accuracy Bird,Validation
0,1,4,0.21701825,Loss Boat,Training
0,1,4,1.6052635,Loss Boat,Validation
0,1,4,1.0,Accuracy Boat,Training
0,1,4,0.7832168,Accuracy Boat,Validation
0,1,4,0.12375554,Loss Bottle,Training
0,1,4,1.5673261,Loss Bottle,Validation
0,1,4,1.0,Accuracy Bottle,Training
0,1,4,0.84415585,Accuracy Bottle,Validation
0,1,4,0.13017532,Loss Bus,Training
0,1,4,1.1570969,Loss Bus,Validation
0,1,4,1.0,Accuracy Bus,Training
0,1,4,0.875817,Accuracy Bus,Validation
0,1,4,0.22925976,Loss Car,Training
0,1,4,2.0557334,Loss Car,Validation
0,1,4,1.0,Accuracy Car,Training
0,1,4,0.41033435,Accuracy Car,Validation
0,1,4,0.13400742,Loss Cat,Training
0,1,4,1.3125509,Loss Cat,Validation
0,1,4,1.0,Accuracy Cat,Training
0,1,4,0.84741783,Accuracy Cat,Validation
0,1,4,0.16083524,Loss Chair,Training
0,1,4,2.1971154,Loss Chair,Validation
0,1,4,1.0,Accuracy Chair,Training
0,1,4,0.13793103,Accuracy Chair,Validation
0,1,4,0.123751886,Loss Cow,Training
0,1,4,1.4130311,Loss Cow,Validation
0,1,4,1.0,Accuracy Cow,Training
0,1,4,0.69579285,Accuracy Cow,Validation
0,1,4,0.09905722,Loss Dining Table,Training
0,1,4,1.6372621,Loss Dining Table,Validation
0,1,4,1.0,Accuracy Dining Table,Training
0,1,4,0.5707071,Accuracy Dining Table,Validation
0,1,4,0.15566269,Loss Dog,Training
0,1,4,2.0602856,Loss Dog,Validation
0,1,4,1.0,Accuracy Dog,Training
0,1,4,0.39873418,Accuracy Dog,Validation
0,1,4,0.12585624,Loss Horse,Training
0,1,4,2.1647744,Loss Horse,Validation
0,1,4,1.0,Accuracy Horse,Training
0,1,4,0.27405247,Accuracy Horse,Validation
0,1,4,0.19086842,Loss Motorcycle,Training
0,1,4,1.098265,Loss Motorcycle,Validation
0,1,4,1.0,Accuracy Motorcycle,Training
0,1,4,0.9189189,Accuracy Motorcycle,Validation
0,1,4,0.048953082,Loss Person,Training
0,1,4,3.5582643,Loss Person,Validation
0,1,4,1.0,Accuracy Person,Training
0,1,4,0.0071647903,Accuracy Person,Validation
0,1,4,0.09140556,Loss Potted Plant,Training
0,1,4,2.4774613,Loss Potted Plant,Validation
0,1,4,1.0,Accuracy Potted Plant,Training
0,1,4,0.28985506,Accuracy Potted Plant,Validation
0,1,4,0.120243095,Loss Sheep,Training
0,1,4,1.3199333,Loss Sheep,Validation
0,1,4,1.0,Accuracy Sheep,Training
0,1,4,0.6260504,Accuracy Sheep,Validation
0,1,4,0.1202288,Loss Sofa,Training
0,1,4,1.4299865,Loss Sofa,Validation
0,1,4,1.0,Accuracy Sofa,Training
0,1,4,0.66887414,Accuracy Sofa,Validation
0,1,4,0.14009923,Loss Train,Training
0,1,4,1.3169603,Loss Train,Validation
0,1,4,1.0,Accuracy Train,Training
0,1,4,0.9371728,Accuracy Train,Validation
0,1,4,0.19057645,Loss Television,Training
0,1,4,1.3405176,Loss Television,Validation
0,1,4,1.0,Accuracy Television,Training
