seed,examples_per_class,epoch,value,metric,split
0,1,0,1.9383417,Loss,Training
0,1,0,2.3745427,Loss,Validation
0,1,0,0.8467892,Accuracy,Training
0,1,0,0.5473398,Accuracy,Validation
0,1,0,1.9458754,Loss Airplane,Training
0,1,0,2.3928313,Loss Airplane,Validation
0,1,0,0.91168094,Accuracy Airplane,Training
0,1,0,0.7683924,Accuracy Airplane,Validation
0,1,0,1.4809331,Loss Bicycle,Training
0,1,0,2.0809329,Loss Bicycle,Validation
0,1,0,0.94357365,Accuracy Bicycle,Training
0,1,0,0.82758623,Accuracy Bicycle,Validation
0,1,0,2.0951748,Loss Bird,Training
0,1,0,2.5008168,Loss Bird,Validation
0,1,0,0.8848485,Accuracy Bird,Training
0,1,0,0.5201794,Accuracy Bird,Validation
0,1,0,1.8417811,Loss Boat,Training
0,1,0,2.5443711,Loss Boat,Validation
0,1,0,0.83601284,Accuracy Boat,Training
0,1,0,0.32302406,Accuracy Boat,Validation
0,1,0,2.0198205,Loss Bottle,Training
0,1,0,2.3298647,Loss Bottle,Validation
0,1,0,0.8538961,Accuracy Bottle,Training
0,1,0,0.7672956,Accuracy Bottle,Validation
0,1,0,2.1086993,Loss Bus,Training
0,1,0,2.2177553,Loss Bus,Validation
0,1,0,0.8690096,Accuracy Bus,Training
0,1,0,0.8345324,Accuracy Bus,Validation
0,1,0,2.0780623,Loss Car,Training
0,1,0,2.5059464,Loss Car,Validation
0,1,0,0.9,Accuracy Car,Training
0,1,0,0.42168674,Accuracy Car,Validation
0,1,0,1.9266592,Loss Cat,Training
0,1,0,2.129375,Loss Cat,Validation
0,1,0,0.8,Accuracy Cat,Training
0,1,0,0.84526557,Accuracy Cat,Validation
0,1,0,1.8884529,Loss Chair,Training
0,1,0,2.6030426,Loss Chair,Validation
0,1,0,0.7707641,Accuracy Chair,Training
0,1,0,0.058064517,Accuracy Chair,Validation
0,1,0,2.0579123,Loss Cow,Training
0,1,0,2.1971917,Loss Cow,Validation
0,1,0,0.9003021,Accuracy Cow,Training
0,1,0,0.58842444,Accuracy Cow,Validation
0,1,0,1.6432613,Loss Dining Table,Training
0,1,0,2.1432981,Loss Dining Table,Validation
0,1,0,0.88990825,Accuracy Dining Table,Training
0,1,0,0.67487687,Accuracy Dining Table,Validation
0,1,0,1.8798319,Loss Dog,Training
0,1,0,2.594626,Loss Dog,Validation
0,1,0,0.7757009,Accuracy Dog,Training
0,1,0,0.20224719,Accuracy Dog,Validation
0,1,0,2.0920324,Loss Horse,Training
0,1,0,2.4862366,Loss Horse,Validation
0,1,0,0.8278932,Accuracy Horse,Training
0,1,0,0.3488372,Accuracy Horse,Validation
0,1,0,2.2158844,Loss Motorcycle,Training
0,1,0,2.273857,Loss Motorcycle,Validation
0,1,0,0.6583072,Accuracy Motorcycle,Training
0,1,0,0.60211265,Accuracy Motorcycle,Validation
0,1,0,1.5660864,Loss Person,Training
0,1,0,2.905938,Loss Person,Validation
0,1,0,0.9189189,Accuracy Person,Training
0,1,0,0.054655872,Accuracy Person,Validation
0,1,0,1.6115826,Loss Potted Plant,Training
0,1,0,2.6153052,Loss Potted Plant,Validation
0,1,0,0.91525424,Accuracy Potted Plant,Training
0,1,0,0.32352942,Accuracy Potted Plant,Validation
0,1,0,1.9062415,Loss Sheep,Training
0,1,0,2.01944,Loss Sheep,Validation
0,1,0,0.9216301,Accuracy Sheep,Training
0,1,0,0.74485594,Accuracy Sheep,Validation
0,1,0,1.8180062,Loss Sofa,Training
0,1,0,2.1983976,Loss Sofa,Validation
0,1,0,0.85350317,Accuracy Sofa,Training
0,1,0,0.6201299,Accuracy Sofa,Validation
0,1,0,2.2549367,Loss Train,Training
0,1,0,2.3215535,Loss Train,Validation
0,1,0,0.70253164,Accuracy Train,Training
0,1,0,0.9131653,Accuracy Train,Validation
0,1,0,2.3356004,Loss Television,Training
0,1,0,2.4300714,Loss Television,Validation
