seed,examples_per_class,epoch,value,metric,split
0,1,0,1.9584682,Loss,Training
0,1,0,2.3601403,Loss,Validation
0,1,0,0.85031843,Accuracy,Training
0,1,0,0.53588754,Accuracy,Validation
0,1,0,1.9178084,Loss Airplane,Training
0,1,0,2.3903599,Loss Airplane,Validation
0,1,0,0.92877495,Accuracy Airplane,Training
0,1,0,0.7438692,Accuracy Airplane,Validation
0,1,0,1.5035738,Loss Bicycle,Training
0,1,0,2.04618,Loss Bicycle,Validation
0,1,0,0.9341693,Accuracy Bicycle,Training
0,1,0,0.8218391,Accuracy Bicycle,Validation
0,1,0,2.10201,Loss Bird,Training
0,1,0,2.5107007,Loss Bird,Validation
0,1,0,0.8636364,Accuracy Bird,Training
0,1,0,0.4103139,Accuracy Bird,Validation
0,1,0,1.7650259,Loss Boat,Training
0,1,0,2.5660357,Loss Boat,Validation
0,1,0,0.8745981,Accuracy Boat,Training
0,1,0,0.24054983,Accuracy Boat,Validation
0,1,0,2.0205061,Loss Bottle,Training
0,1,0,2.2979274,Loss Bottle,Validation
0,1,0,0.84090906,Accuracy Bottle,Training
0,1,0,0.7924528,Accuracy Bottle,Validation
0,1,0,2.1261308,Loss Bus,Training
0,1,0,2.19965,Loss Bus,Validation
0,1,0,0.85942495,Accuracy Bus,Training
0,1,0,0.8417266,Accuracy Bus,Validation
0,1,0,2.185808,Loss Car,Training
0,1,0,2.575423,Loss Car,Validation
0,1,0,0.91212124,Accuracy Car,Training
0,1,0,0.33433735,Accuracy Car,Validation
0,1,0,1.90967,Loss Cat,Training
0,1,0,2.1119773,Loss Cat,Validation
0,1,0,0.83225805,Accuracy Cat,Training
0,1,0,0.83371824,Accuracy Cat,Validation
0,1,0,1.9000883,Loss Chair,Training
0,1,0,2.6291282,Loss Chair,Validation
0,1,0,0.7906977,Accuracy Chair,Training
0,1,0,0.058064517,Accuracy Chair,Validation
0,1,0,2.0205054,Loss Cow,Training
0,1,0,2.2015076,Loss Cow,Validation
0,1,0,0.897281,Accuracy Cow,Training
0,1,0,0.55948555,Accuracy Cow,Validation
0,1,0,1.6008915,Loss Dining Table,Training
0,1,0,2.136195,Loss Dining Table,Validation
0,1,0,0.88990825,Accuracy Dining Table,Training
0,1,0,0.6256158,Accuracy Dining Table,Validation
