seed,examples_per_class,epoch,value,metric,split
0,1,0,1.9518954,Loss,Training
0,1,0,2.3673997,Loss,Validation
0,1,0,0.8481863,Accuracy,Training
0,1,0,0.5517423,Accuracy,Validation
0,1,0,1.9201896,Loss Airplane,Training
0,1,0,2.3973053,Loss Airplane,Validation
0,1,0,0.9430199,Accuracy Airplane,Training
0,1,0,0.8201635,Accuracy Airplane,Validation
0,1,0,1.4992434,Loss Bicycle,Training
0,1,0,2.0793972,Loss Bicycle,Validation
0,1,0,0.9373041,Accuracy Bicycle,Training
0,1,0,0.82758623,Accuracy Bicycle,Validation
0,1,0,2.1115217,Loss Bird,Training
0,1,0,2.5162323,Loss Bird,Validation
0,1,0,0.8575758,Accuracy Bird,Training
0,1,0,0.49327356,Accuracy Bird,Validation
0,1,0,1.8826461,Loss Boat,Training
0,1,0,2.550166,Loss Boat,Validation
0,1,0,0.8199357,Accuracy Boat,Training
0,1,0,0.3161512,Accuracy Boat,Validation
0,1,0,2.0461667,Loss Bottle,Training
0,1,0,2.3408952,Loss Bottle,Validation
0,1,0,0.85064936,Accuracy Bottle,Training
0,1,0,0.7672956,Accuracy Bottle,Validation
0,1,0,2.145868,Loss Bus,Training
0,1,0,2.219905,Loss Bus,Validation
0,1,0,0.85303515,Accuracy Bus,Training
0,1,0,0.8345324,Accuracy Bus,Validation
0,1,0,2.0468135,Loss Car,Training
0,1,0,2.5057602,Loss Car,Validation
0,1,0,0.90909094,Accuracy Car,Training
0,1,0,0.46084338,Accuracy Car,Validation
0,1,0,1.926207,Loss Cat,Training
0,1,0,2.131895,Loss Cat,Validation
0,1,0,0.8129032,Accuracy Cat,Training
0,1,0,0.852194,Accuracy Cat,Validation
0,1,0,1.8451995,Loss Chair,Training
0,1,0,2.6400368,Loss Chair,Validation
0,1,0,0.7641196,Accuracy Chair,Training
0,1,0,0.058064517,Accuracy Chair,Validation
0,1,0,2.0332067,Loss Cow,Training
0,1,0,2.1842606,Loss Cow,Validation
0,1,0,0.9003021,Accuracy Cow,Training
0,1,0,0.6045016,Accuracy Cow,Validation
0,1,0,1.660867,Loss Dining Table,Training
0,1,0,2.1285172,Loss Dining Table,Validation
0,1,0,0.90519875,Accuracy Dining Table,Training
0,1,0,0.6502463,Accuracy Dining Table,Validation
0,1,0,1.9334397,Loss Dog,Training
0,1,0,2.595003,Loss Dog,Validation
0,1,0,0.7757009,Accuracy Dog,Training
0,1,0,0.21573034,Accuracy Dog,Validation
0,1,0,2.0811338,Loss Horse,Training
0,1,0,2.4980555,Loss Horse,Validation
0,1,0,0.86646885,Accuracy Horse,Training
0,1,0,0.2591362,Accuracy Horse,Validation
0,1,0,2.2004292,Loss Motorcycle,Training
0,1,0,2.2697597,Loss Motorcycle,Validation
0,1,0,0.661442,Accuracy Motorcycle,Training
0,1,0,0.6056338,Accuracy Motorcycle,Validation
0,1,0,1.7963734,Loss Person,Training
0,1,0,2.7365139,Loss Person,Validation
0,1,0,0.8918919,Accuracy Person,Training
0,1,0,0.09919028,Accuracy Person,Validation
0,1,0,1.6219544,Loss Potted Plant,Training
0,1,0,2.6199214,Loss Potted Plant,Validation
0,1,0,0.9237288,Accuracy Potted Plant,Training
0,1,0,0.32352942,Accuracy Potted Plant,Validation
0,1,0,1.8893056,Loss Sheep,Training
0,1,0,2.0090125,Loss Sheep,Validation
0,1,0,0.92789966,Accuracy Sheep,Training
0,1,0,0.7572017,Accuracy Sheep,Validation
0,1,0,1.8241072,Loss Sofa,Training
0,1,0,2.1768887,Loss Sofa,Validation
0,1,0,0.85987264,Accuracy Sofa,Training
0,1,0,0.6525974,Accuracy Sofa,Validation
0,1,0,2.2464106,Loss Train,Training
0,1,0,2.3358254,Loss Train,Validation
0,1,0,0.7151899,Accuracy Train,Training
0,1,0,0.9131653,Accuracy Train,Validation
0,1,0,2.3268235,Loss Television,Training
0,1,0,2.4126403,Loss Television,Validation
0,1,0,0.7883959,Accuracy Television,Training
0,1,0,0.52380955,Accuracy Television,Validation
0,1,1,0.7712304,Loss,Training
0,1,1,2.0563617,Loss,Validation
0,1,1,0.99630153,Accuracy,Training
0,1,1,0.5689374,Accuracy,Validation
