seed,examples_per_class,epoch,value,metric,split
0,1,0,1.805541,Loss,Training
0,1,0,2.3778408,Loss,Validation
0,1,0,0.87827337,Accuracy,Training
0,1,0,0.5446752,Accuracy,Validation
0,1,0,1.7901086,Loss Airplane,Training
0,1,0,2.307805,Loss Airplane,Validation
0,1,0,0.92022794,Accuracy Airplane,Training
0,1,0,0.8501362,Accuracy Airplane,Validation
0,1,0,1.4032166,Loss Bicycle,Training
0,1,0,1.9399642,Loss Bicycle,Validation
0,1,0,0.9498433,Accuracy Bicycle,Training
0,1,0,0.88505745,Accuracy Bicycle,Validation
0,1,0,1.8735073,Loss Bird,Training
0,1,0,2.5444658,Loss Bird,Validation
0,1,0,0.91515154,Accuracy Bird,Training
0,1,0,0.51121074,Accuracy Bird,Validation
0,1,0,2.183921,Loss Boat,Training
0,1,0,2.5625637,Loss Boat,Validation
0,1,0,0.7363344,Accuracy Boat,Training
0,1,0,0.2783505,Accuracy Boat,Validation
0,1,0,1.8363118,Loss Bottle,Training
0,1,0,2.2724137,Loss Bottle,Validation
0,1,0,0.8766234,Accuracy Bottle,Training
0,1,0,0.754717,Accuracy Bottle,Validation
0,1,0,2.04792,Loss Bus,Training
0,1,0,2.1371775,Loss Bus,Validation
0,1,0,0.8658147,Accuracy Bus,Training
0,1,0,0.9388489,Accuracy Bus,Validation
0,1,0,2.1392713,Loss Car,Training
0,1,0,2.4623637,Loss Car,Validation
0,1,0,0.8848485,Accuracy Car,Training
0,1,0,0.37349397,Accuracy Car,Validation
0,1,0,1.8881805,Loss Cat,Training
0,1,0,1.9921873,Loss Cat,Validation
0,1,0,0.82903224,Accuracy Cat,Training
0,1,0,0.8683603,Accuracy Cat,Validation
0,1,0,1.7660342,Loss Chair,Training
0,1,0,2.5514078,Loss Chair,Validation
0,1,0,0.88372093,Accuracy Chair,Training
0,1,0,0.23225807,Accuracy Chair,Validation
0,1,0,1.7452345,Loss Cow,Training
0,1,0,2.2815442,Loss Cow,Validation
0,1,0,0.9728097,Accuracy Cow,Training
0,1,0,0.5401929,Accuracy Cow,Validation
0,1,0,1.5113894,Loss Dining Table,Training
0,1,0,2.0675633,Loss Dining Table,Validation
0,1,0,0.9174312,Accuracy Dining Table,Training
0,1,0,0.6600985,Accuracy Dining Table,Validation
0,1,0,1.8285497,Loss Dog,Training
0,1,0,2.4858344,Loss Dog,Validation
0,1,0,0.83800626,Accuracy Dog,Training
0,1,0,0.38651684,Accuracy Dog,Validation
0,1,0,1.6994435,Loss Horse,Training
0,1,0,2.6985931,Loss Horse,Validation
0,1,0,0.9198813,Accuracy Horse,Training
0,1,0,0.27242523,Accuracy Horse,Validation
0,1,0,2.1347594,Loss Motorcycle,Training
0,1,0,2.1302981,Loss Motorcycle,Validation
0,1,0,0.6363636,Accuracy Motorcycle,Training
0,1,0,0.693662,Accuracy Motorcycle,Validation
0,1,0,1.4036553,Loss Person,Training
0,1,0,3.1513174,Loss Person,Validation
0,1,0,0.9425676,Accuracy Person,Training
0,1,0,0.0354251,Accuracy Person,Validation
0,1,0,1.410878,Loss Potted Plant,Training
0,1,0,2.6623085,Loss Potted Plant,Validation
0,1,0,0.9463277,Accuracy Potted Plant,Training
0,1,0,0.2867647,Accuracy Potted Plant,Validation
0,1,0,1.9108241,Loss Sheep,Training
0,1,0,2.0335908,Loss Sheep,Validation
0,1,0,0.95611286,Accuracy Sheep,Training
0,1,0,0.7201646,Accuracy Sheep,Validation
0,1,0,1.4812666,Loss Sofa,Training
0,1,0,2.3424911,Loss Sofa,Validation
0,1,0,0.888535,Accuracy Sofa,Training
0,1,0,0.5,Accuracy Sofa,Validation
0,1,0,2.0105016,Loss Train,Training
0,1,0,2.4540226,Loss Train,Validation
0,1,0,0.7848101,Accuracy Train,Training
0,1,0,0.6666667,Accuracy Train,Validation
0,1,0,2.04585,Loss Television,Training
0,1,0,2.478899,Loss Television,Validation
0,1,0,0.90102386,Accuracy Television,Training
0,1,0,0.43915343,Accuracy Television,Validation
0,1,1,0.5983465,Loss,Training
0,1,1,2.1055965,Loss,Validation
0,1,1,0.9998418,Accuracy,Training
0,1,1,0.5790774,Accuracy,Validation
0,1,1,0.63540614,Loss Airplane,Training
0,1,1,1.9695392,Loss Airplane,Validation
0,1,1,1.0,Accuracy Airplane,Training
0,1,1,0.8659517,Accuracy Airplane,Validation
0,1,1,0.41428632,Loss Bicycle,Training
0,1,1,1.7320974,Loss Bicycle,Validation
0,1,1,1.0,Accuracy Bicycle,Training
0,1,1,0.6707317,Accuracy Bicycle,Validation
0,1,1,0.65495884,Loss Bird,Training
0,1,1,2.374783,Loss Bird,Validation
0,1,1,1.0,Accuracy Bird,Training
0,1,1,0.5203837,Accuracy Bird,Validation
0,1,1,1.0975142,Loss Boat,Training
0,1,1,2.0684862,Loss Boat,Validation
0,1,1,1.0,Accuracy Boat,Training
0,1,1,0.6496815,Accuracy Boat,Validation
0,1,1,0.5996646,Loss Bottle,Training
0,1,1,1.9787401,Loss Bottle,Validation
0,1,1,1.0,Accuracy Bottle,Training
