seed,examples_per_class,epoch,value,metric,split
0,1,0,1.9553568,Loss,Training
0,1,0,2.362807,Loss,Validation
0,1,0,0.8508417,Accuracy,Training
0,1,0,0.5388787,Accuracy,Validation
0,1,0,1.9126627,Loss Airplane,Training
0,1,0,2.3848267,Loss Airplane,Validation
0,1,0,0.9230769,Accuracy Airplane,Training
0,1,0,0.7547684,Accuracy Airplane,Validation
0,1,0,1.5106645,Loss Bicycle,Training
0,1,0,2.0579145,Loss Bicycle,Validation
0,1,0,0.94043887,Accuracy Bicycle,Training
0,1,0,0.8218391,Accuracy Bicycle,Validation
0,1,0,2.11882,Loss Bird,Training
0,1,0,2.5164962,Loss Bird,Validation
0,1,0,0.8848485,Accuracy Bird,Training
0,1,0,0.39461884,Accuracy Bird,Validation
0,1,0,1.7812017,Loss Boat,Training
0,1,0,2.5577233,Loss Boat,Validation
0,1,0,0.8745981,Accuracy Boat,Training
0,1,0,0.22336769,Accuracy Boat,Validation
0,1,0,2.0198479,Loss Bottle,Training
0,1,0,2.3073034,Loss Bottle,Validation
0,1,0,0.84415585,Accuracy Bottle,Training
0,1,0,0.7672956,Accuracy Bottle,Validation
0,1,0,2.1308503,Loss Bus,Training
0,1,0,2.2031806,Loss Bus,Validation
0,1,0,0.85942495,Accuracy Bus,Training
0,1,0,0.8345324,Accuracy Bus,Validation
0,1,0,2.1911387,Loss Car,Training
0,1,0,2.5697238,Loss Car,Validation
0,1,0,0.8939394,Accuracy Car,Training
0,1,0,0.37349397,Accuracy Car,Validation
0,1,0,1.9160341,Loss Cat,Training
0,1,0,2.1240177,Loss Cat,Validation
0,1,0,0.82903224,Accuracy Cat,Training
0,1,0,0.8614319,Accuracy Cat,Validation
0,1,0,1.9104732,Loss Chair,Training
0,1,0,2.5960882,Loss Chair,Validation
0,1,0,0.7508306,Accuracy Chair,Training
0,1,0,0.15483871,Accuracy Chair,Validation
0,1,0,2.0206847,Loss Cow,Training
0,1,0,2.1861987,Loss Cow,Validation
0,1,0,0.90332323,Accuracy Cow,Training
0,1,0,0.562701,Accuracy Cow,Validation
0,1,0,1.5543891,Loss Dining Table,Training
0,1,0,2.1609573,Loss Dining Table,Validation
0,1,0,0.9021407,Accuracy Dining Table,Training
0,1,0,0.6256158,Accuracy Dining Table,Validation
0,1,0,1.9511821,Loss Dog,Training
0,1,0,2.6094837,Loss Dog,Validation
0,1,0,0.78193146,Accuracy Dog,Training
0,1,0,0.18426967,Accuracy Dog,Validation
0,1,0,2.0593815,Loss Horse,Training
0,1,0,2.4985895,Loss Horse,Validation
0,1,0,0.8575668,Accuracy Horse,Training
0,1,0,0.24916944,Accuracy Horse,Validation
0,1,0,2.1520307,Loss Motorcycle,Training
0,1,0,2.267943,Loss Motorcycle,Validation
0,1,0,0.6865204,Accuracy Motorcycle,Training
0,1,0,0.59859157,Accuracy Motorcycle,Validation
0,1,0,1.7451793,Loss Person,Training
0,1,0,2.7493758,Loss Person,Validation
0,1,0,0.902027,Accuracy Person,Training
