seed,examples_per_class,epoch,value,metric,split
0,1,0,1.9751511,Loss,Training
0,1,0,2.3675117,Loss,Validation
0,1,0,0.84643763,Accuracy,Training
0,1,0,0.5480678,Accuracy,Validation
0,1,0,1.9300051,Loss Airplane,Training
0,1,0,2.4107175,Loss Airplane,Validation
0,1,0,0.92877495,Accuracy Airplane,Training
0,1,0,0.73024523,Accuracy Airplane,Validation
0,1,0,1.543501,Loss Bicycle,Training
0,1,0,2.0568402,Loss Bicycle,Validation
0,1,0,0.9373041,Accuracy Bicycle,Training
0,1,0,0.8103448,Accuracy Bicycle,Validation
0,1,0,2.2313328,Loss Bird,Training
0,1,0,2.5579112,Loss Bird,Validation
0,1,0,0.8727273,Accuracy Bird,Training
0,1,0,0.36547086,Accuracy Bird,Validation
0,1,0,1.8217593,Loss Boat,Training
0,1,0,2.5594578,Loss Boat,Validation
0,1,0,0.86173636,Accuracy Boat,Training
0,1,0,0.30927834,Accuracy Boat,Validation
0,1,0,2.0275888,Loss Bottle,Training
0,1,0,2.3359232,Loss Bottle,Validation
0,1,0,0.85714287,Accuracy Bottle,Training
0,1,0,0.7672956,Accuracy Bottle,Validation
0,1,0,2.2249908,Loss Bus,Training
0,1,0,2.233949,Loss Bus,Validation
0,1,0,0.827476,Accuracy Bus,Training
0,1,0,0.8776978,Accuracy Bus,Validation
0,1,0,2.1118233,Loss Car,Training
0,1,0,2.5130968,Loss Car,Validation
0,1,0,0.91818184,Accuracy Car,Training
0,1,0,0.44277108,Accuracy Car,Validation
0,1,0,1.9416857,Loss Cat,Training
0,1,0,2.1288643,Loss Cat,Validation
0,1,0,0.816129,Accuracy Cat,Training
0,1,0,0.852194,Accuracy Cat,Validation
0,1,0,1.8887081,Loss Chair,Training
0,1,0,2.6696324,Loss Chair,Validation
0,1,0,0.74418604,Accuracy Chair,Training
0,1,0,0.090322584,Accuracy Chair,Validation
0,1,0,2.0185156,Loss Cow,Training
0,1,0,2.1873612,Loss Cow,Validation
0,1,0,0.9063444,Accuracy Cow,Training
0,1,0,0.562701,Accuracy Cow,Validation
0,1,0,1.5881697,Loss Dining Table,Training
0,1,0,2.1567118,Loss Dining Table,Validation
0,1,0,0.89908254,Accuracy Dining Table,Training
0,1,0,0.6502463,Accuracy Dining Table,Validation
0,1,0,1.9308156,Loss Dog,Training
0,1,0,2.5472555,Loss Dog,Validation
0,1,0,0.78504676,Accuracy Dog,Training
0,1,0,0.26741573,Accuracy Dog,Validation
0,1,0,2.0718832,Loss Horse,Training
0,1,0,2.4611063,Loss Horse,Validation
0,1,0,0.8575668,Accuracy Horse,Training
0,1,0,0.32225913,Accuracy Horse,Validation
0,1,0,2.1856885,Loss Motorcycle,Training
0,1,0,2.2563858,Loss Motorcycle,Validation
0,1,0,0.661442,Accuracy Motorcycle,Training
0,1,0,0.63380283,Accuracy Motorcycle,Validation
0,1,0,1.823589,Loss Person,Training
0,1,0,2.7531033,Loss Person,Validation
0,1,0,0.8986486,Accuracy Person,Training
0,1,0,0.072874494,Accuracy Person,Validation
0,1,0,1.63028,Loss Potted Plant,Training
0,1,0,2.656826,Loss Potted Plant,Validation
0,1,0,0.9237288,Accuracy Potted Plant,Training
0,1,0,0.2867647,Accuracy Potted Plant,Validation
0,1,0,2.0927172,Loss Sheep,Training
0,1,0,1.9170094,Loss Sheep,Validation
0,1,0,0.8871473,Accuracy Sheep,Training
0,1,0,0.7983539,Accuracy Sheep,Validation
0,1,0,1.8292446,Loss Sofa,Training
0,1,0,2.181933,Loss Sofa,Validation
0,1,0,0.84076434,Accuracy Sofa,Training
0,1,0,0.6525974,Accuracy Sofa,Validation
0,1,0,2.2761183,Loss Train,Training
0,1,0,2.346567,Loss Train,Validation
0,1,0,0.693038,Accuracy Train,Training
0,1,0,0.9131653,Accuracy Train,Validation
0,1,0,2.3346071,Loss Television,Training
0,1,0,2.4195814,Loss Television,Validation
0,1,0,0.8122867,Accuracy Television,Training
0,1,0,0.5555556,Accuracy Television,Validation
0,1,1,0.80201566,Loss,Training
0,1,1,2.0657551,Loss,Validation
0,1,1,0.9961589,Accuracy,Training
0,1,1,0.5839144,Accuracy,Validation
0,1,1,0.8044367,Loss Airplane,Training
0,1,1,2.102329,Loss Airplane,Validation
0,1,1,1.0,Accuracy Airplane,Training
0,1,1,0.82841825,Accuracy Airplane,Validation
0,1,1,0.48277268,Loss Bicycle,Training
0,1,1,1.9494139,Loss Bicycle,Validation
0,1,1,1.0,Accuracy Bicycle,Training
0,1,1,0.66463417,Accuracy Bicycle,Validation
0,1,1,1.1313285,Loss Bird,Training
0,1,1,2.3225346,Loss Bird,Validation
0,1,1,1.0,Accuracy Bird,Training
0,1,1,0.4052758,Accuracy Bird,Validation
0,1,1,0.6973936,Loss Boat,Training
0,1,1,2.2851648,Loss Boat,Validation
0,1,1,0.9294478,Accuracy Boat,Training
0,1,1,0.42356688,Accuracy Boat,Validation
0,1,1,0.83525795,Loss Bottle,Training
0,1,1,2.0098686,Loss Bottle,Validation
0,1,1,1.0,Accuracy Bottle,Training
0,1,1,0.82802546,Accuracy Bottle,Validation
0,1,1,1.0227152,Loss Bus,Training
0,1,1,1.646131,Loss Bus,Validation
0,1,1,1.0,Accuracy Bus,Training
0,1,1,0.8881119,Accuracy Bus,Validation
0,1,1,0.9610182,Loss Car,Training
0,1,1,2.2976284,Loss Car,Validation
0,1,1,1.0,Accuracy Car,Training
0,1,1,0.35099337,Accuracy Car,Validation
0,1,1,0.76084334,Loss Cat,Training
0,1,1,1.7589098,Loss Cat,Validation
0,1,1,1.0,Accuracy Cat,Training
0,1,1,0.8319328,Accuracy Cat,Validation
0,1,1,0.7811933,Loss Chair,Training
0,1,1,2.514912,Loss Chair,Validation
0,1,1,1.0,Accuracy Chair,Training
0,1,1,0.078431375,Accuracy Chair,Validation
0,1,1,0.87547755,Loss Cow,Training
0,1,1,1.7441913,Loss Cow,Validation
0,1,1,1.0,Accuracy Cow,Training
0,1,1,0.61433446,Accuracy Cow,Validation
0,1,1,0.39732102,Loss Dining Table,Training
0,1,1,1.9834478,Loss Dining Table,Validation
0,1,1,1.0,Accuracy Dining Table,Training
0,1,1,0.5263158,Accuracy Dining Table,Validation
0,1,1,0.71049464,Loss Dog,Training
0,1,1,2.3888924,Loss Dog,Validation
0,1,1,1.0,Accuracy Dog,Training
0,1,1,0.30645162,Accuracy Dog,Validation
0,1,1,0.8359685,Loss Horse,Training
0,1,1,1.9991521,Loss Horse,Validation
0,1,1,1.0,Accuracy Horse,Training
0,1,1,0.51044774,Accuracy Horse,Validation
0,1,1,0.99173766,Loss Motorcycle,Training
0,1,1,1.7506962,Loss Motorcycle,Validation
0,1,1,1.0,Accuracy Motorcycle,Training
0,1,1,0.8715278,Accuracy Motorcycle,Validation
