seed,examples_per_class,epoch,value,metric,split
0,1,0,1.9542513,Loss,Training
0,1,0,2.365343,Loss,Validation
0,1,0,0.8492495,Accuracy,Training
0,1,0,0.54717374,Accuracy,Validation
0,1,0,1.9206755,Loss Airplane,Training
0,1,0,2.3997078,Loss Airplane,Validation
0,1,0,0.9344729,Accuracy Airplane,Training
0,1,0,0.773842,Accuracy Airplane,Validation
0,1,0,1.5018036,Loss Bicycle,Training
0,1,0,2.0814881,Loss Bicycle,Validation
0,1,0,0.92789966,Accuracy Bicycle,Training
0,1,0,0.8103448,Accuracy Bicycle,Validation
0,1,0,2.1900525,Loss Bird,Training
0,1,0,2.5419593,Loss Bird,Validation
0,1,0,0.8757576,Accuracy Bird,Training
0,1,0,0.41704035,Accuracy Bird,Validation
0,1,0,1.8804103,Loss Boat,Training
0,1,0,2.5368888,Loss Boat,Validation
0,1,0,0.8392283,Accuracy Boat,Training
0,1,0,0.3127148,Accuracy Boat,Validation
0,1,0,2.035286,Loss Bottle,Training
0,1,0,2.3230464,Loss Bottle,Validation
0,1,0,0.8538961,Accuracy Bottle,Training
0,1,0,0.7672956,Accuracy Bottle,Validation
0,1,0,2.1469822,Loss Bus,Training
0,1,0,2.2129962,Loss Bus,Validation
0,1,0,0.8434505,Accuracy Bus,Training
0,1,0,0.8345324,Accuracy Bus,Validation
0,1,0,2.0763605,Loss Car,Training
0,1,0,2.5114834,Loss Car,Validation
0,1,0,0.91515154,Accuracy Car,Training
0,1,0,0.4246988,Accuracy Car,Validation
0,1,0,1.9323689,Loss Cat,Training
0,1,0,2.1306186,Loss Cat,Validation
0,1,0,0.8096774,Accuracy Cat,Training
0,1,0,0.83371824,Accuracy Cat,Validation
0,1,0,1.8900189,Loss Chair,Training
0,1,0,2.6297567,Loss Chair,Validation
0,1,0,0.77408636,Accuracy Chair,Training
0,1,0,0.090322584,Accuracy Chair,Validation
0,1,0,2.0302565,Loss Cow,Training
0,1,0,2.191166,Loss Cow,Validation
0,1,0,0.9123867,Accuracy Cow,Training
0,1,0,0.58842444,Accuracy Cow,Validation
0,1,0,1.6396,Loss Dining Table,Training
0,1,0,2.1252928,Loss Dining Table,Validation
0,1,0,0.9082569,Accuracy Dining Table,Training
0,1,0,0.6551724,Accuracy Dining Table,Validation
0,1,0,1.8940141,Loss Dog,Training
0,1,0,2.565787,Loss Dog,Validation
0,1,0,0.78193146,Accuracy Dog,Training
0,1,0,0.23370786,Accuracy Dog,Validation
0,1,0,2.062979,Loss Horse,Training
0,1,0,2.482629,Loss Horse,Validation
0,1,0,0.8397626,Accuracy Horse,Training
0,1,0,0.26578072,Accuracy Horse,Validation
0,1,0,2.2158797,Loss Motorcycle,Training
0,1,0,2.270537,Loss Motorcycle,Validation
0,1,0,0.6677116,Accuracy Motorcycle,Training
0,1,0,0.6443662,Accuracy Motorcycle,Validation
0,1,0,1.7559555,Loss Person,Training
0,1,0,2.7412775,Loss Person,Validation
0,1,0,0.8952703,Accuracy Person,Training
0,1,0,0.09008097,Accuracy Person,Validation
0,1,0,1.6252109,Loss Potted Plant,Training
0,1,0,2.6365688,Loss Potted Plant,Validation
0,1,0,0.9237288,Accuracy Potted Plant,Training
0,1,0,0.36764705,Accuracy Potted Plant,Validation
0,1,0,1.8931471,Loss Sheep,Training
0,1,0,1.9951106,Loss Sheep,Validation
0,1,0,0.92789966,Accuracy Sheep,Training
0,1,0,0.7572017,Accuracy Sheep,Validation
0,1,0,1.8175628,Loss Sofa,Training
0,1,0,2.1824791,Loss Sofa,Validation
0,1,0,0.85350317,Accuracy Sofa,Training
0,1,0,0.6396104,Accuracy Sofa,Validation
0,1,0,2.2552598,Loss Train,Training
0,1,0,2.337188,Loss Train,Validation
0,1,0,0.7056962,Accuracy Train,Training
0,1,0,0.9131653,Accuracy Train,Validation
0,1,0,2.321201,Loss Television,Training
0,1,0,2.4108818,Loss Television,Validation
0,1,0,0.79522187,Accuracy Television,Training
0,1,0,0.52380955,Accuracy Television,Validation
0,1,1,0.774598,Loss,Training
