seed,examples_per_class,epoch,value,metric,split
0,1,0,1.8703222,Loss,Training
0,1,0,2.3634624,Loss,Validation
0,1,0,0.88256055,Accuracy,Training
0,1,0,0.5172795,Accuracy,Validation
0,1,0,1.9011679,Loss Airplane,Training
0,1,0,2.3660831,Loss Airplane,Validation
0,1,0,0.93732196,Accuracy Airplane,Training
0,1,0,0.80653954,Accuracy Airplane,Validation
0,1,0,1.5100453,Loss Bicycle,Training
0,1,0,2.020461,Loss Bicycle,Validation
0,1,0,0.94357365,Accuracy Bicycle,Training
0,1,0,0.8218391,Accuracy Bicycle,Validation
0,1,0,2.0119746,Loss Bird,Training
0,1,0,2.4966872,Loss Bird,Validation
0,1,0,0.8969697,Accuracy Bird,Training
0,1,0,0.49103138,Accuracy Bird,Validation
0,1,0,1.5678679,Loss Boat,Training
0,1,0,2.5756128,Loss Boat,Validation
0,1,0,0.94212216,Accuracy Boat,Training
0,1,0,0.22680412,Accuracy Boat,Validation
0,1,0,1.8260672,Loss Bottle,Training
0,1,0,2.3341417,Loss Bottle,Validation
0,1,0,0.8733766,Accuracy Bottle,Training
0,1,0,0.5786164,Accuracy Bottle,Validation
0,1,0,2.0660691,Loss Bus,Training
0,1,0,2.1846578,Loss Bus,Validation
0,1,0,0.8626198,Accuracy Bus,Training
0,1,0,0.79856116,Accuracy Bus,Validation
0,1,0,2.1435342,Loss Car,Training
0,1,0,2.530146,Loss Car,Validation
0,1,0,0.90909094,Accuracy Car,Training
0,1,0,0.3433735,Accuracy Car,Validation
0,1,0,1.8537344,Loss Cat,Training
0,1,0,2.1879447,Loss Cat,Validation
0,1,0,0.86774194,Accuracy Cat,Training
0,1,0,0.7482679,Accuracy Cat,Validation
0,1,0,1.86927,Loss Chair,Training
0,1,0,2.5468554,Loss Chair,Validation
0,1,0,0.84385383,Accuracy Chair,Training
0,1,0,0.103225805,Accuracy Chair,Validation
0,1,0,1.837723,Loss Cow,Training
0,1,0,2.2779047,Loss Cow,Validation
0,1,0,0.96072507,Accuracy Cow,Training
0,1,0,0.4437299,Accuracy Cow,Validation
0,1,0,1.7679977,Loss Dining Table,Training
0,1,0,2.0792158,Loss Dining Table,Validation
0,1,0,0.88990825,Accuracy Dining Table,Training
0,1,0,0.67487687,Accuracy Dining Table,Validation
0,1,0,1.947892,Loss Dog,Training
0,1,0,2.4911194,Loss Dog,Validation
0,1,0,0.85358256,Accuracy Dog,Training
0,1,0,0.3235955,Accuracy Dog,Validation
0,1,0,1.8349152,Loss Horse,Training
0,1,0,2.69521,Loss Horse,Validation
0,1,0,0.88724035,Accuracy Horse,Training
0,1,0,0.11295681,Accuracy Horse,Validation
0,1,0,2.0944772,Loss Motorcycle,Training
0,1,0,2.2052884,Loss Motorcycle,Validation
0,1,0,0.68025076,Accuracy Motorcycle,Training
0,1,0,0.6443662,Accuracy Motorcycle,Validation
0,1,0,1.697847,Loss Person,Training
0,1,0,2.8925242,Loss Person,Validation
0,1,0,0.9358108,Accuracy Person,Training
0,1,0,0.06882591,Accuracy Person,Validation
0,1,0,1.5632503,Loss Potted Plant,Training
0,1,0,2.5913806,Loss Potted Plant,Validation
0,1,0,0.9322034,Accuracy Potted Plant,Training
0,1,0,0.36764705,Accuracy Potted Plant,Validation
0,1,0,1.883027,Loss Sheep,Training
0,1,0,1.9348435,Loss Sheep,Validation
0,1,0,0.9373041,Accuracy Sheep,Training
0,1,0,0.77366257,Accuracy Sheep,Validation
0,1,0,1.7542015,Loss Sofa,Training
0,1,0,2.1337059,Loss Sofa,Validation
0,1,0,0.8630573,Accuracy Sofa,Training
0,1,0,0.6298701,Accuracy Sofa,Validation
0,1,0,2.0791895,Loss Train,Training
0,1,0,2.2826629,Loss Train,Validation
0,1,0,0.7436709,Accuracy Train,Training
0,1,0,0.9327731,Accuracy Train,Validation
0,1,0,2.1961963,Loss Television,Training
0,1,0,2.4428015,Loss Television,Validation
0,1,0,0.890785,Accuracy Television,Training
0,1,0,0.45502645,Accuracy Television,Validation
0,1,1,0.6519177,Loss,Training
0,1,1,2.0766838,Loss,Validation
0,1,1,1.0,Accuracy,Training
0,1,1,0.54335403,Accuracy,Validation
0,1,1,0.7285238,Loss Airplane,Training
0,1,1,2.0443509,Loss Airplane,Validation
0,1,1,1.0,Accuracy Airplane,Training
0,1,1,0.8766756,Accuracy Airplane,Validation
0,1,1,0.4858707,Loss Bicycle,Training
0,1,1,1.8477404,Loss Bicycle,Validation
0,1,1,1.0,Accuracy Bicycle,Training
0,1,1,0.66463417,Accuracy Bicycle,Validation
0,1,1,0.7924467,Loss Bird,Training
0,1,1,2.237342,Loss Bird,Validation
0,1,1,1.0,Accuracy Bird,Training
0,1,1,0.54916066,Accuracy Bird,Validation
0,1,1,0.41756096,Loss Boat,Training
0,1,1,2.3872597,Loss Boat,Validation
0,1,1,1.0,Accuracy Boat,Training
0,1,1,0.25796178,Accuracy Boat,Validation
0,1,1,0.57472485,Loss Bottle,Training
0,1,1,2.1088848,Loss Bottle,Validation
0,1,1,1.0,Accuracy Bottle,Training
0,1,1,0.58598727,Accuracy Bottle,Validation
0,1,1,0.75016415,Loss Bus,Training
0,1,1,1.6410524,Loss Bus,Validation
0,1,1,1.0,Accuracy Bus,Training
0,1,1,0.8706294,Accuracy Bus,Validation
0,1,1,0.9676624,Loss Car,Training
0,1,1,2.24524,Loss Car,Validation
0,1,1,1.0,Accuracy Car,Training
0,1,1,0.410596,Accuracy Car,Validation
0,1,1,0.58644116,Loss Cat,Training
0,1,1,1.8955295,Loss Cat,Validation
0,1,1,1.0,Accuracy Cat,Training
0,1,1,0.7352941,Accuracy Cat,Validation
0,1,1,0.71230817,Loss Chair,Training
0,1,1,2.2963274,Loss Chair,Validation
0,1,1,1.0,Accuracy Chair,Training
0,1,1,0.11111111,Accuracy Chair,Validation
0,1,1,0.6519962,Loss Cow,Training
0,1,1,1.8822253,Loss Cow,Validation
