seed,examples_per_class,epoch,value,metric,split
0,1,0,1.9477062,Loss,Training
0,1,0,2.3728,Loss,Validation
0,1,0,0.85543936,Accuracy,Training
0,1,0,0.4983736,Accuracy,Validation
0,1,0,1.909772,Loss Airplane,Training
0,1,0,2.3749611,Loss Airplane,Validation
0,1,0,0.913649,Accuracy Airplane,Training
0,1,0,0.76566756,Accuracy Airplane,Validation
0,1,0,1.4873298,Loss Bicycle,Training
0,1,0,1.9873103,Loss Bicycle,Validation
0,1,0,0.9622093,Accuracy Bicycle,Training
0,1,0,0.8908046,Accuracy Bicycle,Validation
0,1,0,2.1815088,Loss Bird,Training
0,1,0,2.6343303,Loss Bird,Validation
0,1,0,0.90034366,Accuracy Bird,Training
0,1,0,0.24439462,Accuracy Bird,Validation
0,1,0,1.6492436,Loss Boat,Training
0,1,0,2.4934897,Loss Boat,Validation
0,1,0,0.92419827,Accuracy Boat,Training
0,1,0,0.32646048,Accuracy Boat,Validation
0,1,0,1.9920188,Loss Bottle,Training
0,1,0,2.2557874,Loss Bottle,Validation
0,1,0,0.86455333,Accuracy Bottle,Training
0,1,0,0.7672956,Accuracy Bottle,Validation
0,1,0,2.0837505,Loss Bus,Training
0,1,0,2.2051387,Loss Bus,Validation
0,1,0,0.8773585,Accuracy Bus,Training
0,1,0,0.92086333,Accuracy Bus,Validation
0,1,0,2.1203074,Loss Car,Training
0,1,0,2.5889904,Loss Car,Validation
0,1,0,0.8861538,Accuracy Car,Training
0,1,0,0.3253012,Accuracy Car,Validation
0,1,0,1.891419,Loss Cat,Training
0,1,0,1.9527048,Loss Cat,Validation
0,1,0,0.8613333,Accuracy Cat,Training
0,1,0,0.9284065,Accuracy Cat,Validation
0,1,0,1.770621,Loss Chair,Training
0,1,0,2.6183698,Loss Chair,Validation
0,1,0,0.8617647,Accuracy Chair,Training
0,1,0,0.058064517,Accuracy Chair,Validation
0,1,0,1.964537,Loss Cow,Training
0,1,0,2.1647522,Loss Cow,Validation
0,1,0,0.9009288,Accuracy Cow,Training
0,1,0,0.59807074,Accuracy Cow,Validation
0,1,0,1.6168283,Loss Dining Table,Training
0,1,0,2.2085,Loss Dining Table,Validation
0,1,0,0.91066283,Accuracy Dining Table,Training
0,1,0,0.45320198,Accuracy Dining Table,Validation
0,1,0,2.0393753,Loss Dog,Training
0,1,0,2.8903797,Loss Dog,Validation
0,1,0,0.69196427,Accuracy Dog,Training
0,1,0,0.029213483,Accuracy Dog,Validation
0,1,0,1.99438,Loss Horse,Training
0,1,0,2.3815963,Loss Horse,Validation
0,1,0,0.8633721,Accuracy Horse,Training
0,1,0,0.39202657,Accuracy Horse,Validation
0,1,0,2.1290636,Loss Motorcycle,Training
0,1,0,2.1590738,Loss Motorcycle,Validation
0,1,0,0.6905444,Accuracy Motorcycle,Training
0,1,0,0.6866197,Accuracy Motorcycle,Validation
0,1,0,1.6998786,Loss Person,Training
0,1,0,2.6750333,Loss Person,Validation
0,1,0,0.8993902,Accuracy Person,Training
0,1,0,0.10425101,Accuracy Person,Validation
0,1,0,1.7874614,Loss Potted Plant,Training
0,1,0,2.7949595,Loss Potted Plant,Validation
0,1,0,0.9111111,Accuracy Potted Plant,Training
0,1,0,0.19117647,Accuracy Potted Plant,Validation
0,1,0,2.0451221,Loss Sheep,Training
0,1,0,1.9381125,Loss Sheep,Validation
0,1,0,0.9130435,Accuracy Sheep,Training
0,1,0,0.76954734,Accuracy Sheep,Validation
0,1,0,1.7965233,Loss Sofa,Training
0,1,0,2.0548909,Loss Sofa,Validation
0,1,0,0.8980892,Accuracy Sofa,Training
0,1,0,0.6785714,Accuracy Sofa,Validation
0,1,0,2.5760195,Loss Train,Training
0,1,0,2.7043347,Loss Train,Validation
0,1,0,0.49468085,Accuracy Train,Training
0,1,0,0.3137255,Accuracy Train,Validation
0,1,0,2.2189646,Loss Television,Training
0,1,0,2.3732882,Loss Television,Validation
0,1,0,0.8834356,Accuracy Television,Training
0,1,0,0.52380955,Accuracy Television,Validation
0,1,1,0.7731158,Loss,Training
0,1,1,2.0698652,Loss,Validation
0,1,1,0.98901814,Accuracy,Training
0,1,1,0.5562614,Accuracy,Validation
0,1,1,0.7804233,Loss Airplane,Training
0,1,1,2.016343,Loss Airplane,Validation
0,1,1,1.0,Accuracy Airplane,Training
0,1,1,0.87399465,Accuracy Airplane,Validation
0,1,1,0.46285653,Loss Bicycle,Training
0,1,1,1.9127417,Loss Bicycle,Validation
0,1,1,1.0,Accuracy Bicycle,Training
0,1,1,0.64634144,Accuracy Bicycle,Validation
0,1,1,0.9417306,Loss Bird,Training
0,1,1,2.3241692,Loss Bird,Validation
0,1,1,1.0,Accuracy Bird,Training
0,1,1,0.36211032,Accuracy Bird,Validation
0,1,1,0.6002023,Loss Boat,Training
0,1,1,2.1796846,Loss Boat,Validation
0,1,1,0.9297297,Accuracy Boat,Training
0,1,1,0.5063694,Accuracy Boat,Validation
0,1,1,0.7110578,Loss Bottle,Training
0,1,1,1.7828603,Loss Bottle,Validation
0,1,1,1.0,Accuracy Bottle,Training
0,1,1,0.87261146,Accuracy Bottle,Validation
0,1,1,0.8450723,Loss Bus,Training
0,1,1,1.6562561,Loss Bus,Validation
0,1,1,1.0,Accuracy Bus,Training
0,1,1,0.94755244,Accuracy Bus,Validation
0,1,1,1.0042863,Loss Car,Training
0,1,1,2.3787942,Loss Car,Validation
0,1,1,1.0,Accuracy Car,Training
0,1,1,0.35099337,Accuracy Car,Validation
0,1,1,0.65017915,Loss Cat,Training
0,1,1,1.6861966,Loss Cat,Validation
0,1,1,1.0,Accuracy Cat,Training
0,1,1,0.8487395,Accuracy Cat,Validation
0,1,1,0.7922176,Loss Chair,Training
0,1,1,2.462385,Loss Chair,Validation
0,1,1,0.990228,Accuracy Chair,Training
0,1,1,0.039215688,Accuracy Chair,Validation
0,1,1,0.846604,Loss Cow,Training
0,1,1,1.7851179,Loss Cow,Validation
0,1,1,0.99706745,Accuracy Cow,Training
0,1,1,0.4675768,Accuracy Cow,Validation
0,1,1,0.3777543,Loss Dining Table,Training
0,1,1,1.9768934,Loss Dining Table,Validation
0,1,1,1.0,Accuracy Dining Table,Training
0,1,1,0.46889952,Accuracy Dining Table,Validation
0,1,1,0.8743082,Loss Dog,Training
0,1,1,2.768941,Loss Dog,Validation
0,1,1,0.8683128,Accuracy Dog,Training
0,1,1,0.057603687,Accuracy Dog,Validation
0,1,1,0.7690676,Loss Horse,Training
0,1,1,2.0004077,Loss Horse,Validation
0,1,1,1.0,Accuracy Horse,Training
0,1,1,0.519403,Accuracy Horse,Validation
0,1,1,0.9123436,Loss Motorcycle,Training
0,1,1,1.6994684,Loss Motorcycle,Validation
0,1,1,1.0,Accuracy Motorcycle,Training
0,1,1,0.8923611,Accuracy Motorcycle,Validation
0,1,1,0.53906435,Loss Person,Training
0,1,1,2.7540653,Loss Person,Validation
0,1,1,1.0,Accuracy Person,Training
0,1,1,0.078313254,Accuracy Person,Validation
0,1,1,0.588314,Loss Potted Plant,Training
0,1,1,2.8581412,Loss Potted Plant,Validation
0,1,1,1.0,Accuracy Potted Plant,Training
0,1,1,0.15441176,Accuracy Potted Plant,Validation
0,1,1,0.91686517,Loss Sheep,Training
0,1,1,1.4802756,Loss Sheep,Validation
0,1,1,1.0,Accuracy Sheep,Training
0,1,1,0.8372093,Accuracy Sheep,Validation
0,1,1,0.56071055,Loss Sofa,Training
0,1,1,1.6216786,Loss Sofa,Validation
0,1,1,1.0,Accuracy Sofa,Training
0,1,1,0.74475527,Accuracy Sofa,Validation
0,1,1,1.2270414,Loss Train,Training
0,1,1,2.195792,Loss Train,Validation
0,1,1,0.99502486,Accuracy Train,Training
0,1,1,0.7826087,Accuracy Train,Validation
0,1,1,1.0622172,Loss Television,Training
0,1,1,1.8570924,Loss Television,Validation
0,1,1,1.0,Accuracy Television,Training
0,1,1,0.6741573,Accuracy Television,Validation
0,1,2,0.38100427,Loss,Training
0,1,2,1.9130112,Loss,Validation
0,1,2,0.99805194,Accuracy,Training
0,1,2,0.58718544,Accuracy,Validation
0,1,2,0.33034325,Loss Airplane,Training
0,1,2,1.859648,Loss Airplane,Validation
0,1,2,1.0,Accuracy Airplane,Training
0,1,2,0.89709765,Accuracy Airplane,Validation
0,1,2,0.27115574,Loss Bicycle,Training
0,1,2,1.7714732,Loss Bicycle,Validation
0,1,2,1.0,Accuracy Bicycle,Training
0,1,2,0.68333334,Accuracy Bicycle,Validation
0,1,2,0.45259368,Loss Bird,Training
0,1,2,2.1608007,Loss Bird,Validation
0,1,2,1.0,Accuracy Bird,Training
0,1,2,0.44549763,Accuracy Bird,Validation
0,1,2,0.35179028,Loss Boat,Training
0,1,2,2.0825799,Loss Boat,Validation
0,1,2,0.96638656,Accuracy Boat,Training
0,1,2,0.47572815,Accuracy Boat,Validation
0,1,2,0.32010338,Loss Bottle,Training
0,1,2,1.6557319,Loss Bottle,Validation
0,1,2,1.0,Accuracy Bottle,Training
0,1,2,0.8164557,Accuracy Bottle,Validation
0,1,2,0.3389756,Loss Bus,Training
0,1,2,1.3481302,Loss Bus,Validation
0,1,2,1.0,Accuracy Bus,Training
0,1,2,0.95714283,Accuracy Bus,Validation
0,1,2,0.5627637,Loss Car,Training
0,1,2,2.3256378,Loss Car,Validation
0,1,2,1.0,Accuracy Car,Training
0,1,2,0.33333334,Accuracy Car,Validation
0,1,2,0.34423074,Loss Cat,Training
0,1,2,1.4038931,Loss Cat,Validation
0,1,2,1.0,Accuracy Cat,Training
0,1,2,0.9074074,Accuracy Cat,Validation
0,1,2,0.38078788,Loss Chair,Training
0,1,2,2.3714862,Loss Chair,Validation
0,1,2,1.0,Accuracy Chair,Training
0,1,2,0.18954249,Accuracy Chair,Validation
0,1,2,0.4167053,Loss Cow,Training
0,1,2,1.5810183,Loss Cow,Validation
0,1,2,1.0,Accuracy Cow,Training
0,1,2,0.52960527,Accuracy Cow,Validation
0,1,2,0.14114232,Loss Dining Table,Training
0,1,2,1.8906361,Loss Dining Table,Validation
0,1,2,1.0,Accuracy Dining Table,Training
0,1,2,0.47393364,Accuracy Dining Table,Validation
0,1,2,0.47045788,Loss Dog,Training
0,1,2,2.6968381,Loss Dog,Validation
0,1,2,1.0,Accuracy Dog,Training
0,1,2,0.059633028,Accuracy Dog,Validation
0,1,2,0.36742646,Loss Horse,Training
0,1,2,1.9659383,Loss Horse,Validation
0,1,2,1.0,Accuracy Horse,Training
0,1,2,0.42682928,Accuracy Horse,Validation
0,1,2,0.43372947,Loss Motorcycle,Training
0,1,2,1.4006162,Loss Motorcycle,Validation
0,1,2,1.0,Accuracy Motorcycle,Training
0,1,2,0.9358491,Accuracy Motorcycle,Validation
0,1,2,0.27876997,Loss Person,Training
0,1,2,2.6754718,Loss Person,Validation
0,1,2,1.0,Accuracy Person,Training
0,1,2,0.12966602,Accuracy Person,Validation
0,1,2,0.2733279,Loss Potted Plant,Training
0,1,2,2.6495163,Loss Potted Plant,Validation
0,1,2,1.0,Accuracy Potted Plant,Training
0,1,2,0.29850745,Accuracy Potted Plant,Validation
0,1,2,0.45736796,Loss Sheep,Training
0,1,2,1.2318798,Loss Sheep,Validation
0,1,2,1.0,Accuracy Sheep,Training
0,1,2,0.8449612,Accuracy Sheep,Validation
0,1,2,0.25168255,Loss Sofa,Training
0,1,2,1.6477578,Loss Sofa,Validation
0,1,2,1.0,Accuracy Sofa,Training
0,1,2,0.69175625,Accuracy Sofa,Validation
0,1,2,0.6489284,Loss Train,Training
0,1,2,1.9744177,Loss Train,Validation
0,1,2,0.9946524,Accuracy Train,Training
0,1,2,0.7887324,Accuracy Train,Validation
0,1,2,0.52780306,Loss Television,Training
0,1,2,1.5667478,Loss Television,Validation
0,1,2,1.0,Accuracy Television,Training
0,1,2,0.8586956,Accuracy Television,Validation
0,1,3,0.21855338,Loss,Training
0,1,3,1.7824923,Loss,Validation
0,1,3,0.99960786,Accuracy,Training
0,1,3,0.604335,Accuracy,Validation
0,1,3,0.17844386,Loss Airplane,Training
0,1,3,1.771378,Loss Airplane,Validation
0,1,3,1.0,Accuracy Airplane,Training
0,1,3,0.86351705,Accuracy Airplane,Validation
0,1,3,0.16053493,Loss Bicycle,Training
0,1,3,1.5149794,Loss Bicycle,Validation
0,1,3,1.0,Accuracy Bicycle,Training
0,1,3,0.7878788,Accuracy Bicycle,Validation
0,1,3,0.2620641,Loss Bird,Training
0,1,3,2.025588,Loss Bird,Validation
0,1,3,1.0,Accuracy Bird,Training
0,1,3,0.48498845,Accuracy Bird,Validation
0,1,3,0.21197005,Loss Boat,Training
0,1,3,1.9753908,Loss Boat,Validation
0,1,3,0.9971831,Accuracy Boat,Training
0,1,3,0.56435645,Accuracy Boat,Validation
0,1,3,0.18600312,Loss Bottle,Training
0,1,3,1.5000902,Loss Bottle,Validation
0,1,3,1.0,Accuracy Bottle,Training
0,1,3,0.82258064,Accuracy Bottle,Validation
0,1,3,0.18748245,Loss Bus,Training
0,1,3,1.1675273,Loss Bus,Validation
0,1,3,1.0,Accuracy Bus,Training
0,1,3,0.9602888,Accuracy Bus,Validation
