seed,examples_per_class,epoch,value,metric,split
0,1,0,1.9621618,Loss,Training
0,1,0,2.367146,Loss,Validation
0,1,0,0.8357528,Accuracy,Training
0,1,0,0.49640185,Accuracy,Validation
0,1,0,1.8609571,Loss Airplane,Training
0,1,0,2.3027303,Loss Airplane,Validation
0,1,0,0.9007833,Accuracy Airplane,Training
0,1,0,0.8746594,Accuracy Airplane,Validation
0,1,0,1.5173324,Loss Bicycle,Training
0,1,0,1.988219,Loss Bicycle,Validation
0,1,0,0.9279539,Accuracy Bicycle,Training
0,1,0,0.8218391,Accuracy Bicycle,Validation
0,1,0,2.224799,Loss Bird,Training
0,1,0,2.6687193,Loss Bird,Validation
0,1,0,0.9015151,Accuracy Bird,Training
0,1,0,0.23318386,Accuracy Bird,Validation
0,1,0,1.6761086,Loss Boat,Training
0,1,0,2.5281916,Loss Boat,Validation
0,1,0,0.9122257,Accuracy Boat,Training
0,1,0,0.25429553,Accuracy Boat,Validation
0,1,0,2.080967,Loss Bottle,Training
0,1,0,2.3017023,Loss Bottle,Validation
0,1,0,0.81619936,Accuracy Bottle,Training
0,1,0,0.6918239,Accuracy Bottle,Validation
0,1,0,2.1931384,Loss Bus,Training
0,1,0,2.2667518,Loss Bus,Validation
0,1,0,0.82545453,Accuracy Bus,Training
0,1,0,0.89928055,Accuracy Bus,Validation
0,1,0,2.2011714,Loss Car,Training
0,1,0,2.6452012,Loss Car,Validation
0,1,0,0.8059211,Accuracy Car,Training
0,1,0,0.28614458,Accuracy Car,Validation
0,1,0,1.8964972,Loss Cat,Training
0,1,0,1.9588234,Loss Cat,Validation
0,1,0,0.83760685,Accuracy Cat,Training
0,1,0,0.9284065,Accuracy Cat,Validation
0,1,0,1.7725606,Loss Chair,Training
0,1,0,2.611822,Loss Chair,Validation
0,1,0,0.81595093,Accuracy Chair,Training
0,1,0,0.032258064,Accuracy Chair,Validation
0,1,0,1.9328417,Loss Cow,Training
0,1,0,2.162403,Loss Cow,Validation
0,1,0,0.9239766,Accuracy Cow,Training
0,1,0,0.6141479,Accuracy Cow,Validation
0,1,0,1.5429842,Loss Dining Table,Training
0,1,0,2.117614,Loss Dining Table,Validation
0,1,0,0.92286503,Accuracy Dining Table,Training
0,1,0,0.58128077,Accuracy Dining Table,Validation
0,1,0,1.9553612,Loss Dog,Training
0,1,0,2.8588827,Loss Dog,Validation
0,1,0,0.6991525,Accuracy Dog,Training
0,1,0,0.051685393,Accuracy Dog,Validation
0,1,0,2.1101668,Loss Horse,Training
0,1,0,2.4681716,Loss Horse,Validation
0,1,0,0.83384615,Accuracy Horse,Training
0,1,0,0.29900333,Accuracy Horse,Validation
0,1,0,2.0532312,Loss Motorcycle,Training
0,1,0,2.03741,Loss Motorcycle,Validation
0,1,0,0.7449495,Accuracy Motorcycle,Training
0,1,0,0.8415493,Accuracy Motorcycle,Validation
0,1,0,1.8215014,Loss Person,Training
0,1,0,2.6890721,Loss Person,Validation
0,1,0,0.8783383,Accuracy Person,Training
0,1,0,0.07995951,Accuracy Person,Validation
0,1,0,1.6619406,Loss Potted Plant,Training
0,1,0,2.6055052,Loss Potted Plant,Validation
0,1,0,0.89684814,Accuracy Potted Plant,Training
0,1,0,0.32352942,Accuracy Potted Plant,Validation
0,1,0,2.0756164,Loss Sheep,Training
0,1,0,1.9239409,Loss Sheep,Validation
0,1,0,0.8626866,Accuracy Sheep,Training
0,1,0,0.7160494,Accuracy Sheep,Validation
0,1,0,1.8190418,Loss Sofa,Training
0,1,0,2.095942,Loss Sofa,Validation
0,1,0,0.8626198,Accuracy Sofa,Training
0,1,0,0.6525974,Accuracy Sofa,Validation
0,1,0,2.664456,Loss Train,Training
0,1,0,2.782804,Loss Train,Validation
0,1,0,0.4601227,Accuracy Train,Training
0,1,0,0.14845939,Accuracy Train,Validation
0,1,0,2.1825638,Loss Television,Training
0,1,0,2.3290126,Loss Television,Validation
0,1,0,0.8860399,Accuracy Television,Training
0,1,0,0.5978836,Accuracy Television,Validation
0,1,1,0.7822035,Loss,Training
0,1,1,2.0784066,Loss,Validation
0,1,1,0.9860056,Accuracy,Training
0,1,1,0.5616576,Accuracy,Validation
0,1,1,0.7177624,Loss Airplane,Training
0,1,1,2.0419207,Loss Airplane,Validation
0,1,1,1.0,Accuracy Airplane,Training
0,1,1,0.85790884,Accuracy Airplane,Validation
0,1,1,0.48424107,Loss Bicycle,Training
0,1,1,1.917513,Loss Bicycle,Validation
0,1,1,1.0,Accuracy Bicycle,Training
0,1,1,0.6707317,Accuracy Bicycle,Validation
0,1,1,0.9842018,Loss Bird,Training
0,1,1,2.3285487,Loss Bird,Validation
0,1,1,1.0,Accuracy Bird,Training
0,1,1,0.3908873,Accuracy Bird,Validation
0,1,1,0.56363285,Loss Boat,Training
0,1,1,2.2240567,Loss Boat,Validation
0,1,1,0.9318182,Accuracy Boat,Training
0,1,1,0.44585988,Accuracy Boat,Validation
0,1,1,0.7930734,Loss Bottle,Training
0,1,1,1.8699708,Loss Bottle,Validation
0,1,1,1.0,Accuracy Bottle,Training
0,1,1,0.85987264,Accuracy Bottle,Validation
0,1,1,0.86845106,Loss Bus,Training
0,1,1,1.6459548,Loss Bus,Validation
0,1,1,1.0,Accuracy Bus,Training
0,1,1,0.9755245,Accuracy Bus,Validation
0,1,1,1.0175096,Loss Car,Training
0,1,1,2.3863096,Loss Car,Validation
0,1,1,1.0,Accuracy Car,Training
0,1,1,0.3245033,Accuracy Car,Validation
0,1,1,0.6884267,Loss Cat,Training
0,1,1,1.654466,Loss Cat,Validation
0,1,1,1.0,Accuracy Cat,Training
0,1,1,0.8613445,Accuracy Cat,Validation
0,1,1,0.755362,Loss Chair,Training
0,1,1,2.4940953,Loss Chair,Validation
0,1,1,0.99356914,Accuracy Chair,Training
0,1,1,0.039215688,Accuracy Chair,Validation
0,1,1,0.8262129,Loss Cow,Training
0,1,1,1.7170839,Loss Cow,Validation
0,1,1,1.0,Accuracy Cow,Training
0,1,1,0.5699659,Accuracy Cow,Validation
0,1,1,0.3209992,Loss Dining Table,Training
0,1,1,2.0027049,Loss Dining Table,Validation
0,1,1,1.0,Accuracy Dining Table,Training
0,1,1,0.49282297,Accuracy Dining Table,Validation
0,1,1,0.8771836,Loss Dog,Training
0,1,1,2.7783213,Loss Dog,Validation
0,1,1,0.8423423,Accuracy Dog,Training
0,1,1,0.048387095,Accuracy Dog,Validation
0,1,1,0.86017156,Loss Horse,Training
0,1,1,2.1258812,Loss Horse,Validation
0,1,1,1.0,Accuracy Horse,Training
0,1,1,0.3552239,Accuracy Horse,Validation
0,1,1,0.8525268,Loss Motorcycle,Training
0,1,1,1.647838,Loss Motorcycle,Validation
0,1,1,1.0,Accuracy Motorcycle,Training
0,1,1,0.9270833,Accuracy Motorcycle,Validation
0,1,1,0.59713686,Loss Person,Training
0,1,1,2.6791058,Loss Person,Validation
0,1,1,1.0,Accuracy Person,Training
0,1,1,0.104417674,Accuracy Person,Validation
0,1,1,0.5340856,Loss Potted Plant,Training
0,1,1,2.780301,Loss Potted Plant,Validation
0,1,1,1.0,Accuracy Potted Plant,Training
0,1,1,0.22058824,Accuracy Potted Plant,Validation
0,1,1,0.89260185,Loss Sheep,Training
0,1,1,1.4932487,Loss Sheep,Validation
0,1,1,1.0,Accuracy Sheep,Training
0,1,1,0.8488372,Accuracy Sheep,Validation
0,1,1,0.5906855,Loss Sofa,Training
0,1,1,1.7459724,Loss Sofa,Validation
