seed,examples_per_class,epoch,value,metric,split
0,1,0,1.9449158,Loss,Training
0,1,0,2.4057477,Loss,Validation
0,1,0,0.84966123,Accuracy,Training
0,1,0,0.54531866,Accuracy,Validation
0,1,0,1.9196458,Loss Airplane,Training
0,1,0,2.3016,Loss Airplane,Validation
0,1,0,0.8746518,Accuracy Airplane,Training
0,1,0,0.9128065,Accuracy Airplane,Validation
0,1,0,1.5087856,Loss Bicycle,Training
0,1,0,2.0338838,Loss Bicycle,Validation
0,1,0,0.9424658,Accuracy Bicycle,Training
0,1,0,0.8218391,Accuracy Bicycle,Validation
0,1,0,2.1252408,Loss Bird,Training
0,1,0,2.586322,Loss Bird,Validation
0,1,0,0.8903654,Accuracy Bird,Training
0,1,0,0.5515695,Accuracy Bird,Validation
0,1,0,1.6905737,Loss Boat,Training
0,1,0,2.4530911,Loss Boat,Validation
0,1,0,0.8938053,Accuracy Boat,Training
0,1,0,0.36426118,Accuracy Boat,Validation
0,1,0,1.9746054,Loss Bottle,Training
0,1,0,2.273995,Loss Bottle,Validation
0,1,0,0.8358663,Accuracy Bottle,Training
0,1,0,0.7295597,Accuracy Bottle,Validation
0,1,0,2.0937927,Loss Bus,Training
0,1,0,2.2747946,Loss Bus,Validation
0,1,0,0.8402556,Accuracy Bus,Training
0,1,0,0.68345326,Accuracy Bus,Validation
0,1,0,1.9694926,Loss Car,Training
0,1,0,2.391557,Loss Car,Validation
0,1,0,0.93850267,Accuracy Car,Training
0,1,0,0.43975905,Accuracy Car,Validation
0,1,0,1.8754203,Loss Cat,Training
0,1,0,2.0096085,Loss Cat,Validation
0,1,0,0.8956044,Accuracy Cat,Training
0,1,0,0.86374134,Accuracy Cat,Validation
0,1,0,1.9446596,Loss Chair,Training
0,1,0,2.754132,Loss Chair,Validation
0,1,0,0.5895522,Accuracy Chair,Training
0,1,0,0.0,Accuracy Chair,Validation
0,1,0,2.0262072,Loss Cow,Training
0,1,0,2.328019,Loss Cow,Validation
0,1,0,0.9488189,Accuracy Cow,Training
0,1,0,0.7395498,Accuracy Cow,Validation
0,1,0,1.5984598,Loss Dining Table,Training
