seed,examples_per_class,epoch,value,metric,split
0,1,0,1.9673293,Loss,Training
0,1,0,2.398887,Loss,Validation
0,1,0,0.8442459,Accuracy,Training
0,1,0,0.5302106,Accuracy,Validation
0,1,0,1.885392,Loss Airplane,Training
0,1,0,2.3044791,Loss Airplane,Validation
0,1,0,0.9293478,Accuracy Airplane,Training
0,1,0,0.880109,Accuracy Airplane,Validation
0,1,0,1.4755026,Loss Bicycle,Training
0,1,0,2.092502,Loss Bicycle,Validation
0,1,0,0.9309392,Accuracy Bicycle,Training
0,1,0,0.7758621,Accuracy Bicycle,Validation
0,1,0,2.1620035,Loss Bird,Training
0,1,0,2.600394,Loss Bird,Validation
0,1,0,0.82206404,Accuracy Bird,Training
0,1,0,0.5134529,Accuracy Bird,Validation
0,1,0,1.7626562,Loss Boat,Training
0,1,0,2.4720504,Loss Boat,Validation
0,1,0,0.8726708,Accuracy Boat,Training
0,1,0,0.33333334,Accuracy Boat,Validation
0,1,0,2.0692377,Loss Bottle,Training
0,1,0,2.3244863,Loss Bottle,Validation
0,1,0,0.8250825,Accuracy Bottle,Training
0,1,0,0.6037736,Accuracy Bottle,Validation
0,1,0,2.1419103,Loss Bus,Training
0,1,0,2.317421,Loss Bus,Validation
0,1,0,0.83168316,Accuracy Bus,Training
0,1,0,0.6223022,Accuracy Bus,Validation
0,1,0,1.9302007,Loss Car,Training
0,1,0,2.4002457,Loss Car,Validation
0,1,0,0.9324675,Accuracy Car,Training
0,1,0,0.49096385,Accuracy Car,Validation
0,1,0,1.8571614,Loss Cat,Training
0,1,0,2.0293539,Loss Cat,Validation
0,1,0,0.8590786,Accuracy Cat,Training
0,1,0,0.8591224,Accuracy Cat,Validation
0,1,0,2.0215847,Loss Chair,Training
0,1,0,2.8085718,Loss Chair,Validation
0,1,0,0.52671754,Accuracy Chair,Training
0,1,0,0.0,Accuracy Chair,Validation
0,1,0,2.094651,Loss Cow,Training
0,1,0,2.2244852,Loss Cow,Validation
0,1,0,0.89589906,Accuracy Cow,Training
0,1,0,0.71382636,Accuracy Cow,Validation
0,1,0,1.6398498,Loss Dining Table,Training
0,1,0,2.098813,Loss Dining Table,Validation
0,1,0,0.89048994,Accuracy Dining Table,Training
0,1,0,0.61083746,Accuracy Dining Table,Validation
0,1,0,1.9083467,Loss Dog,Training
0,1,0,2.477204,Loss Dog,Validation
0,1,0,0.9005525,Accuracy Dog,Training
0,1,0,0.4,Accuracy Dog,Validation
0,1,0,2.2756176,Loss Horse,Training
0,1,0,2.7265193,Loss Horse,Validation
0,1,0,0.75918365,Accuracy Horse,Training
0,1,0,0.069767445,Accuracy Horse,Validation
0,1,0,2.1447804,Loss Motorcycle,Training
0,1,0,2.1029716,Loss Motorcycle,Validation
0,1,0,0.6594595,Accuracy Motorcycle,Training
0,1,0,0.7359155,Accuracy Motorcycle,Validation
0,1,0,2.0272298,Loss Person,Training
0,1,0,3.4943635,Loss Person,Validation
0,1,0,0.8509317,Accuracy Person,Training
0,1,0,0.0050607286,Accuracy Person,Validation
0,1,0,1.7609968,Loss Potted Plant,Training
0,1,0,2.7109787,Loss Potted Plant,Validation
0,1,0,0.91401273,Accuracy Potted Plant,Training
0,1,0,0.21323529,Accuracy Potted Plant,Validation
0,1,0,2.209646,Loss Sheep,Training
0,1,0,2.3311985,Loss Sheep,Validation
0,1,0,0.9478261,Accuracy Sheep,Training
0,1,0,0.5596708,Accuracy Sheep,Validation
0,1,0,1.7001666,Loss Sofa,Training
0,1,0,1.9566306,Loss Sofa,Validation
0,1,0,0.9211268,Accuracy Sofa,Training
0,1,0,0.7305195,Accuracy Sofa,Validation
0,1,0,2.1363423,Loss Train,Training
0,1,0,2.2495978,Loss Train,Validation
0,1,0,0.8038674,Accuracy Train,Training
0,1,0,0.89915967,Accuracy Train,Validation
0,1,0,2.143316,Loss Television,Training
0,1,0,2.2554686,Loss Television,Validation
0,1,0,0.8115183,Accuracy Television,Training
0,1,0,0.5873016,Accuracy Television,Validation
0,1,1,0.78562057,Loss,Training
0,1,1,2.0814996,Loss,Validation
0,1,1,0.9925555,Accuracy,Training
0,1,1,0.5749597,Accuracy,Validation
0,1,1,0.6970458,Loss Airplane,Training
0,1,1,2.0018713,Loss Airplane,Validation
0,1,1,1.0,Accuracy Airplane,Training
0,1,1,0.8847185,Accuracy Airplane,Validation
0,1,1,0.47795805,Loss Bicycle,Training
0,1,1,1.9583179,Loss Bicycle,Validation
0,1,1,1.0,Accuracy Bicycle,Training
0,1,1,0.58536583,Accuracy Bicycle,Validation
0,1,1,0.9859114,Loss Bird,Training
0,1,1,2.2786233,Loss Bird,Validation
0,1,1,1.0,Accuracy Bird,Training
0,1,1,0.5707434,Accuracy Bird,Validation
0,1,1,0.6744217,Loss Boat,Training
0,1,1,2.1436374,Loss Boat,Validation
0,1,1,0.95592284,Accuracy Boat,Training
0,1,1,0.49044585,Accuracy Boat,Validation
0,1,1,0.8241634,Loss Bottle,Training
0,1,1,1.9901404,Loss Bottle,Validation
0,1,1,1.0,Accuracy Bottle,Training
0,1,1,0.7643312,Accuracy Bottle,Validation
0,1,1,0.96609795,Loss Bus,Training
0,1,1,1.8359177,Loss Bus,Validation
0,1,1,1.0,Accuracy Bus,Training
0,1,1,0.8181818,Accuracy Bus,Validation
0,1,1,0.8870196,Loss Car,Training
0,1,1,2.1707928,Loss Car,Validation
0,1,1,1.0,Accuracy Car,Training
0,1,1,0.4437086,Accuracy Car,Validation
0,1,1,0.7373275,Loss Cat,Training
0,1,1,1.6672354,Loss Cat,Validation
0,1,1,0.9972067,Accuracy Cat,Training
0,1,1,0.85714287,Accuracy Cat,Validation
0,1,1,0.79040366,Loss Chair,Training
0,1,1,2.6093762,Loss Chair,Validation
0,1,1,0.9142857,Accuracy Chair,Training
0,1,1,0.0,Accuracy Chair,Validation
0,1,1,0.9329843,Loss Cow,Training
0,1,1,1.7624582,Loss Cow,Validation
0,1,1,1.0,Accuracy Cow,Training
0,1,1,0.7440273,Accuracy Cow,Validation
0,1,1,0.47263184,Loss Dining Table,Training
0,1,1,1.8780221,Loss Dining Table,Validation
0,1,1,1.0,Accuracy Dining Table,Training
0,1,1,0.58373207,Accuracy Dining Table,Validation
0,1,1,0.7211445,Loss Dog,Training
0,1,1,2.2889588,Loss Dog,Validation
0,1,1,1.0,Accuracy Dog,Training
0,1,1,0.3940092,Accuracy Dog,Validation
0,1,1,1.0013545,Loss Horse,Training
0,1,1,2.230378,Loss Horse,Validation
0,1,1,1.0,Accuracy Horse,Training
0,1,1,0.36716416,Accuracy Horse,Validation
0,1,1,0.9222873,Loss Motorcycle,Training
0,1,1,1.5670129,Loss Motorcycle,Validation
0,1,1,1.0,Accuracy Motorcycle,Training
0,1,1,0.8715278,Accuracy Motorcycle,Validation
0,1,1,0.69847333,Loss Person,Training
0,1,1,3.4512656,Loss Person,Validation
0,1,1,0.9836956,Accuracy Person,Training
0,1,1,0.009036144,Accuracy Person,Validation
0,1,1,0.5785731,Loss Potted Plant,Training
0,1,1,2.6703327,Loss Potted Plant,Validation
0,1,1,1.0,Accuracy Potted Plant,Training
0,1,1,0.23529412,Accuracy Potted Plant,Validation
0,1,1,1.0069746,Loss Sheep,Training
0,1,1,1.8634309,Loss Sheep,Validation
0,1,1,1.0,Accuracy Sheep,Training
0,1,1,0.59302324,Accuracy Sheep,Validation
0,1,1,0.5433164,Loss Sofa,Training
0,1,1,1.6459117,Loss Sofa,Validation
0,1,1,1.0,Accuracy Sofa,Training
0,1,1,0.72727275,Accuracy Sofa,Validation
0,1,1,0.7754426,Loss Train,Training
0,1,1,1.7954068,Loss Train,Validation
0,1,1,1.0,Accuracy Train,Training
0,1,1,0.9246377,Accuracy Train,Validation
0,1,1,1.0188808,Loss Television,Training
0,1,1,1.820902,Loss Television,Validation
0,1,1,1.0,Accuracy Television,Training
0,1,1,0.6348315,Accuracy Television,Validation
0,1,2,0.38705224,Loss,Training
0,1,2,1.9284515,Loss,Validation
0,1,2,0.99980915,Accuracy,Training
0,1,2,0.58304244,Accuracy,Validation
0,1,2,0.32138836,Loss Airplane,Training
0,1,2,1.9126265,Loss Airplane,Validation
0,1,2,1.0,Accuracy Airplane,Training
0,1,2,0.83113456,Accuracy Airplane,Validation
0,1,2,0.25785592,Loss Bicycle,Training
0,1,2,1.7621115,Loss Bicycle,Validation
0,1,2,1.0,Accuracy Bicycle,Training
0,1,2,0.5833333,Accuracy Bicycle,Validation
0,1,2,0.49445462,Loss Bird,Training
0,1,2,2.1208727,Loss Bird,Validation
0,1,2,1.0,Accuracy Bird,Training
0,1,2,0.5947867,Accuracy Bird,Validation
0,1,2,0.40701133,Loss Boat,Training
0,1,2,1.9918935,Loss Boat,Validation
0,1,2,1.0,Accuracy Boat,Training
0,1,2,0.62459546,Accuracy Boat,Validation
0,1,2,0.3882573,Loss Bottle,Training
0,1,2,1.7299598,Loss Bottle,Validation
0,1,2,1.0,Accuracy Bottle,Training
0,1,2,0.8164557,Accuracy Bottle,Validation
0,1,2,0.4376423,Loss Bus,Training
0,1,2,1.5180175,Loss Bus,Validation
0,1,2,1.0,Accuracy Bus,Training
0,1,2,0.83928573,Accuracy Bus,Validation
0,1,2,0.4847722,Loss Car,Training
0,1,2,2.1431992,Loss Car,Validation
0,1,2,1.0,Accuracy Car,Training
0,1,2,0.4063492,Accuracy Car,Validation
0,1,2,0.36919296,Loss Cat,Training
0,1,2,1.4207532,Loss Cat,Validation
0,1,2,1.0,Accuracy Cat,Training
0,1,2,0.8680556,Accuracy Cat,Validation
0,1,2,0.4244965,Loss Chair,Training
0,1,2,2.6347988,Loss Chair,Validation
0,1,2,0.9961832,Accuracy Chair,Training
0,1,2,0.045751635,Accuracy Chair,Validation
0,1,2,0.48546568,Loss Cow,Training
0,1,2,1.4627908,Loss Cow,Validation
0,1,2,1.0,Accuracy Cow,Training
0,1,2,0.79605263,Accuracy Cow,Validation
0,1,2,0.2379542,Loss Dining Table,Training
0,1,2,1.6584194,Loss Dining Table,Validation
0,1,2,1.0,Accuracy Dining Table,Training
0,1,2,0.60189575,Accuracy Dining Table,Validation
0,1,2,0.37112045,Loss Dog,Training
0,1,2,2.2529106,Loss Dog,Validation
0,1,2,1.0,Accuracy Dog,Training
0,1,2,0.3417431,Accuracy Dog,Validation
0,1,2,0.4991509,Loss Horse,Training
0,1,2,2.0865347,Loss Horse,Validation
0,1,2,1.0,Accuracy Horse,Training
0,1,2,0.3109756,Accuracy Horse,Validation
0,1,2,0.4672738,Loss Motorcycle,Training
0,1,2,1.2916749,Loss Motorcycle,Validation
0,1,2,1.0,Accuracy Motorcycle,Training
0,1,2,0.89056605,Accuracy Motorcycle,Validation
0,1,2,0.23311946,Loss Person,Training
0,1,2,3.6687894,Loss Person,Validation
0,1,2,1.0,Accuracy Person,Training
0,1,2,0.007858546,Accuracy Person,Validation
0,1,2,0.2565421,Loss Potted Plant,Training
0,1,2,2.6210644,Loss Potted Plant,Validation
0,1,2,1.0,Accuracy Potted Plant,Training
0,1,2,0.19402985,Accuracy Potted Plant,Validation
0,1,2,0.4824746,Loss Sheep,Training
0,1,2,1.619633,Loss Sheep,Validation
0,1,2,1.0,Accuracy Sheep,Training
0,1,2,0.5426357,Accuracy Sheep,Validation
0,1,2,0.2705095,Loss Sofa,Training
0,1,2,1.6304047,Loss Sofa,Validation
0,1,2,1.0,Accuracy Sofa,Training
0,1,2,0.65232974,Accuracy Sofa,Validation
0,1,2,0.34877735,Loss Train,Training
0,1,2,1.5844368,Loss Train,Validation
0,1,2,1.0,Accuracy Train,Training
0,1,2,0.8760563,Accuracy Train,Validation
0,1,2,0.5035842,Loss Television,Training
0,1,2,1.458138,Loss Television,Validation
0,1,2,1.0,Accuracy Television,Training
0,1,2,0.8369565,Accuracy Television,Validation
0,1,3,0.22450666,Loss,Training
0,1,3,1.794117,Loss,Validation
0,1,3,1.0,Accuracy,Training
0,1,3,0.62792796,Accuracy,Validation
0,1,3,0.175073,Loss Airplane,Training
0,1,3,1.7708446,Loss Airplane,Validation
0,1,3,1.0,Accuracy Airplane,Training
0,1,3,0.8503937,Accuracy Airplane,Validation
0,1,3,0.14649972,Loss Bicycle,Training
0,1,3,1.5597396,Loss Bicycle,Validation
0,1,3,1.0,Accuracy Bicycle,Training
0,1,3,0.73333335,Accuracy Bicycle,Validation
0,1,3,0.277747,Loss Bird,Training
0,1,3,2.0280235,Loss Bird,Validation
0,1,3,1.0,Accuracy Bird,Training
0,1,3,0.5588915,Accuracy Bird,Validation
0,1,3,0.2687057,Loss Boat,Training
0,1,3,1.7745755,Loss Boat,Validation
