seed,examples_per_class,epoch,value,metric,split
0,1,0,1.9619787,Loss,Training
0,1,0,2.3654113,Loss,Validation
0,1,0,0.85391873,Accuracy,Training
0,1,0,0.51206154,Accuracy,Validation
0,1,0,1.9687659,Loss Airplane,Training
0,1,0,2.3521173,Loss Airplane,Validation
0,1,0,0.9,Accuracy Airplane,Training
0,1,0,0.85831064,Accuracy Airplane,Validation
0,1,0,1.5069555,Loss Bicycle,Training
0,1,0,2.0829906,Loss Bicycle,Validation
0,1,0,0.92261904,Accuracy Bicycle,Training
0,1,0,0.7758621,Accuracy Bicycle,Validation
0,1,0,2.2160525,Loss Bird,Training
0,1,0,2.6310456,Loss Bird,Validation
0,1,0,0.8763251,Accuracy Bird,Training
0,1,0,0.41928253,Accuracy Bird,Validation
0,1,0,1.7200948,Loss Boat,Training
0,1,0,2.4755776,Loss Boat,Validation
0,1,0,0.8507463,Accuracy Boat,Training
0,1,0,0.35738832,Accuracy Boat,Validation
0,1,0,2.1612046,Loss Bottle,Training
0,1,0,2.4578748,Loss Bottle,Validation
0,1,0,0.8206897,Accuracy Bottle,Training
0,1,0,0.4528302,Accuracy Bottle,Validation
0,1,0,2.1396818,Loss Bus,Training
0,1,0,2.2141516,Loss Bus,Validation
0,1,0,0.87542087,Accuracy Bus,Training
0,1,0,0.81654674,Accuracy Bus,Validation
0,1,0,1.9720585,Loss Car,Training
0,1,0,2.4415407,Loss Car,Validation
0,1,0,0.9338843,Accuracy Car,Training
0,1,0,0.44277108,Accuracy Car,Validation
0,1,0,1.9368445,Loss Cat,Training
0,1,0,2.1292372,Loss Cat,Validation
0,1,0,0.8557994,Accuracy Cat,Training
0,1,0,0.778291,Accuracy Cat,Validation
0,1,0,1.8076123,Loss Chair,Training
0,1,0,2.603898,Loss Chair,Validation
0,1,0,0.8203593,Accuracy Chair,Training
0,1,0,0.058064517,Accuracy Chair,Validation
0,1,0,1.96456,Loss Cow,Training
0,1,0,2.1558793,Loss Cow,Validation
0,1,0,0.93333334,Accuracy Cow,Training
0,1,0,0.7395498,Accuracy Cow,Validation
0,1,0,1.7211678,Loss Dining Table,Training
0,1,0,2.1721587,Loss Dining Table,Validation
0,1,0,0.8756757,Accuracy Dining Table,Training
0,1,0,0.56650245,Accuracy Dining Table,Validation
0,1,0,1.879822,Loss Dog,Training
0,1,0,2.5585427,Loss Dog,Validation
0,1,0,0.863924,Accuracy Dog,Training
0,1,0,0.28314605,Accuracy Dog,Validation
0,1,0,2.1472871,Loss Horse,Training
0,1,0,2.5589693,Loss Horse,Validation
0,1,0,0.779661,Accuracy Horse,Training
0,1,0,0.13621262,Accuracy Horse,Validation
0,1,0,2.236038,Loss Motorcycle,Training
0,1,0,2.2871997,Loss Motorcycle,Validation
0,1,0,0.62700963,Accuracy Motorcycle,Training
0,1,0,0.61619717,Accuracy Motorcycle,Validation
0,1,0,1.7961859,Loss Person,Training
0,1,0,2.7183726,Loss Person,Validation
0,1,0,0.913738,Accuracy Person,Training
0,1,0,0.0840081,Accuracy Person,Validation
0,1,0,1.7257423,Loss Potted Plant,Training
0,1,0,2.597549,Loss Potted Plant,Validation
0,1,0,0.909621,Accuracy Potted Plant,Training
0,1,0,0.2867647,Accuracy Potted Plant,Validation
0,1,0,2.1756296,Loss Sheep,Training
0,1,0,2.2733872,Loss Sheep,Validation
0,1,0,0.8727273,Accuracy Sheep,Training
0,1,0,0.42798355,Accuracy Sheep,Validation
0,1,0,1.7511973,Loss Sofa,Training
0,1,0,1.973164,Loss Sofa,Validation
0,1,0,0.82300884,Accuracy Sofa,Training
0,1,0,0.70454544,Accuracy Sofa,Validation
0,1,0,2.1810658,Loss Train,Training
0,1,0,2.2923362,Loss Train,Validation
0,1,0,0.7873563,Accuracy Train,Training
0,1,0,0.9131653,Accuracy Train,Validation
0,1,0,2.23161,Loss Television,Training
0,1,0,2.3322296,Loss Television,Validation
0,1,0,0.836478,Accuracy Television,Training
0,1,0,0.52380955,Accuracy Television,Validation
0,1,1,0.78686786,Loss,Training
0,1,1,2.0562334,Loss,Validation
0,1,1,0.99539393,Accuracy,Training
0,1,1,0.58722067,Accuracy,Validation
0,1,1,0.793176,Loss Airplane,Training
0,1,1,2.0679274,Loss Airplane,Validation
0,1,1,1.0,Accuracy Airplane,Training
0,1,1,0.81769437,Accuracy Airplane,Validation
0,1,1,0.51070553,Loss Bicycle,Training
0,1,1,1.9600843,Loss Bicycle,Validation
0,1,1,1.0,Accuracy Bicycle,Training
0,1,1,0.64634144,Accuracy Bicycle,Validation
0,1,1,1.0195034,Loss Bird,Training
0,1,1,2.3064,Loss Bird,Validation
0,1,1,1.0,Accuracy Bird,Training
0,1,1,0.48441246,Accuracy Bird,Validation
0,1,1,0.6728898,Loss Boat,Training
0,1,1,2.147573,Loss Boat,Validation
0,1,1,0.9514286,Accuracy Boat,Training
0,1,1,0.5477707,Accuracy Boat,Validation
0,1,1,0.8735119,Loss Bottle,Training
0,1,1,1.9693385,Loss Bottle,Validation
0,1,1,1.0,Accuracy Bottle,Training
0,1,1,0.7834395,Accuracy Bottle,Validation
0,1,1,0.86653084,Loss Bus,Training
0,1,1,1.6866134,Loss Bus,Validation
0,1,1,1.0,Accuracy Bus,Training
0,1,1,0.85314685,Accuracy Bus,Validation
0,1,1,0.8779164,Loss Car,Training
0,1,1,2.2468226,Loss Car,Validation
0,1,1,1.0,Accuracy Car,Training
0,1,1,0.40066224,Accuracy Car,Validation
0,1,1,0.76187766,Loss Cat,Training
0,1,1,1.667012,Loss Cat,Validation
0,1,1,0.9971671,Accuracy Cat,Training
0,1,1,0.85714287,Accuracy Cat,Validation
0,1,1,0.79068524,Loss Chair,Training
0,1,1,2.438726,Loss Chair,Validation
0,1,1,0.9654088,Accuracy Chair,Training
0,1,1,0.11764706,Accuracy Chair,Validation
0,1,1,0.88388103,Loss Cow,Training
0,1,1,1.7651025,Loss Cow,Validation
0,1,1,0.9966997,Accuracy Cow,Training
0,1,1,0.7337884,Accuracy Cow,Validation
0,1,1,0.526955,Loss Dining Table,Training
0,1,1,1.9053382,Loss Dining Table,Validation
0,1,1,1.0,Accuracy Dining Table,Training
0,1,1,0.58373207,Accuracy Dining Table,Validation
0,1,1,0.6996074,Loss Dog,Training
0,1,1,2.3921337,Loss Dog,Validation
0,1,1,0.99717516,Accuracy Dog,Training
0,1,1,0.33640552,Accuracy Dog,Validation
0,1,1,0.8606823,Loss Horse,Training
0,1,1,2.089872,Loss Horse,Validation
0,1,1,1.0,Accuracy Horse,Training
0,1,1,0.5044776,Accuracy Horse,Validation
0,1,1,0.9859027,Loss Motorcycle,Training
0,1,1,1.6569333,Loss Motorcycle,Validation
0,1,1,1.0,Accuracy Motorcycle,Training
0,1,1,0.8055556,Accuracy Motorcycle,Validation
0,1,1,0.61568147,Loss Person,Training
0,1,1,2.8258352,Loss Person,Validation
0,1,1,1.0,Accuracy Person,Training
0,1,1,0.06526104,Accuracy Person,Validation
0,1,1,0.502342,Loss Potted Plant,Training
0,1,1,2.7016754,Loss Potted Plant,Validation
0,1,1,1.0,Accuracy Potted Plant,Training
0,1,1,0.30882353,Accuracy Potted Plant,Validation
0,1,1,0.9741463,Loss Sheep,Training
0,1,1,1.8374286,Loss Sheep,Validation
0,1,1,1.0,Accuracy Sheep,Training
0,1,1,0.59302324,Accuracy Sheep,Validation
0,1,1,0.58194125,Loss Sofa,Training
0,1,1,1.7599828,Loss Sofa,Validation
0,1,1,1.0,Accuracy Sofa,Training
0,1,1,0.7062937,Accuracy Sofa,Validation
0,1,1,0.8601989,Loss Train,Training
0,1,1,1.8087878,Loss Train,Validation
0,1,1,1.0,Accuracy Train,Training
0,1,1,0.9246377,Accuracy Train,Validation
0,1,1,1.079222,Loss Television,Training
0,1,1,1.8910824,Loss Television,Validation
0,1,1,1.0,Accuracy Television,Training
0,1,1,0.6741573,Accuracy Television,Validation
0,1,2,0.39262363,Loss,Training
0,1,2,1.8942974,Loss,Validation
0,1,2,0.999564,Accuracy,Training
0,1,2,0.59432614,Accuracy,Validation
0,1,2,0.35057938,Loss Airplane,Training
0,1,2,1.9163418,Loss Airplane,Validation
0,1,2,1.0,Accuracy Airplane,Training
0,1,2,0.8601583,Accuracy Airplane,Validation
0,1,2,0.28026798,Loss Bicycle,Training
0,1,2,1.772642,Loss Bicycle,Validation
0,1,2,1.0,Accuracy Bicycle,Training
0,1,2,0.65555555,Accuracy Bicycle,Validation
0,1,2,0.49838182,Loss Bird,Training
0,1,2,2.134351,Loss Bird,Validation
0,1,2,1.0,Accuracy Bird,Training
0,1,2,0.5473934,Accuracy Bird,Validation
0,1,2,0.37759483,Loss Boat,Training
0,1,2,1.9744278,Loss Boat,Validation
0,1,2,0.99127907,Accuracy Boat,Training
0,1,2,0.60194176,Accuracy Boat,Validation
0,1,2,0.38332254,Loss Bottle,Training
0,1,2,1.7317358,Loss Bottle,Validation
0,1,2,1.0,Accuracy Bottle,Training
0,1,2,0.79746836,Accuracy Bottle,Validation
0,1,2,0.38900492,Loss Bus,Training
0,1,2,1.426769,Loss Bus,Validation
0,1,2,1.0,Accuracy Bus,Training
0,1,2,0.8642857,Accuracy Bus,Validation
0,1,2,0.50836605,Loss Car,Training
0,1,2,2.1382847,Loss Car,Validation
0,1,2,1.0,Accuracy Car,Training
0,1,2,0.3936508,Accuracy Car,Validation
0,1,2,0.36500388,Loss Cat,Training
0,1,2,1.425267,Loss Cat,Validation
0,1,2,1.0,Accuracy Cat,Training
0,1,2,0.875,Accuracy Cat,Validation
0,1,2,0.41938025,Loss Chair,Training
0,1,2,2.4691648,Loss Chair,Validation
0,1,2,1.0,Accuracy Chair,Training
0,1,2,0.09803922,Accuracy Chair,Validation
0,1,2,0.46783116,Loss Cow,Training
0,1,2,1.5961933,Loss Cow,Validation
0,1,2,1.0,Accuracy Cow,Training
0,1,2,0.6644737,Accuracy Cow,Validation
0,1,2,0.24928996,Loss Dining Table,Training
0,1,2,1.7659891,Loss Dining Table,Validation
0,1,2,1.0,Accuracy Dining Table,Training
0,1,2,0.55450237,Accuracy Dining Table,Validation
0,1,2,0.39874044,Loss Dog,Training
0,1,2,2.329481,Loss Dog,Validation
0,1,2,1.0,Accuracy Dog,Training
0,1,2,0.29816514,Accuracy Dog,Validation
0,1,2,0.40558723,Loss Horse,Training
0,1,2,2.0285206,Loss Horse,Validation
0,1,2,1.0,Accuracy Horse,Training
0,1,2,0.4512195,Accuracy Horse,Validation
0,1,2,0.47266227,Loss Motorcycle,Training
0,1,2,1.3972516,Loss Motorcycle,Validation
0,1,2,1.0,Accuracy Motorcycle,Training
0,1,2,0.8603774,Accuracy Motorcycle,Validation
0,1,2,0.30438194,Loss Person,Training
0,1,2,2.8469362,Loss Person,Validation
0,1,2,1.0,Accuracy Person,Training
0,1,2,0.08153242,Accuracy Person,Validation
0,1,2,0.24925368,Loss Potted Plant,Training
0,1,2,2.533551,Loss Potted Plant,Validation
0,1,2,1.0,Accuracy Potted Plant,Training
0,1,2,0.23880596,Accuracy Potted Plant,Validation
0,1,2,0.46144125,Loss Sheep,Training
0,1,2,1.5814071,Loss Sheep,Validation
0,1,2,1.0,Accuracy Sheep,Training
0,1,2,0.6395349,Accuracy Sheep,Validation
0,1,2,0.29412696,Loss Sofa,Training
0,1,2,1.6364883,Loss Sofa,Validation
0,1,2,1.0,Accuracy Sofa,Training
