seed,examples_per_class,epoch,value,metric,split
0,1,0,1.9756733,Loss,Training
0,1,0,2.370023,Loss,Validation
0,1,0,0.8561489,Accuracy,Training
0,1,0,0.5192179,Accuracy,Validation
0,1,0,1.9848912,Loss Airplane,Training
0,1,0,2.3924482,Loss Airplane,Validation
0,1,0,0.9003021,Accuracy Airplane,Training
0,1,0,0.8147139,Accuracy Airplane,Validation
0,1,0,1.5811919,Loss Bicycle,Training
0,1,0,2.0908654,Loss Bicycle,Validation
0,1,0,0.9318182,Accuracy Bicycle,Training
0,1,0,0.7988506,Accuracy Bicycle,Validation
0,1,0,2.2331066,Loss Bird,Training
0,1,0,2.6250806,Loss Bird,Validation
0,1,0,0.859375,Accuracy Bird,Training
0,1,0,0.33183858,Accuracy Bird,Validation
0,1,0,1.7776973,Loss Boat,Training
0,1,0,2.571966,Loss Boat,Validation
0,1,0,0.8885246,Accuracy Boat,Training
0,1,0,0.31958762,Accuracy Boat,Validation
0,1,0,2.0246348,Loss Bottle,Training
0,1,0,2.3867216,Loss Bottle,Validation
0,1,0,0.821875,Accuracy Bottle,Training
0,1,0,0.7044025,Accuracy Bottle,Validation
0,1,0,2.1592438,Loss Bus,Training
0,1,0,2.1784186,Loss Bus,Validation
0,1,0,0.8768769,Accuracy Bus,Training
0,1,0,0.8776978,Accuracy Bus,Validation
0,1,0,2.0842698,Loss Car,Training
0,1,0,2.5287576,Loss Car,Validation
0,1,0,0.9047619,Accuracy Car,Training
0,1,0,0.4246988,Accuracy Car,Validation
0,1,0,1.8956026,Loss Cat,Training
0,1,0,2.0825164,Loss Cat,Validation
0,1,0,0.85365856,Accuracy Cat,Training
0,1,0,0.8314088,Accuracy Cat,Validation
0,1,0,1.924511,Loss Chair,Training
0,1,0,2.609763,Loss Chair,Validation
0,1,0,0.78032786,Accuracy Chair,Training
0,1,0,0.032258064,Accuracy Chair,Validation
0,1,0,2.011066,Loss Cow,Training
0,1,0,2.20093,Loss Cow,Validation
0,1,0,0.9375,Accuracy Cow,Training
0,1,0,0.51446944,Accuracy Cow,Validation
0,1,0,1.6233339,Loss Dining Table,Training
0,1,0,2.2233062,Loss Dining Table,Validation
0,1,0,0.9,Accuracy Dining Table,Training
0,1,0,0.47783253,Accuracy Dining Table,Validation
0,1,0,1.8879908,Loss Dog,Training
0,1,0,2.5643258,Loss Dog,Validation
0,1,0,0.83870965,Accuracy Dog,Training
0,1,0,0.22247191,Accuracy Dog,Validation
0,1,0,2.0772436,Loss Horse,Training
0,1,0,2.3972979,Loss Horse,Validation
0,1,0,0.85835695,Accuracy Horse,Training
0,1,0,0.45182723,Accuracy Horse,Validation
0,1,0,2.2449422,Loss Motorcycle,Training
0,1,0,2.3383598,Loss Motorcycle,Validation
0,1,0,0.6742671,Accuracy Motorcycle,Training
0,1,0,0.46126762,Accuracy Motorcycle,Validation
0,1,0,1.8169539,Loss Person,Training
0,1,0,2.7739036,Loss Person,Validation
0,1,0,0.9039735,Accuracy Person,Training
0,1,0,0.085020244,Accuracy Person,Validation
0,1,0,1.6982241,Loss Potted Plant,Training
0,1,0,2.6706605,Loss Potted Plant,Validation
0,1,0,0.92774564,Accuracy Potted Plant,Training
0,1,0,0.2720588,Accuracy Potted Plant,Validation
0,1,0,2.1535966,Loss Sheep,Training
0,1,0,1.9666368,Loss Sheep,Validation
0,1,0,0.8798701,Accuracy Sheep,Training
0,1,0,0.7654321,Accuracy Sheep,Validation
0,1,0,1.780912,Loss Sofa,Training
0,1,0,2.0097785,Loss Sofa,Validation
0,1,0,0.8410405,Accuracy Sofa,Training
0,1,0,0.6785714,Accuracy Sofa,Validation
0,1,0,2.224458,Loss Train,Training
0,1,0,2.3408816,Loss Train,Validation
0,1,0,0.7459807,Accuracy Train,Training
0,1,0,0.9019608,Accuracy Train,Validation
0,1,0,2.3296003,Loss Television,Training
0,1,0,2.4478426,Loss Television,Validation
0,1,0,0.79801327,Accuracy Television,Training
