seed,examples_per_class,epoch,value,metric,split
0,1,0,1.9667022,Loss,Training
0,1,0,2.3685627,Loss,Validation
0,1,0,0.85208404,Accuracy,Training
0,1,0,0.51961327,Accuracy,Validation
0,1,0,1.9576309,Loss Airplane,Training
0,1,0,2.3522484,Loss Airplane,Validation
0,1,0,0.88439304,Accuracy Airplane,Training
0,1,0,0.8692098,Accuracy Airplane,Validation
0,1,0,1.539068,Loss Bicycle,Training
0,1,0,2.0819464,Loss Bicycle,Validation
0,1,0,0.94207317,Accuracy Bicycle,Training
0,1,0,0.7758621,Accuracy Bicycle,Validation
0,1,0,2.2565477,Loss Bird,Training
0,1,0,2.6750891,Loss Bird,Validation
0,1,0,0.85925925,Accuracy Bird,Training
0,1,0,0.36995515,Accuracy Bird,Validation
0,1,0,1.8372654,Loss Boat,Training
0,1,0,2.5179672,Loss Boat,Validation
0,1,0,0.846875,Accuracy Boat,Training
0,1,0,0.30584192,Accuracy Boat,Validation
0,1,0,2.0326138,Loss Bottle,Training
0,1,0,2.3793223,Loss Bottle,Validation
0,1,0,0.81875,Accuracy Bottle,Training
0,1,0,0.6603774,Accuracy Bottle,Validation
0,1,0,2.1419349,Loss Bus,Training
0,1,0,2.217361,Loss Bus,Validation
0,1,0,0.8724832,Accuracy Bus,Training
0,1,0,0.8201439,Accuracy Bus,Validation
0,1,0,2.0226758,Loss Car,Training
0,1,0,2.4871678,Loss Car,Validation
0,1,0,0.908284,Accuracy Car,Training
0,1,0,0.4307229,Accuracy Car,Validation
0,1,0,1.8754421,Loss Cat,Training
0,1,0,2.0421982,Loss Cat,Validation
0,1,0,0.85882354,Accuracy Cat,Training
0,1,0,0.8591224,Accuracy Cat,Validation
0,1,0,1.8816899,Loss Chair,Training
0,1,0,2.6154904,Loss Chair,Validation
0,1,0,0.7641509,Accuracy Chair,Training
0,1,0,0.025806451,Accuracy Chair,Validation
0,1,0,2.0289557,Loss Cow,Training
0,1,0,2.2139375,Loss Cow,Validation
0,1,0,0.9218241,Accuracy Cow,Training
0,1,0,0.6752412,Accuracy Cow,Validation
0,1,0,1.6548011,Loss Dining Table,Training
0,1,0,2.1790524,Loss Dining Table,Validation
0,1,0,0.8945869,Accuracy Dining Table,Training
0,1,0,0.5418719,Accuracy Dining Table,Validation
0,1,0,1.8619714,Loss Dog,Training
0,1,0,2.540252,Loss Dog,Validation
0,1,0,0.8646154,Accuracy Dog,Training
0,1,0,0.28089887,Accuracy Dog,Validation
0,1,0,2.0996113,Loss Horse,Training
0,1,0,2.5010376,Loss Horse,Validation
0,1,0,0.8528529,Accuracy Horse,Training
0,1,0,0.28239202,Accuracy Horse,Validation
0,1,0,2.2432268,Loss Motorcycle,Training
0,1,0,2.3177643,Loss Motorcycle,Validation
0,1,0,0.63492066,Accuracy Motorcycle,Training
0,1,0,0.51760566,Accuracy Motorcycle,Validation
0,1,0,1.793694,Loss Person,Training
0,1,0,2.747786,Loss Person,Validation
0,1,0,0.9194631,Accuracy Person,Training
0,1,0,0.08603239,Accuracy Person,Validation
0,1,0,1.6732273,Loss Potted Plant,Training
0,1,0,2.6183279,Loss Potted Plant,Validation
0,1,0,0.9220056,Accuracy Potted Plant,Training
0,1,0,0.2867647,Accuracy Potted Plant,Validation
0,1,0,2.235416,Loss Sheep,Training
0,1,0,2.2389946,Loss Sheep,Validation
0,1,0,0.8488889,Accuracy Sheep,Training
0,1,0,0.56378603,Accuracy Sheep,Validation
0,1,0,1.7334192,Loss Sofa,Training
0,1,0,1.982818,Loss Sofa,Validation
0,1,0,0.8483146,Accuracy Sofa,Training
0,1,0,0.6883117,Accuracy Sofa,Validation
0,1,0,2.1775157,Loss Train,Training
0,1,0,2.2617018,Loss Train,Validation
0,1,0,0.7589286,Accuracy Train,Training
0,1,0,0.9131653,Accuracy Train,Validation
0,1,0,2.287339,Loss Television,Training
0,1,0,2.400788,Loss Television,Validation
0,1,0,0.8201893,Accuracy Television,Training
0,1,0,0.43915343,Accuracy Television,Validation
0,1,1,0.79921216,Loss,Training
0,1,1,2.0477967,Loss,Validation
0,1,1,0.9960327,Accuracy,Training
0,1,1,0.5799438,Accuracy,Validation
0,1,1,0.7592249,Loss Airplane,Training
0,1,1,2.0263598,Loss Airplane,Validation
0,1,1,1.0,Accuracy Airplane,Training
0,1,1,0.8927614,Accuracy Airplane,Validation
0,1,1,0.48736498,Loss Bicycle,Training
0,1,1,1.9299992,Loss Bicycle,Validation
0,1,1,1.0,Accuracy Bicycle,Training
0,1,1,0.64634144,Accuracy Bicycle,Validation
0,1,1,1.1192693,Loss Bird,Training
0,1,1,2.3498814,Loss Bird,Validation
0,1,1,0.9962963,Accuracy Bird,Training
0,1,1,0.43165466,Accuracy Bird,Validation
0,1,1,0.75336164,Loss Boat,Training
