seed,examples_per_class,epoch,value,metric,split
0,1,0,1.9403855,Loss,Training
0,1,0,2.4761915,Loss,Validation
0,1,0,0.8162252,Accuracy,Training
0,1,0,0.3915512,Accuracy,Validation
0,1,0,1.5937889,Loss Airplane,Training
0,1,0,2.085089,Loss Airplane,Validation
0,1,0,0.94505495,Accuracy Airplane,Training
0,1,0,0.9128065,Accuracy Airplane,Validation
0,1,0,1.3442817,Loss Bicycle,Training
0,1,0,1.7233294,Loss Bicycle,Validation
0,1,0,0.95218295,Accuracy Bicycle,Training
0,1,0,0.7586207,Accuracy Bicycle,Validation
0,1,0,2.296554,Loss Bird,Training
0,1,0,2.855538,Loss Bird,Validation
0,1,0,0.9119171,Accuracy Bird,Training
0,1,0,0.15919283,Accuracy Bird,Validation
0,1,0,1.9315763,Loss Boat,Training
0,1,0,2.8826525,Loss Boat,Validation
0,1,0,0.8398268,Accuracy Boat,Training
0,1,0,0.01718213,Accuracy Boat,Validation
0,1,0,1.9160979,Loss Bottle,Training
0,1,0,2.239982,Loss Bottle,Validation
0,1,0,0.77018636,Accuracy Bottle,Training
0,1,0,0.5974843,Accuracy Bottle,Validation
0,1,0,1.850811,Loss Bus,Training
0,1,0,1.9029306,Loss Bus,Validation
0,1,0,0.8729792,Accuracy Bus,Training
0,1,0,0.94244605,Accuracy Bus,Validation
0,1,0,2.022952,Loss Car,Training
0,1,0,2.2842655,Loss Car,Validation
0,1,0,0.9166667,Accuracy Car,Training
0,1,0,0.34036145,Accuracy Car,Validation
0,1,0,1.7227138,Loss Cat,Training
0,1,0,1.754304,Loss Cat,Validation
0,1,0,0.87794435,Accuracy Cat,Training
0,1,0,0.76674366,Accuracy Cat,Validation
0,1,0,1.7126793,Loss Chair,Training
0,1,0,2.4629338,Loss Chair,Validation
0,1,0,0.8305085,Accuracy Chair,Training
0,1,0,0.058064517,Accuracy Chair,Validation
0,1,0,2.14192,Loss Cow,Training
0,1,0,2.6765962,Loss Cow,Validation
0,1,0,0.96428573,Accuracy Cow,Training
0,1,0,0.2636656,Accuracy Cow,Validation
0,1,0,1.330267,Loss Dining Table,Training
0,1,0,1.7703345,Loss Dining Table,Validation
0,1,0,0.93264246,Accuracy Dining Table,Training
0,1,0,0.817734,Accuracy Dining Table,Validation
0,1,0,1.6167613,Loss Dog,Training
0,1,0,1.9826808,Loss Dog,Validation
0,1,0,0.9130435,Accuracy Dog,Training
0,1,0,0.8516854,Accuracy Dog,Validation
0,1,0,2.2088935,Loss Horse,Training
0,1,0,3.2113829,Loss Horse,Validation
0,1,0,0.66233766,Accuracy Horse,Training
0,1,0,0.0,Accuracy Horse,Validation
0,1,0,1.8990701,Loss Motorcycle,Training
0,1,0,1.6820546,Loss Motorcycle,Validation
0,1,0,0.78809106,Accuracy Motorcycle,Training
0,1,0,0.9471831,Accuracy Motorcycle,Validation
0,1,0,1.9250234,Loss Person,Training
0,1,0,3.7266262,Loss Person,Validation
0,1,0,0.90140843,Accuracy Person,Training
0,1,0,0.0,Accuracy Person,Validation
0,1,0,1.8469359,Loss Potted Plant,Training
0,1,0,3.1539276,Loss Potted Plant,Validation
0,1,0,0.92,Accuracy Potted Plant,Training
0,1,0,0.0,Accuracy Potted Plant,Validation
0,1,0,2.3144453,Loss Sheep,Training
0,1,0,2.4995458,Loss Sheep,Validation
0,1,0,0.8993289,Accuracy Sheep,Training
0,1,0,0.3621399,Accuracy Sheep,Validation
0,1,0,1.9716338,Loss Sofa,Training
0,1,0,2.818783,Loss Sofa,Validation
0,1,0,0.65562916,Accuracy Sofa,Training
0,1,0,0.035714287,Accuracy Sofa,Validation
0,1,0,2.6643355,Loss Train,Training
0,1,0,3.0160165,Loss Train,Validation
0,1,0,0.2983871,Accuracy Train,Training
0,1,0,0.0,Accuracy Train,Validation
0,1,0,2.4969678,Loss Television,Training
0,1,0,2.7948527,Loss Television,Validation
0,1,0,0.4720812,Accuracy Television,Training
0,1,0,0.0,Accuracy Television,Validation
0,1,1,0.7593924,Loss,Training
0,1,1,2.1835456,Loss,Validation
0,1,1,0.99066985,Accuracy,Training
0,1,1,0.4854288,Accuracy,Validation
