seed,examples_per_class,epoch,value,metric,split
0,1,0,1.9680191,Loss,Training
0,1,0,2.3665223,Loss,Validation
0,1,0,0.8343318,Accuracy,Training
0,1,0,0.5293116,Accuracy,Validation
0,1,0,1.9119819,Loss Airplane,Training
0,1,0,2.3082118,Loss Airplane,Validation
0,1,0,0.8947368,Accuracy Airplane,Training
0,1,0,0.8692098,Accuracy Airplane,Validation
0,1,0,1.5552051,Loss Bicycle,Training
0,1,0,2.099899,Loss Bicycle,Validation
0,1,0,0.92789966,Accuracy Bicycle,Training
0,1,0,0.8103448,Accuracy Bicycle,Validation
0,1,0,2.1970541,Loss Bird,Training
0,1,0,2.6473238,Loss Bird,Validation
0,1,0,0.85667753,Accuracy Bird,Training
0,1,0,0.23991032,Accuracy Bird,Validation
0,1,0,1.7135845,Loss Boat,Training
0,1,0,2.4607058,Loss Boat,Validation
0,1,0,0.88728327,Accuracy Boat,Training
0,1,0,0.45360824,Accuracy Boat,Validation
0,1,0,1.9739981,Loss Bottle,Training
0,1,0,2.212089,Loss Bottle,Validation
0,1,0,0.83231705,Accuracy Bottle,Training
0,1,0,0.836478,Accuracy Bottle,Validation
0,1,0,2.119589,Loss Bus,Training
0,1,0,2.1728365,Loss Bus,Validation
0,1,0,0.8548896,Accuracy Bus,Training
0,1,0,0.9388489,Accuracy Bus,Validation
0,1,0,2.1581683,Loss Car,Training
0,1,0,2.5943646,Loss Car,Validation
0,1,0,0.87096775,Accuracy Car,Training
0,1,0,0.32228917,Accuracy Car,Validation
0,1,0,1.8806612,Loss Cat,Training
0,1,0,2.052077,Loss Cat,Validation
0,1,0,0.8323699,Accuracy Cat,Training
0,1,0,0.8983834,Accuracy Cat,Validation
0,1,0,1.8271028,Loss Chair,Training
0,1,0,2.6155708,Loss Chair,Validation
0,1,0,0.7877907,Accuracy Chair,Training
0,1,0,0.058064517,Accuracy Chair,Validation
0,1,0,1.9852734,Loss Cow,Training
0,1,0,2.1509995,Loss Cow,Validation
0,1,0,0.91049385,Accuracy Cow,Training
0,1,0,0.5948553,Accuracy Cow,Validation
0,1,0,1.6159756,Loss Dining Table,Training
0,1,0,2.1658316,Loss Dining Table,Validation
0,1,0,0.8682635,Accuracy Dining Table,Training
0,1,0,0.56650245,Accuracy Dining Table,Validation
0,1,0,1.9105644,Loss Dog,Training
0,1,0,2.8240037,Loss Dog,Validation
0,1,0,0.7366412,Accuracy Dog,Training
0,1,0,0.062921345,Accuracy Dog,Validation
