seed,examples_per_class,epoch,value,metric,split
0,1,0,1.9607033,Loss,Training
0,1,0,2.36637,Loss,Validation
0,1,0,0.8418905,Accuracy,Training
0,1,0,0.5263893,Accuracy,Validation
0,1,0,1.902256,Loss Airplane,Training
0,1,0,2.2803094,Loss Airplane,Validation
0,1,0,0.9354839,Accuracy Airplane,Training
0,1,0,0.91008174,Accuracy Airplane,Validation
0,1,0,1.5042711,Loss Bicycle,Training
0,1,0,2.1275883,Loss Bicycle,Validation
0,1,0,0.92424244,Accuracy Bicycle,Training
0,1,0,0.7758621,Accuracy Bicycle,Validation
0,1,0,2.2639794,Loss Bird,Training
0,1,0,2.6847908,Loss Bird,Validation
0,1,0,0.8586956,Accuracy Bird,Training
0,1,0,0.2264574,Accuracy Bird,Validation
0,1,0,1.7181201,Loss Boat,Training
0,1,0,2.4804869,Loss Boat,Validation
0,1,0,0.8773585,Accuracy Boat,Training
0,1,0,0.4089347,Accuracy Boat,Validation
0,1,0,1.9837534,Loss Bottle,Training
0,1,0,2.2595801,Loss Bottle,Validation
0,1,0,0.8279883,Accuracy Bottle,Training
0,1,0,0.8050314,Accuracy Bottle,Validation
0,1,0,2.129501,Loss Bus,Training
0,1,0,2.2288907,Loss Bus,Validation
0,1,0,0.84639496,Accuracy Bus,Training
0,1,0,0.9064748,Accuracy Bus,Validation
0,1,0,2.1192424,Loss Car,Training
0,1,0,2.5609555,Loss Car,Validation
0,1,0,0.8717949,Accuracy Car,Training
0,1,0,0.4066265,Accuracy Car,Validation
0,1,0,1.8511008,Loss Cat,Training
0,1,0,2.0523198,Loss Cat,Validation
0,1,0,0.8625731,Accuracy Cat,Training
0,1,0,0.87528867,Accuracy Cat,Validation
0,1,0,1.7821826,Loss Chair,Training
0,1,0,2.6297019,Loss Chair,Validation
0,1,0,0.8181818,Accuracy Chair,Training
0,1,0,0.058064517,Accuracy Chair,Validation
0,1,0,2.0103657,Loss Cow,Training
0,1,0,2.1346292,Loss Cow,Validation
0,1,0,0.9,Accuracy Cow,Training
0,1,0,0.6430868,Accuracy Cow,Validation
0,1,0,1.6853253,Loss Dining Table,Training
0,1,0,2.2302127,Loss Dining Table,Validation
0,1,0,0.86875,Accuracy Dining Table,Training
0,1,0,0.47783253,Accuracy Dining Table,Validation
0,1,0,1.9671563,Loss Dog,Training
0,1,0,2.8508806,Loss Dog,Validation
0,1,0,0.704918,Accuracy Dog,Training
0,1,0,0.0494382,Accuracy Dog,Validation
0,1,0,2.1294165,Loss Horse,Training
0,1,0,2.4565887,Loss Horse,Validation
0,1,0,0.8023599,Accuracy Horse,Training
0,1,0,0.28239202,Accuracy Horse,Validation
0,1,0,2.163487,Loss Motorcycle,Training
0,1,0,2.1251345,Loss Motorcycle,Validation
0,1,0,0.720339,Accuracy Motorcycle,Training
0,1,0,0.8873239,Accuracy Motorcycle,Validation
0,1,0,1.730943,Loss Person,Training
0,1,0,2.6394174,Loss Person,Validation
0,1,0,0.9118541,Accuracy Person,Training
0,1,0,0.11437247,Accuracy Person,Validation
0,1,0,1.6837125,Loss Potted Plant,Training
0,1,0,2.702064,Loss Potted Plant,Validation
0,1,0,0.918429,Accuracy Potted Plant,Training
0,1,0,0.21323529,Accuracy Potted Plant,Validation
0,1,0,2.13606,Loss Sheep,Training
0,1,0,2.007609,Loss Sheep,Validation
0,1,0,0.9110429,Accuracy Sheep,Training
0,1,0,0.7366255,Accuracy Sheep,Validation
0,1,0,1.7448801,Loss Sofa,Training
0,1,0,1.9506166,Loss Sofa,Validation
0,1,0,0.89235127,Accuracy Sofa,Training
0,1,0,0.72077924,Accuracy Sofa,Validation
0,1,0,2.5248888,Loss Train,Training
0,1,0,2.6381354,Loss Train,Validation
0,1,0,0.5566502,Accuracy Train,Training
0,1,0,0.44257703,Accuracy Train,Validation
0,1,0,2.1834245,Loss Television,Training
0,1,0,2.2874918,Loss Television,Validation
0,1,0,0.82840234,Accuracy Television,Training
0,1,0,0.5873016,Accuracy Television,Validation
0,1,1,0.7812281,Loss,Training
0,1,1,2.0645003,Loss,Validation
0,1,1,0.9907843,Accuracy,Training
0,1,1,0.5691274,Accuracy,Validation
0,1,1,0.72408193,Loss Airplane,Training
0,1,1,2.0330982,Loss Airplane,Validation
0,1,1,1.0,Accuracy Airplane,Training
0,1,1,0.8391421,Accuracy Airplane,Validation
0,1,1,0.5107989,Loss Bicycle,Training
0,1,1,1.9912896,Loss Bicycle,Validation
0,1,1,1.0,Accuracy Bicycle,Training
0,1,1,0.58536583,Accuracy Bicycle,Validation
0,1,1,1.058416,Loss Bird,Training
0,1,1,2.3192365,Loss Bird,Validation
0,1,1,1.0,Accuracy Bird,Training
0,1,1,0.38848922,Accuracy Bird,Validation
0,1,1,0.5917004,Loss Boat,Training
0,1,1,2.2476308,Loss Boat,Validation
0,1,1,0.9470752,Accuracy Boat,Training
0,1,1,0.4713376,Accuracy Boat,Validation
0,1,1,0.7362666,Loss Bottle,Training
0,1,1,1.7985812,Loss Bottle,Validation
0,1,1,1.0,Accuracy Bottle,Training
0,1,1,0.87261146,Accuracy Bottle,Validation
0,1,1,0.9091008,Loss Bus,Training
0,1,1,1.7017885,Loss Bus,Validation
0,1,1,1.0,Accuracy Bus,Training
0,1,1,0.94755244,Accuracy Bus,Validation
0,1,1,0.965324,Loss Car,Training
0,1,1,2.3324564,Loss Car,Validation
0,1,1,1.0,Accuracy Car,Training
0,1,1,0.37748346,Accuracy Car,Validation
0,1,1,0.69333065,Loss Cat,Training
0,1,1,1.626162,Loss Cat,Validation
0,1,1,1.0,Accuracy Cat,Training
0,1,1,0.8865546,Accuracy Cat,Validation
0,1,1,0.7532172,Loss Chair,Training
0,1,1,2.5154772,Loss Chair,Validation
0,1,1,1.0,Accuracy Chair,Training
0,1,1,0.039215688,Accuracy Chair,Validation
0,1,1,0.83242863,Loss Cow,Training
0,1,1,1.763289,Loss Cow,Validation
0,1,1,0.9936508,Accuracy Cow,Training
0,1,1,0.51194537,Accuracy Cow,Validation
0,1,1,0.43400705,Loss Dining Table,Training
0,1,1,1.9520638,Loss Dining Table,Validation
0,1,1,1.0,Accuracy Dining Table,Training
0,1,1,0.5263158,Accuracy Dining Table,Validation
0,1,1,0.7908793,Loss Dog,Training
0,1,1,2.8398652,Loss Dog,Validation
0,1,1,0.8839286,Accuracy Dog,Training
0,1,1,0.048387095,Accuracy Dog,Validation
0,1,1,0.84252465,Loss Horse,Training
0,1,1,2.0173252,Loss Horse,Validation
0,1,1,1.0,Accuracy Horse,Training
0,1,1,0.52238804,Accuracy Horse,Validation
0,1,1,0.90327233,Loss Motorcycle,Training
0,1,1,1.6181993,Loss Motorcycle,Validation
0,1,1,1.0,Accuracy Motorcycle,Training
0,1,1,0.9722222,Accuracy Motorcycle,Validation
0,1,1,0.5686132,Loss Person,Training
0,1,1,2.6826584,Loss Person,Validation
0,1,1,1.0,Accuracy Person,Training
0,1,1,0.10140562,Accuracy Person,Validation
0,1,1,0.5366459,Loss Potted Plant,Training
0,1,1,2.6742537,Loss Potted Plant,Validation
0,1,1,1.0,Accuracy Potted Plant,Training
0,1,1,0.23529412,Accuracy Potted Plant,Validation
0,1,1,1.0181353,Loss Sheep,Training
0,1,1,1.5469067,Loss Sheep,Validation
0,1,1,1.0,Accuracy Sheep,Training
0,1,1,0.81007755,Accuracy Sheep,Validation
0,1,1,0.5792008,Loss Sofa,Training
0,1,1,1.6913457,Loss Sofa,Validation
0,1,1,1.0,Accuracy Sofa,Training
0,1,1,0.7062937,Accuracy Sofa,Validation
0,1,1,1.169234,Loss Train,Training
0,1,1,2.130239,Loss Train,Validation
0,1,1,0.9910314,Accuracy Train,Training
0,1,1,0.85507244,Accuracy Train,Validation
0,1,1,1.0073853,Loss Television,Training
0,1,1,1.8081473,Loss Television,Validation
0,1,1,1.0,Accuracy Television,Training
0,1,1,0.6853933,Accuracy Television,Validation
0,1,2,0.38708383,Loss,Training
0,1,2,1.9078575,Loss,Validation
0,1,2,0.9964005,Accuracy,Training
0,1,2,0.5787395,Accuracy,Validation
0,1,2,0.3336448,Loss Airplane,Training
0,1,2,1.9329996,Loss Airplane,Validation
0,1,2,1.0,Accuracy Airplane,Training
0,1,2,0.86279684,Accuracy Airplane,Validation
0,1,2,0.277158,Loss Bicycle,Training
0,1,2,1.7607474,Loss Bicycle,Validation
0,1,2,1.0,Accuracy Bicycle,Training
0,1,2,0.62222224,Accuracy Bicycle,Validation
0,1,2,0.5272374,Loss Bird,Training
0,1,2,2.1608965,Loss Bird,Validation
0,1,2,1.0,Accuracy Bird,Training
0,1,2,0.4241706,Accuracy Bird,Validation
0,1,2,0.3442516,Loss Boat,Training
0,1,2,2.0812113,Loss Boat,Validation
0,1,2,0.9570552,Accuracy Boat,Training
0,1,2,0.5436893,Accuracy Boat,Validation
0,1,2,0.320937,Loss Bottle,Training
0,1,2,1.6083333,Loss Bottle,Validation
0,1,2,1.0,Accuracy Bottle,Training
0,1,2,0.835443,Accuracy Bottle,Validation
0,1,2,0.3993242,Loss Bus,Training
0,1,2,1.351196,Loss Bus,Validation
0,1,2,1.0,Accuracy Bus,Training
0,1,2,0.95714283,Accuracy Bus,Validation
0,1,2,0.527225,Loss Car,Training
0,1,2,2.317435,Loss Car,Validation
0,1,2,1.0,Accuracy Car,Training
0,1,2,0.35873017,Accuracy Car,Validation
0,1,2,0.35258925,Loss Cat,Training
0,1,2,1.4239413,Loss Cat,Validation
0,1,2,1.0,Accuracy Cat,Training
0,1,2,0.8912037,Accuracy Cat,Validation
0,1,2,0.4052737,Loss Chair,Training
0,1,2,2.4634838,Loss Chair,Validation
0,1,2,1.0,Accuracy Chair,Training
0,1,2,0.05882353,Accuracy Chair,Validation
0,1,2,0.44187596,Loss Cow,Training
0,1,2,1.5753547,Loss Cow,Validation
0,1,2,1.0,Accuracy Cow,Training
0,1,2,0.5065789,Accuracy Cow,Validation
0,1,2,0.1802619,Loss Dining Table,Training
0,1,2,1.799863,Loss Dining Table,Validation
0,1,2,1.0,Accuracy Dining Table,Training
0,1,2,0.52606636,Accuracy Dining Table,Validation
0,1,2,0.38205913,Loss Dog,Training
0,1,2,2.7423165,Loss Dog,Validation
0,1,2,0.97095436,Accuracy Dog,Training
0,1,2,0.05733945,Accuracy Dog,Validation
0,1,2,0.38210967,Loss Horse,Training
0,1,2,1.9757425,Loss Horse,Validation
0,1,2,1.0,Accuracy Horse,Training
0,1,2,0.42987806,Accuracy Horse,Validation
0,1,2,0.44267863,Loss Motorcycle,Training
0,1,2,1.2572178,Loss Motorcycle,Validation
0,1,2,1.0,Accuracy Motorcycle,Training
0,1,2,0.9622642,Accuracy Motorcycle,Validation
0,1,2,0.2708027,Loss Person,Training
0,1,2,2.8784695,Loss Person,Validation
0,1,2,1.0,Accuracy Person,Training
0,1,2,0.07858546,Accuracy Person,Validation
0,1,2,0.24033041,Loss Potted Plant,Training
0,1,2,2.6526244,Loss Potted Plant,Validation
0,1,2,1.0,Accuracy Potted Plant,Training
0,1,2,0.19402985,Accuracy Potted Plant,Validation
0,1,2,0.50975746,Loss Sheep,Training
0,1,2,1.206168,Loss Sheep,Validation
0,1,2,1.0,Accuracy Sheep,Training
0,1,2,0.8449612,Accuracy Sheep,Validation
0,1,2,0.28527215,Loss Sofa,Training
0,1,2,1.5401087,Loss Sofa,Validation
0,1,2,1.0,Accuracy Sofa,Training
0,1,2,0.7311828,Accuracy Sofa,Validation
0,1,2,0.6132211,Loss Train,Training
0,1,2,1.8916837,Loss Train,Validation
0,1,2,1.0,Accuracy Train,Training
0,1,2,0.8309859,Accuracy Train,Validation
0,1,2,0.50566566,Loss Television,Training
0,1,2,1.5373574,Loss Television,Validation
0,1,2,1.0,Accuracy Television,Training
0,1,2,0.8586956,Accuracy Television,Validation
0,1,3,0.2290268,Loss,Training
0,1,3,1.7748334,Loss,Validation
0,1,3,0.99986345,Accuracy,Training
0,1,3,0.60565174,Accuracy,Validation
0,1,3,0.17560767,Loss Airplane,Training
0,1,3,1.7775939,Loss Airplane,Validation
0,1,3,1.0,Accuracy Airplane,Training
0,1,3,0.81889766,Accuracy Airplane,Validation
0,1,3,0.14147082,Loss Bicycle,Training
0,1,3,1.5471008,Loss Bicycle,Validation
0,1,3,1.0,Accuracy Bicycle,Training
0,1,3,0.75757575,Accuracy Bicycle,Validation
0,1,3,0.29108393,Loss Bird,Training
0,1,3,2.0486367,Loss Bird,Validation
0,1,3,1.0,Accuracy Bird,Training
0,1,3,0.36489606,Accuracy Bird,Validation
0,1,3,0.27661145,Loss Boat,Training
0,1,3,1.9444369,Loss Boat,Validation
0,1,3,0.9972678,Accuracy Boat,Training
0,1,3,0.6105611,Accuracy Boat,Validation
0,1,3,0.18161619,Loss Bottle,Training
0,1,3,1.6046008,Loss Bottle,Validation
0,1,3,1.0,Accuracy Bottle,Training
0,1,3,0.81182796,Accuracy Bottle,Validation
0,1,3,0.21363983,Loss Bus,Training
0,1,3,1.101333,Loss Bus,Validation
0,1,3,1.0,Accuracy Bus,Training
0,1,3,0.93862814,Accuracy Bus,Validation
0,1,3,0.33271685,Loss Car,Training
0,1,3,2.2096436,Loss Car,Validation
0,1,3,1.0,Accuracy Car,Training
0,1,3,0.34129694,Accuracy Car,Validation
0,1,3,0.1945456,Loss Cat,Training
0,1,3,1.3627174,Loss Cat,Validation
0,1,3,1.0,Accuracy Cat,Training
0,1,3,0.845815,Accuracy Cat,Validation
0,1,3,0.23553021,Loss Chair,Training
0,1,3,2.2982836,Loss Chair,Validation
0,1,3,1.0,Accuracy Chair,Training
0,1,3,0.2195122,Accuracy Chair,Validation
0,1,3,0.2644794,Loss Cow,Training
0,1,3,1.480279,Loss Cow,Validation
0,1,3,1.0,Accuracy Cow,Training
0,1,3,0.5247525,Accuracy Cow,Validation
0,1,3,0.09836546,Loss Dining Table,Training
0,1,3,1.6688093,Loss Dining Table,Validation
0,1,3,1.0,Accuracy Dining Table,Training
0,1,3,0.5744681,Accuracy Dining Table,Validation
0,1,3,0.29470494,Loss Dog,Training
0,1,3,2.579525,Loss Dog,Validation
0,1,3,1.0,Accuracy Dog,Training
0,1,3,0.12328767,Accuracy Dog,Validation
0,1,3,0.2173172,Loss Horse,Training
0,1,3,1.8059025,Loss Horse,Validation
0,1,3,1.0,Accuracy Horse,Training
0,1,3,0.4117647,Accuracy Horse,Validation
0,1,3,0.25907823,Loss Motorcycle,Training
0,1,3,1.134501,Loss Motorcycle,Validation
0,1,3,1.0,Accuracy Motorcycle,Training
0,1,3,0.96153843,Accuracy Motorcycle,Validation
0,1,3,0.1473792,Loss Person,Training
0,1,3,2.8079734,Loss Person,Validation
0,1,3,1.0,Accuracy Person,Training
0,1,3,0.08290686,Accuracy Person,Validation
0,1,3,0.13346194,Loss Potted Plant,Training
0,1,3,2.5136144,Loss Potted Plant,Validation
0,1,3,1.0,Accuracy Potted Plant,Training
0,1,3,0.4453125,Accuracy Potted Plant,Validation
0,1,3,0.29843354,Loss Sheep,Training
0,1,3,1.063607,Loss Sheep,Validation
0,1,3,1.0,Accuracy Sheep,Training
0,1,3,0.8638298,Accuracy Sheep,Validation
0,1,3,0.16521172,Loss Sofa,Training
0,1,3,1.4548038,Loss Sofa,Validation
0,1,3,1.0,Accuracy Sofa,Training
0,1,3,0.75,Accuracy Sofa,Validation
0,1,3,0.3498696,Loss Train,Training
0,1,3,1.6492763,Loss Train,Validation
0,1,3,1.0,Accuracy Train,Training
0,1,3,0.8651685,Accuracy Train,Validation
0,1,3,0.3094126,Loss Television,Training
0,1,3,1.444032,Loss Television,Validation
0,1,3,1.0,Accuracy Television,Training
0,1,3,0.80099505,Accuracy Television,Validation
0,1,4,0.15393157,Loss,Training
0,1,4,1.7134457,Loss,Validation
0,1,4,1.0,Accuracy,Training
0,1,4,0.6170136,Accuracy,Validation
0,1,4,0.11979219,Loss Airplane,Training
0,1,4,1.7556156,Loss Airplane,Validation
0,1,4,1.0,Accuracy Airplane,Training
0,1,4,0.81958765,Accuracy Airplane,Validation
0,1,4,0.1115643,Loss Bicycle,Training
0,1,4,1.5546037,Loss Bicycle,Validation
0,1,4,1.0,Accuracy Bicycle,Training
0,1,4,0.6535948,Accuracy Bicycle,Validation
0,1,4,0.1896122,Loss Bird,Training
0,1,4,2.0437455,Loss Bird,Validation
0,1,4,1.0,Accuracy Bird,Training
0,1,4,0.43333334,Accuracy Bird,Validation
0,1,4,0.2029838,Loss Boat,Training
0,1,4,1.640595,Loss Boat,Validation
0,1,4,1.0,Accuracy Boat,Training
0,1,4,0.7832168,Accuracy Boat,Validation
0,1,4,0.12512755,Loss Bottle,Training
0,1,4,1.4653059,Loss Bottle,Validation
0,1,4,1.0,Accuracy Bottle,Training
0,1,4,0.84415585,Accuracy Bottle,Validation
0,1,4,0.13555415,Loss Bus,Training
0,1,4,1.0699753,Loss Bus,Validation
0,1,4,1.0,Accuracy Bus,Training
0,1,4,0.9281046,Accuracy Bus,Validation
0,1,4,0.22497511,Loss Car,Training
0,1,4,2.1339993,Loss Car,Validation
0,1,4,1.0,Accuracy Car,Training
0,1,4,0.38297874,Accuracy Car,Validation
0,1,4,0.13324375,Loss Cat,Training
0,1,4,1.2648635,Loss Cat,Validation
0,1,4,1.0,Accuracy Cat,Training
0,1,4,0.87323946,Accuracy Cat,Validation
0,1,4,0.16270028,Loss Chair,Training
0,1,4,2.324211,Loss Chair,Validation
0,1,4,1.0,Accuracy Chair,Training
0,1,4,0.2137931,Accuracy Chair,Validation
0,1,4,0.17986694,Loss Cow,Training
0,1,4,1.4158541,Loss Cow,Validation
0,1,4,1.0,Accuracy Cow,Training
0,1,4,0.55987054,Accuracy Cow,Validation
0,1,4,0.069325656,Loss Dining Table,Training
0,1,4,1.684626,Loss Dining Table,Validation
0,1,4,1.0,Accuracy Dining Table,Training
0,1,4,0.56060606,Accuracy Dining Table,Validation
0,1,4,0.1985122,Loss Dog,Training
0,1,4,2.4163594,Loss Dog,Validation
0,1,4,1.0,Accuracy Dog,Training
0,1,4,0.21518987,Accuracy Dog,Validation
0,1,4,0.14649817,Loss Horse,Training
0,1,4,1.8546808,Loss Horse,Validation
0,1,4,1.0,Accuracy Horse,Training
0,1,4,0.4489796,Accuracy Horse,Validation
0,1,4,0.17344029,Loss Motorcycle,Training
0,1,4,0.9958953,Loss Motorcycle,Validation
0,1,4,1.0,Accuracy Motorcycle,Training
0,1,4,1.0,Accuracy Motorcycle,Validation
0,1,4,0.10396955,Loss Person,Training
0,1,4,2.7962096,Loss Person,Validation
0,1,4,1.0,Accuracy Person,Training
0,1,4,0.095189355,Accuracy Person,Validation
0,1,4,0.07977343,Loss Potted Plant,Training
0,1,4,2.6463437,Loss Potted Plant,Validation
0,1,4,1.0,Accuracy Potted Plant,Training
0,1,4,0.24637681,Accuracy Potted Plant,Validation
0,1,4,0.18961458,Loss Sheep,Training
0,1,4,0.9717635,Loss Sheep,Validation
0,1,4,1.0,Accuracy Sheep,Training
0,1,4,0.85294116,Accuracy Sheep,Validation
0,1,4,0.10620535,Loss Sofa,Training
0,1,4,1.4384418,Loss Sofa,Validation
0,1,4,1.0,Accuracy Sofa,Training
0,1,4,0.7218543,Accuracy Sofa,Validation
0,1,4,0.23257795,Loss Train,Training
0,1,4,1.5060644,Loss Train,Validation
0,1,4,1.0,Accuracy Train,Training
0,1,4,0.8691099,Accuracy Train,Validation
0,1,4,0.1932938,Loss Television,Training
0,1,4,1.2897557,Loss Television,Validation
0,1,4,1.0,Accuracy Television,Training
0,1,4,0.83815026,Accuracy Television,Validation
0,1,5,0.1079299,Loss,Training
0,1,5,1.6201468,Loss,Validation
0,1,5,1.0,Accuracy,Training
0,1,5,0.6290922,Accuracy,Validation
0,1,5,0.085085176,Loss Airplane,Training
