seed,examples_per_class,epoch,value,metric,split
0,1,0,1.9668362,Loss,Training
0,1,0,2.3971944,Loss,Validation
0,1,0,0.84019196,Accuracy,Training
0,1,0,0.50810635,Accuracy,Validation
0,1,0,1.915086,Loss Airplane,Training
0,1,0,2.3284721,Loss Airplane,Validation
0,1,0,0.89428574,Accuracy Airplane,Training
0,1,0,0.8719346,Accuracy Airplane,Validation
0,1,0,1.5211717,Loss Bicycle,Training
0,1,0,2.098796,Loss Bicycle,Validation
0,1,0,0.92897725,Accuracy Bicycle,Training
0,1,0,0.74712646,Accuracy Bicycle,Validation
0,1,0,2.2300823,Loss Bird,Training
0,1,0,2.606448,Loss Bird,Validation
0,1,0,0.8611987,Accuracy Bird,Training
0,1,0,0.4103139,Accuracy Bird,Validation
0,1,0,1.8058736,Loss Boat,Training
0,1,0,2.5368016,Loss Boat,Validation
0,1,0,0.87658226,Accuracy Boat,Training
0,1,0,0.28178695,Accuracy Boat,Validation
0,1,0,1.9988443,Loss Bottle,Training
0,1,0,2.3044248,Loss Bottle,Validation
0,1,0,0.83522725,Accuracy Bottle,Training
0,1,0,0.7044025,Accuracy Bottle,Validation
0,1,0,2.123028,Loss Bus,Training
0,1,0,2.1709707,Loss Bus,Validation
0,1,0,0.79016393,Accuracy Bus,Training
0,1,0,0.8201439,Accuracy Bus,Validation
0,1,0,1.946991,Loss Car,Training
0,1,0,2.4537601,Loss Car,Validation
0,1,0,0.91477275,Accuracy Car,Training
0,1,0,0.40963855,Accuracy Car,Validation
0,1,0,1.8802679,Loss Cat,Training
0,1,0,2.036081,Loss Cat,Validation
0,1,0,0.84240687,Accuracy Cat,Training
0,1,0,0.8591224,Accuracy Cat,Validation
0,1,0,1.9468232,Loss Chair,Training
0,1,0,2.7352629,Loss Chair,Validation
0,1,0,0.73867595,Accuracy Chair,Training
0,1,0,0.0,Accuracy Chair,Validation
0,1,0,2.060179,Loss Cow,Training
0,1,0,2.1743014,Loss Cow,Validation
0,1,0,0.9133127,Accuracy Cow,Training
0,1,0,0.7170418,Accuracy Cow,Validation
0,1,0,1.6097336,Loss Dining Table,Training
0,1,0,2.1620772,Loss Dining Table,Validation
0,1,0,0.8831522,Accuracy Dining Table,Training
0,1,0,0.5566502,Accuracy Dining Table,Validation
0,1,0,1.8785752,Loss Dog,Training
0,1,0,2.5685081,Loss Dog,Validation
0,1,0,0.8955224,Accuracy Dog,Training
0,1,0,0.29438204,Accuracy Dog,Validation
0,1,0,2.1612625,Loss Horse,Training
0,1,0,2.547056,Loss Horse,Validation
0,1,0,0.78333336,Accuracy Horse,Training
0,1,0,0.13953489,Accuracy Horse,Validation
0,1,0,2.2957938,Loss Motorcycle,Training
0,1,0,2.3376765,Loss Motorcycle,Validation
0,1,0,0.5251572,Accuracy Motorcycle,Training
0,1,0,0.43309858,Accuracy Motorcycle,Validation
0,1,0,1.9725441,Loss Person,Training
0,1,0,3.433623,Loss Person,Validation
0,1,0,0.7919075,Accuracy Person,Training
0,1,0,0.0050607286,Accuracy Person,Validation
0,1,0,1.6669978,Loss Potted Plant,Training
0,1,0,2.5923862,Loss Potted Plant,Validation
0,1,0,0.9442815,Accuracy Potted Plant,Training
0,1,0,0.33088234,Accuracy Potted Plant,Validation
0,1,0,2.2431693,Loss Sheep,Training
0,1,0,2.3527708,Loss Sheep,Validation
0,1,0,0.8584475,Accuracy Sheep,Training
0,1,0,0.32921812,Accuracy Sheep,Validation
0,1,0,1.8057463,Loss Sofa,Training
0,1,0,2.0229993,Loss Sofa,Validation
0,1,0,0.8939394,Accuracy Sofa,Training
0,1,0,0.71428573,Accuracy Sofa,Validation
0,1,0,2.1152997,Loss Train,Training
0,1,0,2.252315,Loss Train,Validation
0,1,0,0.8148148,Accuracy Train,Training
0,1,0,0.9131653,Accuracy Train,Validation
0,1,0,2.1592577,Loss Television,Training
0,1,0,2.2291553,Loss Television,Validation
0,1,0,0.8176796,Accuracy Television,Training
0,1,0,0.6243386,Accuracy Television,Validation
0,1,1,0.785443,Loss,Training
0,1,1,2.1026602,Loss,Validation
0,1,1,0.9965266,Accuracy,Training
0,1,1,0.58408153,Accuracy,Validation
0,1,1,0.7237723,Loss Airplane,Training
0,1,1,2.0426826,Loss Airplane,Validation
0,1,1,1.0,Accuracy Airplane,Training
0,1,1,0.8713137,Accuracy Airplane,Validation
0,1,1,0.49144432,Loss Bicycle,Training
0,1,1,2.0162828,Loss Bicycle,Validation
0,1,1,1.0,Accuracy Bicycle,Training
0,1,1,0.58536583,Accuracy Bicycle,Validation
0,1,1,1.039639,Loss Bird,Training
0,1,1,2.209156,Loss Bird,Validation
0,1,1,1.0,Accuracy Bird,Training
0,1,1,0.6378897,Accuracy Bird,Validation
0,1,1,0.6629567,Loss Boat,Training
0,1,1,2.1432047,Loss Boat,Validation
0,1,1,0.95822453,Accuracy Boat,Training
0,1,1,0.5732484,Accuracy Boat,Validation
0,1,1,0.8045595,Loss Bottle,Training
0,1,1,1.9451935,Loss Bottle,Validation
0,1,1,1.0,Accuracy Bottle,Training
0,1,1,0.82802546,Accuracy Bottle,Validation
0,1,1,0.8403447,Loss Bus,Training
0,1,1,1.7031865,Loss Bus,Validation
0,1,1,1.0,Accuracy Bus,Training
0,1,1,0.85314685,Accuracy Bus,Validation
0,1,1,0.82456553,Loss Car,Training
0,1,1,2.2013013,Loss Car,Validation
0,1,1,1.0,Accuracy Car,Training
0,1,1,0.44701988,Accuracy Car,Validation
0,1,1,0.73100513,Loss Cat,Training
0,1,1,1.7015197,Loss Cat,Validation
0,1,1,1.0,Accuracy Cat,Training
0,1,1,0.8382353,Accuracy Cat,Validation
0,1,1,0.7849804,Loss Chair,Training
0,1,1,2.5628693,Loss Chair,Validation
0,1,1,0.9723077,Accuracy Chair,Training
0,1,1,0.06535948,Accuracy Chair,Validation
0,1,1,0.9174413,Loss Cow,Training
0,1,1,1.7066666,Loss Cow,Validation
0,1,1,1.0,Accuracy Cow,Training
0,1,1,0.8327645,Accuracy Cow,Validation
0,1,1,0.47868475,Loss Dining Table,Training
0,1,1,1.8741045,Loss Dining Table,Validation
0,1,1,1.0,Accuracy Dining Table,Training
0,1,1,0.58373207,Accuracy Dining Table,Validation
0,1,1,0.75606686,Loss Dog,Training
0,1,1,2.3665066,Loss Dog,Validation
0,1,1,1.0,Accuracy Dog,Training
0,1,1,0.3778802,Accuracy Dog,Validation
0,1,1,0.89167094,Loss Horse,Training
0,1,1,2.1644785,Loss Horse,Validation
0,1,1,1.0,Accuracy Horse,Training
0,1,1,0.3880597,Accuracy Horse,Validation
0,1,1,1.049911,Loss Motorcycle,Training
0,1,1,1.6933137,Loss Motorcycle,Validation
0,1,1,1.0,Accuracy Motorcycle,Training
0,1,1,0.8263889,Accuracy Motorcycle,Validation
0,1,1,0.63688517,Loss Person,Training
0,1,1,3.6262202,Loss Person,Validation
0,1,1,1.0,Accuracy Person,Training
0,1,1,0.006024096,Accuracy Person,Validation
0,1,1,0.56694025,Loss Potted Plant,Training
0,1,1,2.7124968,Loss Potted Plant,Validation
0,1,1,1.0,Accuracy Potted Plant,Training
0,1,1,0.22058824,Accuracy Potted Plant,Validation
0,1,1,1.1002748,Loss Sheep,Training
0,1,1,2.0148656,Loss Sheep,Validation
0,1,1,1.0,Accuracy Sheep,Training
0,1,1,0.36434108,Accuracy Sheep,Validation
0,1,1,0.59169376,Loss Sofa,Training
0,1,1,1.7040732,Loss Sofa,Validation
0,1,1,1.0,Accuracy Sofa,Training
0,1,1,0.72727275,Accuracy Sofa,Validation
0,1,1,0.7880827,Loss Train,Training
0,1,1,1.8099889,Loss Train,Validation
0,1,1,1.0,Accuracy Train,Training
0,1,1,0.9246377,Accuracy Train,Validation
0,1,1,1.02794,Loss Television,Training
0,1,1,1.8550923,Loss Television,Validation
0,1,1,1.0,Accuracy Television,Training
0,1,1,0.7303371,Accuracy Television,Validation
0,1,2,0.38155153,Loss,Training
0,1,2,1.942837,Loss,Validation
0,1,2,0.99881303,Accuracy,Training
0,1,2,0.59034646,Accuracy,Validation
0,1,2,0.33703223,Loss Airplane,Training
0,1,2,1.9139982,Loss Airplane,Validation
0,1,2,1.0,Accuracy Airplane,Training
0,1,2,0.86543536,Accuracy Airplane,Validation
0,1,2,0.2795578,Loss Bicycle,Training
0,1,2,1.7985379,Loss Bicycle,Validation
0,1,2,1.0,Accuracy Bicycle,Training
0,1,2,0.62222224,Accuracy Bicycle,Validation
0,1,2,0.48921907,Loss Bird,Training
0,1,2,1.9986595,Loss Bird,Validation
0,1,2,1.0,Accuracy Bird,Training
0,1,2,0.67772514,Accuracy Bird,Validation
0,1,2,0.36366558,Loss Boat,Training
0,1,2,2.0276828,Loss Boat,Validation
0,1,2,0.97626114,Accuracy Boat,Training
0,1,2,0.56634307,Accuracy Boat,Validation
0,1,2,0.35007635,Loss Bottle,Training
0,1,2,1.6696397,Loss Bottle,Validation
0,1,2,1.0,Accuracy Bottle,Training
0,1,2,0.835443,Accuracy Bottle,Validation
0,1,2,0.37346262,Loss Bus,Training
0,1,2,1.3869175,Loss Bus,Validation
0,1,2,1.0,Accuracy Bus,Training
0,1,2,0.8642857,Accuracy Bus,Validation
0,1,2,0.45795298,Loss Car,Training
0,1,2,2.1923783,Loss Car,Validation
0,1,2,1.0,Accuracy Car,Training
0,1,2,0.37142858,Accuracy Car,Validation
0,1,2,0.35546604,Loss Cat,Training
0,1,2,1.4437919,Loss Cat,Validation
0,1,2,1.0,Accuracy Cat,Training
0,1,2,0.8587963,Accuracy Cat,Validation
0,1,2,0.4470875,Loss Chair,Training
0,1,2,2.4561605,Loss Chair,Validation
0,1,2,1.0,Accuracy Chair,Training
0,1,2,0.052287582,Accuracy Chair,Validation
