seed,examples_per_class,epoch,value,metric,split
0,1,0,1.975065,Loss,Training
0,1,0,2.371758,Loss,Validation
0,1,0,0.856551,Accuracy,Training
0,1,0,0.5202816,Accuracy,Validation
0,1,0,1.9838244,Loss Airplane,Training
0,1,0,2.3913863,Loss Airplane,Validation
0,1,0,0.90332323,Accuracy Airplane,Training
0,1,0,0.80108994,Accuracy Airplane,Validation
0,1,0,1.5795798,Loss Bicycle,Training
0,1,0,2.0916336,Loss Bicycle,Validation
0,1,0,0.9318182,Accuracy Bicycle,Training
0,1,0,0.7988506,Accuracy Bicycle,Validation
0,1,0,2.2274392,Loss Bird,Training
0,1,0,2.6228664,Loss Bird,Validation
0,1,0,0.8625,Accuracy Bird,Training
0,1,0,0.33183858,Accuracy Bird,Validation
0,1,0,1.7777678,Loss Boat,Training
0,1,0,2.576215,Loss Boat,Validation
0,1,0,0.8885246,Accuracy Boat,Training
0,1,0,0.31958762,Accuracy Boat,Validation
0,1,0,2.0231106,Loss Bottle,Training
0,1,0,2.3878446,Loss Bottle,Validation
0,1,0,0.825,Accuracy Bottle,Training
0,1,0,0.7295597,Accuracy Bottle,Validation
0,1,0,2.1579635,Loss Bus,Training
0,1,0,2.1789122,Loss Bus,Validation
0,1,0,0.8768769,Accuracy Bus,Training
0,1,0,0.8776978,Accuracy Bus,Validation
0,1,0,2.0866652,Loss Car,Training
0,1,0,2.529372,Loss Car,Validation
0,1,0,0.9047619,Accuracy Car,Training
0,1,0,0.4246988,Accuracy Car,Validation
0,1,0,1.8944845,Loss Cat,Training
0,1,0,2.0841138,Loss Cat,Validation
0,1,0,0.85365856,Accuracy Cat,Training
0,1,0,0.8314088,Accuracy Cat,Validation
0,1,0,1.9238075,Loss Chair,Training
0,1,0,2.6129608,Loss Chair,Validation
0,1,0,0.7737705,Accuracy Chair,Training
0,1,0,0.032258064,Accuracy Chair,Validation
0,1,0,2.0118995,Loss Cow,Training
0,1,0,2.2033708,Loss Cow,Validation
0,1,0,0.9375,Accuracy Cow,Training
0,1,0,0.51446944,Accuracy Cow,Validation
0,1,0,1.6243976,Loss Dining Table,Training
0,1,0,2.2232904,Loss Dining Table,Validation
0,1,0,0.9,Accuracy Dining Table,Training
0,1,0,0.47783253,Accuracy Dining Table,Validation
0,1,0,1.8895766,Loss Dog,Training
0,1,0,2.5674086,Loss Dog,Validation
0,1,0,0.83548385,Accuracy Dog,Training
0,1,0,0.22247191,Accuracy Dog,Validation
0,1,0,2.077176,Loss Horse,Training
0,1,0,2.3978698,Loss Horse,Validation
0,1,0,0.85835695,Accuracy Horse,Training
0,1,0,0.45182723,Accuracy Horse,Validation
0,1,0,2.2454205,Loss Motorcycle,Training
0,1,0,2.3409042,Loss Motorcycle,Validation
0,1,0,0.67752445,Accuracy Motorcycle,Training
0,1,0,0.46126762,Accuracy Motorcycle,Validation
0,1,0,1.8164176,Loss Person,Training
0,1,0,2.774132,Loss Person,Validation
0,1,0,0.90066224,Accuracy Person,Training
0,1,0,0.085020244,Accuracy Person,Validation
0,1,0,1.6961435,Loss Potted Plant,Training
0,1,0,2.684701,Loss Potted Plant,Validation
0,1,0,0.9364162,Accuracy Potted Plant,Training
0,1,0,0.2720588,Accuracy Potted Plant,Validation
0,1,0,2.1533415,Loss Sheep,Training
0,1,0,1.9686372,Loss Sheep,Validation
0,1,0,0.8831169,Accuracy Sheep,Training
0,1,0,0.7654321,Accuracy Sheep,Validation
0,1,0,1.7788671,Loss Sofa,Training
0,1,0,2.008064,Loss Sofa,Validation
0,1,0,0.8410405,Accuracy Sofa,Training
0,1,0,0.6883117,Accuracy Sofa,Validation
0,1,0,2.223793,Loss Train,Training
0,1,0,2.3428578,Loss Train,Validation
0,1,0,0.7459807,Accuracy Train,Training
0,1,0,0.9019608,Accuracy Train,Validation
0,1,0,2.3296232,Loss Television,Training
0,1,0,2.4486227,Loss Television,Validation
0,1,0,0.794702,Accuracy Television,Training
0,1,0,0.41798943,Accuracy Television,Validation
