seed,examples_per_class,epoch,value,metric,split
0,1,0,1.9708109,Loss,Training
0,1,0,2.3698125,Loss,Validation
0,1,0,0.8590123,Accuracy,Training
0,1,0,0.52984905,Accuracy,Validation
0,1,0,1.9946805,Loss Airplane,Training
0,1,0,2.387842,Loss Airplane,Validation
0,1,0,0.8731118,Accuracy Airplane,Training
0,1,0,0.83378744,Accuracy Airplane,Validation
0,1,0,1.5459113,Loss Bicycle,Training
0,1,0,2.0777724,Loss Bicycle,Validation
0,1,0,0.9386503,Accuracy Bicycle,Training
0,1,0,0.79310346,Accuracy Bicycle,Validation
0,1,0,2.2009428,Loss Bird,Training
0,1,0,2.5757852,Loss Bird,Validation
0,1,0,0.8818182,Accuracy Bird,Training
0,1,0,0.47982064,Accuracy Bird,Validation
0,1,0,1.800524,Loss Boat,Training
0,1,0,2.5255554,Loss Boat,Validation
0,1,0,0.875,Accuracy Boat,Training
0,1,0,0.30584192,Accuracy Boat,Validation
0,1,0,2.0230124,Loss Bottle,Training
0,1,0,2.3434374,Loss Bottle,Validation
0,1,0,0.8333333,Accuracy Bottle,Training
0,1,0,0.7672956,Accuracy Bottle,Validation
0,1,0,2.141253,Loss Bus,Training
0,1,0,2.212492,Loss Bus,Validation
0,1,0,0.85953176,Accuracy Bus,Training
0,1,0,0.8201439,Accuracy Bus,Validation
0,1,0,1.9948391,Loss Car,Training
0,1,0,2.4795396,Loss Car,Validation
0,1,0,0.9230769,Accuracy Car,Training
0,1,0,0.46084338,Accuracy Car,Validation
0,1,0,1.886126,Loss Cat,Training
0,1,0,2.0268476,Loss Cat,Validation
0,1,0,0.84319526,Accuracy Cat,Training
0,1,0,0.8591224,Accuracy Cat,Validation
0,1,0,1.85978,Loss Chair,Training
0,1,0,2.6748662,Loss Chair,Validation
0,1,0,0.7987421,Accuracy Chair,Training
0,1,0,0.0,Accuracy Chair,Validation
0,1,0,2.0404859,Loss Cow,Training
0,1,0,2.2014039,Loss Cow,Validation
0,1,0,0.91883117,Accuracy Cow,Training
0,1,0,0.7202572,Accuracy Cow,Validation
0,1,0,1.6718829,Loss Dining Table,Training
0,1,0,2.1567793,Loss Dining Table,Validation
0,1,0,0.9002849,Accuracy Dining Table,Training
0,1,0,0.58128077,Accuracy Dining Table,Validation
0,1,0,1.9110056,Loss Dog,Training
0,1,0,2.5202563,Loss Dog,Validation
0,1,0,0.8769231,Accuracy Dog,Training
0,1,0,0.31685394,Accuracy Dog,Validation
0,1,0,2.1376786,Loss Horse,Training
0,1,0,2.5125148,Loss Horse,Validation
0,1,0,0.816129,Accuracy Horse,Training
0,1,0,0.27242523,Accuracy Horse,Validation
0,1,0,2.2277272,Loss Motorcycle,Training
0,1,0,2.2892332,Loss Motorcycle,Validation
0,1,0,0.68944097,Accuracy Motorcycle,Training
0,1,0,0.5633803,Accuracy Motorcycle,Validation
0,1,0,1.8641834,Loss Person,Training
0,1,0,2.8290348,Loss Person,Validation
0,1,0,0.86764705,Accuracy Person,Training
0,1,0,0.053643726,Accuracy Person,Validation
0,1,0,1.671072,Loss Potted Plant,Training
0,1,0,2.628001,Loss Potted Plant,Validation
0,1,0,0.9313187,Accuracy Potted Plant,Training
0,1,0,0.33088234,Accuracy Potted Plant,Validation
0,1,0,2.2245758,Loss Sheep,Training
0,1,0,2.3110068,Loss Sheep,Validation
0,1,0,0.9138756,Accuracy Sheep,Training
0,1,0,0.4074074,Accuracy Sheep,Validation
0,1,0,1.7295768,Loss Sofa,Training
0,1,0,1.971609,Loss Sofa,Validation
0,1,0,0.8483146,Accuracy Sofa,Training
0,1,0,0.6785714,Accuracy Sofa,Validation
0,1,0,2.1897762,Loss Train,Training
0,1,0,2.261998,Loss Train,Validation
0,1,0,0.7708333,Accuracy Train,Training
0,1,0,0.9131653,Accuracy Train,Validation
0,1,0,2.3011816,Loss Television,Training
0,1,0,2.410273,Loss Television,Validation
0,1,0,0.8201893,Accuracy Television,Training
0,1,0,0.43915343,Accuracy Television,Validation
0,1,1,0.79703486,Loss,Training
0,1,1,2.0616415,Loss,Validation
0,1,1,0.9956034,Accuracy,Training
0,1,1,0.58629847,Accuracy,Validation
0,1,1,0.8068625,Loss Airplane,Training
0,1,1,2.0642855,Loss Airplane,Validation
0,1,1,1.0,Accuracy Airplane,Training
0,1,1,0.84182304,Accuracy Airplane,Validation
0,1,1,0.48766652,Loss Bicycle,Training
0,1,1,1.99797,Loss Bicycle,Validation
0,1,1,1.0,Accuracy Bicycle,Training
0,1,1,0.64634144,Accuracy Bicycle,Validation
0,1,1,1.0815772,Loss Bird,Training
0,1,1,2.2525856,Loss Bird,Validation
0,1,1,1.0,Accuracy Bird,Training
0,1,1,0.56594723,Accuracy Bird,Validation
0,1,1,0.7522487,Loss Boat,Training
0,1,1,2.1789746,Loss Boat,Validation
0,1,1,0.9429429,Accuracy Boat,Training
0,1,1,0.5732484,Accuracy Boat,Validation
0,1,1,0.83385885,Loss Bottle,Training
0,1,1,1.9713464,Loss Bottle,Validation
0,1,1,1.0,Accuracy Bottle,Training
0,1,1,0.82802546,Accuracy Bottle,Validation
0,1,1,0.860916,Loss Bus,Training
0,1,1,1.6952106,Loss Bus,Validation
0,1,1,1.0,Accuracy Bus,Training
0,1,1,0.85314685,Accuracy Bus,Validation
0,1,1,0.87281317,Loss Car,Training
0,1,1,2.2283125,Loss Car,Validation
0,1,1,1.0,Accuracy Car,Training
0,1,1,0.44701988,Accuracy Car,Validation
0,1,1,0.71914333,Loss Cat,Training
0,1,1,1.6735084,Loss Cat,Validation
0,1,1,1.0,Accuracy Cat,Training
0,1,1,0.85714287,Accuracy Cat,Validation
0,1,1,0.77435464,Loss Chair,Training
0,1,1,2.4962494,Loss Chair,Validation
