seed,examples_per_class,epoch,value,metric,split
0,1,0,1.9263235,Loss,Training
0,1,0,2.3974175,Loss,Validation
0,1,0,0.79851437,Accuracy,Training
0,1,0,0.44321817,Accuracy,Validation
0,1,0,1.9102762,Loss Airplane,Training
0,1,0,2.297379,Loss Airplane,Validation
0,1,0,0.8348348,Accuracy Airplane,Training
0,1,0,0.8692098,Accuracy Airplane,Validation
0,1,0,1.4502827,Loss Bicycle,Training
0,1,0,1.9105225,Loss Bicycle,Validation
0,1,0,0.90024936,Accuracy Bicycle,Training
0,1,0,0.7873563,Accuracy Bicycle,Validation
0,1,0,2.1800017,Loss Bird,Training
0,1,0,2.6395178,Loss Bird,Validation
0,1,0,0.8201439,Accuracy Bird,Training
0,1,0,0.33408073,Accuracy Bird,Validation
0,1,0,1.4934644,Loss Boat,Training
0,1,0,2.4906197,Loss Boat,Validation
0,1,0,0.96385545,Accuracy Boat,Training
0,1,0,0.29896906,Accuracy Boat,Validation
0,1,0,1.9301876,Loss Bottle,Training
0,1,0,2.3739116,Loss Bottle,Validation
0,1,0,0.71147543,Accuracy Bottle,Training
0,1,0,0.34591195,Accuracy Bottle,Validation
0,1,0,2.0369709,Loss Bus,Training
0,1,0,2.1534855,Loss Bus,Validation
0,1,0,0.884273,Accuracy Bus,Training
0,1,0,0.87410074,Accuracy Bus,Validation
0,1,0,2.070981,Loss Car,Training
0,1,0,2.3776867,Loss Car,Validation
0,1,0,0.9,Accuracy Car,Training
0,1,0,0.43373495,Accuracy Car,Validation
0,1,0,2.0160382,Loss Cat,Training
0,1,0,2.4870749,Loss Cat,Validation
0,1,0,0.7617021,Accuracy Cat,Training
0,1,0,0.23325635,Accuracy Cat,Validation
0,1,0,1.8646864,Loss Chair,Training
0,1,0,2.554078,Loss Chair,Validation
0,1,0,0.5671642,Accuracy Chair,Training
0,1,0,0.032258064,Accuracy Chair,Validation
0,1,0,2.0443456,Loss Cow,Training
0,1,0,2.5010738,Loss Cow,Validation
0,1,0,0.921659,Accuracy Cow,Training
0,1,0,0.22186495,Accuracy Cow,Validation
0,1,0,1.9638017,Loss Dining Table,Training
0,1,0,2.4372125,Loss Dining Table,Validation
0,1,0,0.5972222,Accuracy Dining Table,Training
0,1,0,0.16256158,Accuracy Dining Table,Validation
0,1,0,1.9186044,Loss Dog,Training
0,1,0,2.4643319,Loss Dog,Validation
0,1,0,0.8712575,Accuracy Dog,Training
0,1,0,0.3730337,Accuracy Dog,Validation
0,1,0,2.1812396,Loss Horse,Training
0,1,0,2.9692335,Loss Horse,Validation
0,1,0,0.7874396,Accuracy Horse,Training
0,1,0,0.07973422,Accuracy Horse,Validation
0,1,0,1.9477133,Loss Motorcycle,Training
0,1,0,1.9409782,Loss Motorcycle,Validation
0,1,0,0.7546729,Accuracy Motorcycle,Training
0,1,0,0.84859157,Accuracy Motorcycle,Validation
0,1,0,1.8144096,Loss Person,Training
0,1,0,3.1584485,Loss Person,Validation
0,1,0,0.82608694,Accuracy Person,Training
0,1,0,0.02631579,Accuracy Person,Validation
0,1,0,1.5118405,Loss Potted Plant,Training
0,1,0,2.4078236,Loss Potted Plant,Validation
0,1,0,0.92511016,Accuracy Potted Plant,Training
0,1,0,0.42647058,Accuracy Potted Plant,Validation
0,1,0,1.9553924,Loss Sheep,Training
0,1,0,1.964661,Loss Sheep,Validation
