seed,examples_per_class,epoch,value,metric,split
0,1,0,1.9873698,Loss,Training
0,1,0,2.3708813,Loss,Validation
0,1,0,0.8525017,Accuracy,Training
0,1,0,0.53112686,Accuracy,Validation
0,1,0,1.9824455,Loss Airplane,Training
0,1,0,2.395057,Loss Airplane,Validation
0,1,0,0.8871951,Accuracy Airplane,Training
0,1,0,0.76566756,Accuracy Airplane,Validation
0,1,0,1.5868913,Loss Bicycle,Training
0,1,0,2.1180587,Loss Bicycle,Validation
0,1,0,0.92651755,Accuracy Bicycle,Training
0,1,0,0.7988506,Accuracy Bicycle,Validation
0,1,0,2.2722707,Loss Bird,Training
0,1,0,2.6231518,Loss Bird,Validation
0,1,0,0.86520374,Accuracy Bird,Training
0,1,0,0.26681614,Accuracy Bird,Validation
0,1,0,1.8298156,Loss Boat,Training
0,1,0,2.6452672,Loss Boat,Validation
0,1,0,0.88013697,Accuracy Boat,Training
0,1,0,0.21305841,Accuracy Boat,Validation
0,1,0,1.9726912,Loss Bottle,Training
0,1,0,2.305893,Loss Bottle,Validation
0,1,0,0.87315637,Accuracy Bottle,Training
0,1,0,0.8553459,Accuracy Bottle,Validation
0,1,0,2.176854,Loss Bus,Training
0,1,0,2.1471353,Loss Bus,Validation
0,1,0,0.8348624,Accuracy Bus,Training
0,1,0,0.9388489,Accuracy Bus,Validation
0,1,0,2.0653713,Loss Car,Training
0,1,0,2.518546,Loss Car,Validation
0,1,0,0.9249249,Accuracy Car,Training
0,1,0,0.3945783,Accuracy Car,Validation
0,1,0,1.9922073,Loss Cat,Training
0,1,0,2.1416833,Loss Cat,Validation
0,1,0,0.83006537,Accuracy Cat,Training
0,1,0,0.8290993,Accuracy Cat,Validation
0,1,0,1.8540772,Loss Chair,Training
0,1,0,2.6641932,Loss Chair,Validation
0,1,0,0.8184713,Accuracy Chair,Training
0,1,0,0.058064517,Accuracy Chair,Validation
0,1,0,1.9910933,Loss Cow,Training
0,1,0,2.1522653,Loss Cow,Validation
0,1,0,0.9122807,Accuracy Cow,Training
0,1,0,0.562701,Accuracy Cow,Validation
0,1,0,1.7241093,Loss Dining Table,Training
0,1,0,2.1744134,Loss Dining Table,Validation
0,1,0,0.894081,Accuracy Dining Table,Training
0,1,0,0.58128077,Accuracy Dining Table,Validation
0,1,0,1.9013823,Loss Dog,Training
0,1,0,2.5397215,Loss Dog,Validation
0,1,0,0.79623824,Accuracy Dog,Training
0,1,0,0.27865168,Accuracy Dog,Validation
0,1,0,2.0925772,Loss Horse,Training
0,1,0,2.4860272,Loss Horse,Validation
0,1,0,0.8348624,Accuracy Horse,Training
0,1,0,0.26578072,Accuracy Horse,Validation
0,1,0,2.2087085,Loss Motorcycle,Training
0,1,0,2.2781603,Loss Motorcycle,Validation
0,1,0,0.71005917,Accuracy Motorcycle,Training
0,1,0,0.6866197,Accuracy Motorcycle,Validation
0,1,0,1.8845726,Loss Person,Training
0,1,0,2.7549198,Loss Person,Validation
0,1,0,0.8476821,Accuracy Person,Training
0,1,0,0.09311741,Accuracy Person,Validation
0,1,0,1.6293013,Loss Potted Plant,Training
0,1,0,2.6269171,Loss Potted Plant,Validation
0,1,0,0.9347181,Accuracy Potted Plant,Training
0,1,0,0.31617647,Accuracy Potted Plant,Validation
0,1,0,2.0971029,Loss Sheep,Training
0,1,0,1.9125463,Loss Sheep,Validation
0,1,0,0.8753894,Accuracy Sheep,Training
0,1,0,0.8312757,Accuracy Sheep,Validation
0,1,0,1.8145486,Loss Sofa,Training
0,1,0,2.0951846,Loss Sofa,Validation
0,1,0,0.84782606,Accuracy Sofa,Training
0,1,0,0.65909094,Accuracy Sofa,Validation
0,1,0,2.320703,Loss Train,Training
0,1,0,2.3995233,Loss Train,Validation
0,1,0,0.7324415,Accuracy Train,Training
0,1,0,0.7619048,Accuracy Train,Validation
0,1,0,2.3506753,Loss Television,Training
0,1,0,2.438957,Loss Television,Validation
0,1,0,0.82392025,Accuracy Television,Training
0,1,0,0.46560848,Accuracy Television,Validation
0,1,1,0.82512367,Loss,Training
0,1,1,2.071805,Loss,Validation
0,1,1,0.9957453,Accuracy,Training
0,1,1,0.5692343,Accuracy,Validation
0,1,1,0.79723215,Loss Airplane,Training
0,1,1,2.1183286,Loss Airplane,Validation
0,1,1,1.0,Accuracy Airplane,Training
0,1,1,0.81233245,Accuracy Airplane,Validation
0,1,1,0.52359754,Loss Bicycle,Training
0,1,1,2.0042212,Loss Bicycle,Validation
0,1,1,1.0,Accuracy Bicycle,Training
0,1,1,0.58536583,Accuracy Bicycle,Validation
0,1,1,1.1875007,Loss Bird,Training
0,1,1,2.3341572,Loss Bird,Validation
0,1,1,0.99369085,Accuracy Bird,Training
0,1,1,0.39328536,Accuracy Bird,Validation
0,1,1,0.8055276,Loss Boat,Training
0,1,1,2.2713165,Loss Boat,Validation
0,1,1,0.9398734,Accuracy Boat,Training
0,1,1,0.43949044,Accuracy Boat,Validation
0,1,1,0.8321804,Loss Bottle,Training
0,1,1,2.0250585,Loss Bottle,Validation
0,1,1,1.0,Accuracy Bottle,Training
0,1,1,0.82802546,Accuracy Bottle,Validation
0,1,1,0.9773765,Loss Bus,Training
0,1,1,1.5641963,Loss Bus,Validation
0,1,1,1.0,Accuracy Bus,Training
0,1,1,0.9230769,Accuracy Bus,Validation
0,1,1,0.8834466,Loss Car,Training
0,1,1,2.3421001,Loss Car,Validation
0,1,1,1.0,Accuracy Car,Training
0,1,1,0.28145695,Accuracy Car,Validation
0,1,1,0.7684933,Loss Cat,Training
0,1,1,1.7637308,Loss Cat,Validation
0,1,1,1.0,Accuracy Cat,Training
0,1,1,0.8088235,Accuracy Cat,Validation
0,1,1,0.7618166,Loss Chair,Training
0,1,1,2.5703008,Loss Chair,Validation
0,1,1,0.99059564,Accuracy Chair,Training
0,1,1,0.039215688,Accuracy Chair,Validation
0,1,1,0.94617146,Loss Cow,Training
0,1,1,1.7406697,Loss Cow,Validation
0,1,1,1.0,Accuracy Cow,Training
0,1,1,0.59385663,Accuracy Cow,Validation
0,1,1,0.47740704,Loss Dining Table,Training
0,1,1,1.8943428,Loss Dining Table,Validation
0,1,1,1.0,Accuracy Dining Table,Training
0,1,1,0.5502392,Accuracy Dining Table,Validation
0,1,1,0.75721884,Loss Dog,Training
0,1,1,2.3621202,Loss Dog,Validation
0,1,1,0.99701494,Accuracy Dog,Training
0,1,1,0.3202765,Accuracy Dog,Validation
0,1,1,0.8597269,Loss Horse,Training
0,1,1,2.0668566,Loss Horse,Validation
0,1,1,1.0,Accuracy Horse,Training
0,1,1,0.49850747,Accuracy Horse,Validation
0,1,1,1.0203699,Loss Motorcycle,Training
0,1,1,1.7404572,Loss Motorcycle,Validation
0,1,1,1.0,Accuracy Motorcycle,Training
