seed,examples_per_class,epoch,value,metric,split
0,1,0,1.9643294,Loss,Training
0,1,0,2.3295739,Loss,Validation
0,1,0,0.85565984,Accuracy,Training
0,1,0,0.5,Accuracy,Validation
0,1,0,1.9439262,Loss Airplane,Training
0,1,0,2.3083918,Loss Airplane,Validation
0,1,0,0.91091955,Accuracy Airplane,Training
0,1,0,1.0,Accuracy Airplane,Validation
0,1,0,1.5547911,Loss Bicycle,Training
0,1,0,1.8590295,Loss Bicycle,Validation
0,1,0,0.9423077,Accuracy Bicycle,Training
0,1,0,1.0,Accuracy Bicycle,Validation
0,1,0,2.2470727,Loss Bird,Training
0,1,0,2.715733,Loss Bird,Validation
0,1,0,0.86764705,Accuracy Bird,Training
0,1,0,0.0,Accuracy Bird,Validation
0,1,0,1.759217,Loss Boat,Training
0,1,0,2.3952217,Loss Boat,Validation
0,1,0,0.8318043,Accuracy Boat,Training
0,1,0,0.0,Accuracy Boat,Validation
0,1,0,2.0441906,Loss Bottle,Training
0,1,0,1.8312365,Loss Bottle,Validation
0,1,0,0.8562874,Accuracy Bottle,Training
0,1,0,1.0,Accuracy Bottle,Validation
0,1,0,2.1685226,Loss Bus,Training
0,1,0,2.3086557,Loss Bus,Validation
0,1,0,0.8012232,Accuracy Bus,Training
0,1,0,1.0,Accuracy Bus,Validation
0,1,0,2.094979,Loss Car,Training
0,1,0,2.267214,Loss Car,Validation
0,1,0,0.9310345,Accuracy Car,Training
0,1,0,1.0,Accuracy Car,Validation
0,1,0,1.8945582,Loss Cat,Training
0,1,0,2.159189,Loss Cat,Validation
0,1,0,0.887538,Accuracy Cat,Training
0,1,0,1.0,Accuracy Cat,Validation
0,1,0,1.8040872,Loss Chair,Training
0,1,0,2.734742,Loss Chair,Validation
0,1,0,0.8005952,Accuracy Chair,Training
0,1,0,0.0,Accuracy Chair,Validation
0,1,0,1.9920169,Loss Cow,Training
0,1,0,1.7535888,Loss Cow,Validation
0,1,0,0.9287926,Accuracy Cow,Training
0,1,0,1.0,Accuracy Cow,Validation
0,1,0,1.6839476,Loss Dining Table,Training
0,1,0,2.2585943,Loss Dining Table,Validation
0,1,0,0.9046243,Accuracy Dining Table,Training
0,1,0,0.0,Accuracy Dining Table,Validation
