seed,examples_per_class,epoch,value,metric,split
0,1,0,2.0799088,Loss,Training
0,1,0,2.3794758,Loss,Validation
0,1,0,0.85614616,Accuracy,Training
0,1,0,0.533886,Accuracy,Validation
0,1,0,2.0398035,Loss Airplane,Training
0,1,0,2.527373,Loss Airplane,Validation
0,1,0,0.9438944,Accuracy Airplane,Training
0,1,0,0.6239782,Accuracy Airplane,Validation
0,1,0,1.733527,Loss Bicycle,Training
0,1,0,2.0248933,Loss Bicycle,Validation
0,1,0,0.94242424,Accuracy Bicycle,Training
0,1,0,0.7873563,Accuracy Bicycle,Validation
0,1,0,2.248985,Loss Bird,Training
0,1,0,2.6294913,Loss Bird,Validation
0,1,0,0.8976608,Accuracy Bird,Training
0,1,0,0.23318386,Accuracy Bird,Validation
0,1,0,1.9142528,Loss Boat,Training
0,1,0,2.4462428,Loss Boat,Validation
0,1,0,0.81595093,Accuracy Boat,Training
0,1,0,0.5635739,Accuracy Boat,Validation
0,1,0,2.05766,Loss Bottle,Training
0,1,0,2.2985792,Loss Bottle,Validation
0,1,0,0.86646885,Accuracy Bottle,Training
0,1,0,0.8616352,Accuracy Bottle,Validation
0,1,0,2.2921298,Loss Bus,Training
0,1,0,2.283711,Loss Bus,Validation
0,1,0,0.8607595,Accuracy Bus,Training
0,1,0,0.8381295,Accuracy Bus,Validation
0,1,0,2.3007147,Loss Car,Training
0,1,0,2.6654415,Loss Car,Validation
0,1,0,0.8969072,Accuracy Car,Training
0,1,0,0.29819277,Accuracy Car,Validation
0,1,0,2.1538444,Loss Cat,Training
0,1,0,2.065066,Loss Cat,Validation
0,1,0,0.8459302,Accuracy Cat,Training
0,1,0,0.8660508,Accuracy Cat,Validation
0,1,0,2.1651156,Loss Chair,Training
0,1,0,2.5681908,Loss Chair,Validation
0,1,0,0.8508475,Accuracy Chair,Training
0,1,0,0.21935484,Accuracy Chair,Validation
0,1,0,2.0693703,Loss Cow,Training
0,1,0,2.2694921,Loss Cow,Validation
0,1,0,0.914966,Accuracy Cow,Training
0,1,0,0.41800642,Accuracy Cow,Validation
0,1,0,1.7959173,Loss Dining Table,Training
0,1,0,2.2179372,Loss Dining Table,Validation
0,1,0,0.9041916,Accuracy Dining Table,Training
0,1,0,0.5566502,Accuracy Dining Table,Validation
0,1,0,2.1455846,Loss Dog,Training
0,1,0,2.547959,Loss Dog,Validation
0,1,0,0.80263156,Accuracy Dog,Training
0,1,0,0.29662922,Accuracy Dog,Validation
0,1,0,2.2041154,Loss Horse,Training
0,1,0,2.579368,Loss Horse,Validation
0,1,0,0.7697368,Accuracy Horse,Training
0,1,0,0.14617941,Accuracy Horse,Validation
0,1,0,2.3662617,Loss Motorcycle,Training
0,1,0,2.2461905,Loss Motorcycle,Validation
