seed,examples_per_class,epoch,value,metric,split
0,1,0,2.0541854,Loss,Training
0,1,0,2.3500824,Loss,Validation
0,1,0,0.83656234,Accuracy,Training
0,1,0,0.53731364,Accuracy,Validation
0,1,0,1.9832448,Loss Airplane,Training
0,1,0,2.3545663,Loss Airplane,Validation
0,1,0,0.9115854,Accuracy Airplane,Training
0,1,0,0.84196186,Accuracy Airplane,Validation
0,1,0,1.8163639,Loss Bicycle,Training
0,1,0,2.1248133,Loss Bicycle,Validation
0,1,0,0.89776355,Accuracy Bicycle,Training
0,1,0,0.74712646,Accuracy Bicycle,Validation
0,1,0,2.4618986,Loss Bird,Training
0,1,0,2.6230686,Loss Bird,Validation
0,1,0,0.79310346,Accuracy Bird,Training
0,1,0,0.32286996,Accuracy Bird,Validation
0,1,0,1.9052093,Loss Boat,Training
0,1,0,2.637697,Loss Boat,Validation
0,1,0,0.8767123,Accuracy Boat,Training
0,1,0,0.16151203,Accuracy Boat,Validation
0,1,0,2.0227165,Loss Bottle,Training
0,1,0,2.1900837,Loss Bottle,Validation
0,1,0,0.8938053,Accuracy Bottle,Training
0,1,0,0.9371069,Accuracy Bottle,Validation
0,1,0,2.2313268,Loss Bus,Training
0,1,0,2.1623948,Loss Bus,Validation
0,1,0,0.86238533,Accuracy Bus,Training
0,1,0,0.96043164,Accuracy Bus,Validation
0,1,0,2.1482558,Loss Car,Training
0,1,0,2.5344412,Loss Car,Validation
0,1,0,0.9099099,Accuracy Car,Training
0,1,0,0.33734939,Accuracy Car,Validation
0,1,0,2.1902485,Loss Cat,Training
0,1,0,2.2462578,Loss Cat,Validation
0,1,0,0.6895425,Accuracy Cat,Training
0,1,0,0.6489607,Accuracy Cat,Validation
0,1,0,2.0271177,Loss Chair,Training
0,1,0,2.532089,Loss Chair,Validation
0,1,0,0.7324841,Accuracy Chair,Training
0,1,0,0.12903225,Accuracy Chair,Validation
0,1,0,1.9188163,Loss Cow,Training
0,1,0,2.1530979,Loss Cow,Validation
0,1,0,0.93274856,Accuracy Cow,Training
0,1,0,0.55948555,Accuracy Cow,Validation
0,1,0,1.6100729,Loss Dining Table,Training
0,1,0,2.1832712,Loss Dining Table,Validation
0,1,0,0.9003115,Accuracy Dining Table,Training
0,1,0,0.63054186,Accuracy Dining Table,Validation
0,1,0,1.9013792,Loss Dog,Training
0,1,0,2.427119,Loss Dog,Validation
0,1,0,0.79623824,Accuracy Dog,Training
0,1,0,0.4,Accuracy Dog,Validation
0,1,0,2.136732,Loss Horse,Training
0,1,0,2.4984326,Loss Horse,Validation
0,1,0,0.82263,Accuracy Horse,Training
0,1,0,0.2192691,Accuracy Horse,Validation
0,1,0,2.1502032,Loss Motorcycle,Training
0,1,0,2.1198657,Loss Motorcycle,Validation
0,1,0,0.8106509,Accuracy Motorcycle,Training
0,1,0,0.8169014,Accuracy Motorcycle,Validation
0,1,0,2.0001702,Loss Person,Training
0,1,0,2.7835195,Loss Person,Validation
0,1,0,0.83112586,Accuracy Person,Training
0,1,0,0.04453441,Accuracy Person,Validation
0,1,0,1.8480085,Loss Potted Plant,Training
0,1,0,2.6086752,Loss Potted Plant,Validation
0,1,0,0.9169139,Accuracy Potted Plant,Training
0,1,0,0.34558824,Accuracy Potted Plant,Validation
0,1,0,2.2145991,Loss Sheep,Training
0,1,0,1.9024851,Loss Sheep,Validation
0,1,0,0.81931466,Accuracy Sheep,Training
0,1,0,0.75308645,Accuracy Sheep,Validation
0,1,0,1.9808397,Loss Sofa,Training
0,1,0,2.0742898,Loss Sofa,Validation
0,1,0,0.8043478,Accuracy Sofa,Training
0,1,0,0.65584415,Accuracy Sofa,Validation
0,1,0,2.260816,Loss Train,Training
0,1,0,2.4505475,Loss Train,Validation
0,1,0,0.71571904,Accuracy Train,Training
0,1,0,0.60504204,Accuracy Train,Validation
0,1,0,2.2756917,Loss Television,Training
0,1,0,2.394934,Loss Television,Validation
0,1,0,0.81395346,Accuracy Television,Training
0,1,0,0.6296296,Accuracy Television,Validation
0,1,1,0.91679317,Loss,Training
0,1,1,2.0320153,Loss,Validation
0,1,1,0.9901885,Accuracy,Training
0,1,1,0.5801022,Accuracy,Validation
0,1,1,0.82745534,Loss Airplane,Training
0,1,1,2.1014795,Loss Airplane,Validation
0,1,1,1.0,Accuracy Airplane,Training
0,1,1,0.7935657,Accuracy Airplane,Validation
0,1,1,0.686367,Loss Bicycle,Training
0,1,1,1.9748638,Loss Bicycle,Validation
0,1,1,0.996732,Accuracy Bicycle,Training
0,1,1,0.6280488,Accuracy Bicycle,Validation
0,1,1,1.5577459,Loss Bird,Training
0,1,1,2.2107408,Loss Bird,Validation
0,1,1,0.9842271,Accuracy Bird,Training
0,1,1,0.48681056,Accuracy Bird,Validation
0,1,1,0.9130621,Loss Boat,Training
0,1,1,2.2352395,Loss Boat,Validation
0,1,1,0.9398734,Accuracy Boat,Training
0,1,1,0.42993632,Accuracy Boat,Validation
0,1,1,0.9250292,Loss Bottle,Training
0,1,1,1.8762277,Loss Bottle,Validation
0,1,1,1.0,Accuracy Bottle,Training
0,1,1,0.9235669,Accuracy Bottle,Validation
0,1,1,1.070787,Loss Bus,Training
0,1,1,1.5424763,Loss Bus,Validation
0,1,1,1.0,Accuracy Bus,Training
0,1,1,0.986014,Accuracy Bus,Validation
0,1,1,1.0201213,Loss Car,Training
0,1,1,2.346846,Loss Car,Validation
0,1,1,0.9969419,Accuracy Car,Training
0,1,1,0.26821193,Accuracy Car,Validation
0,1,1,0.9939717,Loss Cat,Training
0,1,1,1.82437,Loss Cat,Validation
0,1,1,0.9847095,Accuracy Cat,Training
0,1,1,0.70168066,Accuracy Cat,Validation
0,1,1,0.9070847,Loss Chair,Training
0,1,1,2.4157386,Loss Chair,Validation
0,1,1,0.9655172,Accuracy Chair,Training
0,1,1,0.12418301,Accuracy Chair,Validation
0,1,1,0.8791236,Loss Cow,Training
0,1,1,1.8178276,Loss Cow,Validation
0,1,1,1.0,Accuracy Cow,Training
0,1,1,0.46075085,Accuracy Cow,Validation
0,1,1,0.4591265,Loss Dining Table,Training
0,1,1,1.9424262,Loss Dining Table,Validation
0,1,1,0.9882353,Accuracy Dining Table,Training
0,1,1,0.57894737,Accuracy Dining Table,Validation
0,1,1,0.7537246,Loss Dog,Training
0,1,1,2.2393935,Loss Dog,Validation
0,1,1,0.9880597,Accuracy Dog,Training
0,1,1,0.3686636,Accuracy Dog,Validation
0,1,1,0.9178824,Loss Horse,Training
0,1,1,2.074557,Loss Horse,Validation
0,1,1,0.9936102,Accuracy Horse,Training
0,1,1,0.49253732,Accuracy Horse,Validation
0,1,1,0.98209715,Loss Motorcycle,Training
0,1,1,1.6014411,Loss Motorcycle,Validation
0,1,1,1.0,Accuracy Motorcycle,Training
0,1,1,0.9270833,Accuracy Motorcycle,Validation
0,1,1,0.8056182,Loss Person,Training
0,1,1,2.7543132,Loss Person,Validation
0,1,1,0.984326,Accuracy Person,Training
0,1,1,0.063253015,Accuracy Person,Validation
0,1,1,0.6524152,Loss Potted Plant,Training
0,1,1,2.6730018,Loss Potted Plant,Validation
0,1,1,1.0,Accuracy Potted Plant,Training
0,1,1,0.3382353,Accuracy Potted Plant,Validation
0,1,1,1.1466628,Loss Sheep,Training
0,1,1,1.4712296,Loss Sheep,Validation
0,1,1,1.0,Accuracy Sheep,Training
0,1,1,0.7790698,Accuracy Sheep,Validation
0,1,1,0.82570434,Loss Sofa,Training
0,1,1,1.6706722,Loss Sofa,Validation
0,1,1,0.9815385,Accuracy Sofa,Training
0,1,1,0.7167832,Accuracy Sofa,Validation
0,1,1,0.91084886,Loss Train,Training
0,1,1,2.038236,Loss Train,Validation
0,1,1,1.0,Accuracy Train,Training
0,1,1,0.7594203,Accuracy Train,Validation
0,1,1,1.1010358,Loss Television,Training
0,1,1,1.8292278,Loss Television,Validation
0,1,1,1.0,Accuracy Television,Training
0,1,1,0.7752809,Accuracy Television,Validation
0,1,2,0.47754192,Loss,Training
0,1,2,1.8716654,Loss,Validation
0,1,2,0.99856555,Accuracy,Training
0,1,2,0.59308547,Accuracy,Validation
0,1,2,0.3696834,Loss Airplane,Training
0,1,2,1.973956,Loss Airplane,Validation
0,1,2,1.0,Accuracy Airplane,Training
0,1,2,0.7414248,Accuracy Airplane,Validation
0,1,2,0.38668004,Loss Bicycle,Training
0,1,2,1.8105787,Loss Bicycle,Validation
0,1,2,1.0,Accuracy Bicycle,Training
0,1,2,0.60555553,Accuracy Bicycle,Validation
0,1,2,0.88673073,Loss Bird,Training
0,1,2,1.8943005,Loss Bird,Validation
0,1,2,1.0,Accuracy Bird,Training
0,1,2,0.6492891,Accuracy Bird,Validation
0,1,2,0.46824643,Loss Boat,Training
0,1,2,1.9980028,Loss Boat,Validation
0,1,2,0.99707603,Accuracy Boat,Training
0,1,2,0.54692554,Accuracy Boat,Validation
0,1,2,0.4786365,Loss Bottle,Training
0,1,2,1.5623735,Loss Bottle,Validation
0,1,2,1.0,Accuracy Bottle,Training
0,1,2,0.9240506,Accuracy Bottle,Validation
0,1,2,0.5142269,Loss Bus,Training
0,1,2,1.2622536,Loss Bus,Validation
0,1,2,1.0,Accuracy Bus,Training
0,1,2,0.9785714,Accuracy Bus,Validation
0,1,2,0.59969485,Loss Car,Training
0,1,2,2.2334373,Loss Car,Validation
0,1,2,1.0,Accuracy Car,Training
0,1,2,0.31428573,Accuracy Car,Validation
0,1,2,0.54644334,Loss Cat,Training
0,1,2,1.4869163,Loss Cat,Validation
0,1,2,0.99068326,Accuracy Cat,Training
0,1,2,0.8078704,Accuracy Cat,Validation
0,1,2,0.5183513,Loss Chair,Training
0,1,2,2.419163,Loss Chair,Validation
0,1,2,0.9867987,Accuracy Chair,Training
0,1,2,0.13725491,Accuracy Chair,Validation
0,1,2,0.46644512,Loss Cow,Training
0,1,2,1.753089,Loss Cow,Validation
0,1,2,1.0,Accuracy Cow,Training
0,1,2,0.40131578,Accuracy Cow,Validation
0,1,2,0.24640882,Loss Dining Table,Training
0,1,2,1.8403085,Loss Dining Table,Validation
0,1,2,1.0,Accuracy Dining Table,Training
0,1,2,0.5450237,Accuracy Dining Table,Validation
0,1,2,0.392553,Loss Dog,Training
0,1,2,2.304147,Loss Dog,Validation
0,1,2,0.9967533,Accuracy Dog,Training
0,1,2,0.2706422,Accuracy Dog,Validation
0,1,2,0.41972,Loss Horse,Training
0,1,2,2.075112,Loss Horse,Validation
0,1,2,1.0,Accuracy Horse,Training
0,1,2,0.36585367,Accuracy Horse,Validation
0,1,2,0.5031917,Loss Motorcycle,Training
0,1,2,1.249895,Loss Motorcycle,Validation
0,1,2,1.0,Accuracy Motorcycle,Training
0,1,2,0.9509434,Accuracy Motorcycle,Validation
0,1,2,0.4405217,Loss Person,Training
0,1,2,2.865913,Loss Person,Validation
0,1,2,1.0,Accuracy Person,Training
0,1,2,0.08447937,Accuracy Person,Validation
0,1,2,0.29047433,Loss Potted Plant,Training
0,1,2,2.5998185,Loss Potted Plant,Validation
0,1,2,1.0,Accuracy Potted Plant,Training
0,1,2,0.3432836,Accuracy Potted Plant,Validation
0,1,2,0.5904184,Loss Sheep,Training
0,1,2,1.0730176,Loss Sheep,Validation
0,1,2,1.0,Accuracy Sheep,Training
0,1,2,0.9263566,Accuracy Sheep,Validation
0,1,2,0.4480062,Loss Sofa,Training
0,1,2,1.6170716,Loss Sofa,Validation
0,1,2,1.0,Accuracy Sofa,Training
0,1,2,0.61290324,Accuracy Sofa,Validation
0,1,2,0.44472185,Loss Train,Training
0,1,2,1.8718661,Loss Train,Validation
0,1,2,1.0,Accuracy Train,Training
0,1,2,0.7915493,Accuracy Train,Validation
0,1,2,0.53968364,Loss Television,Training
0,1,2,1.5420874,Loss Television,Validation
0,1,2,1.0,Accuracy Television,Training
0,1,2,0.86413044,Accuracy Television,Validation
0,1,3,0.29643187,Loss,Training
0,1,3,1.733539,Loss,Validation
0,1,3,0.99969023,Accuracy,Training
0,1,3,0.62230074,Accuracy,Validation
0,1,3,0.21915711,Loss Airplane,Training
0,1,3,1.8367473,Loss Airplane,Validation
0,1,3,1.0,Accuracy Airplane,Training
0,1,3,0.76115483,Accuracy Airplane,Validation
0,1,3,0.23196018,Loss Bicycle,Training
0,1,3,1.4728502,Loss Bicycle,Validation
0,1,3,1.0,Accuracy Bicycle,Training
0,1,3,0.72727275,Accuracy Bicycle,Validation
0,1,3,0.5241571,Loss Bird,Training
0,1,3,1.6837696,Loss Bird,Validation
0,1,3,1.0,Accuracy Bird,Training
0,1,3,0.6581986,Accuracy Bird,Validation
0,1,3,0.35880923,Loss Boat,Training
0,1,3,1.850433,Loss Boat,Validation
0,1,3,0.9968454,Accuracy Boat,Training
0,1,3,0.64356434,Accuracy Boat,Validation
0,1,3,0.2833242,Loss Bottle,Training
0,1,3,1.441353,Loss Bottle,Validation
0,1,3,1.0,Accuracy Bottle,Training
0,1,3,0.9139785,Accuracy Bottle,Validation
0,1,3,0.30662197,Loss Bus,Training
0,1,3,1.0431584,Loss Bus,Validation
0,1,3,1.0,Accuracy Bus,Training
0,1,3,0.9855596,Accuracy Bus,Validation
0,1,3,0.33157718,Loss Car,Training
0,1,3,2.1087487,Loss Car,Validation
0,1,3,1.0,Accuracy Car,Training
0,1,3,0.3686007,Accuracy Car,Validation
0,1,3,0.3222124,Loss Cat,Training
0,1,3,1.4099197,Loss Cat,Validation
0,1,3,1.0,Accuracy Cat,Training
0,1,3,0.7951542,Accuracy Cat,Validation
